"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.7052","1.37","0.6940","1.32","","-12.65","132,088,420"
"1969-01-01T06:00:00.000Z","1.28","1.51","0.8275","0.8375","-36.46","-49.11","190,544,906"
"1970-01-01T06:00:00.000Z","0.8362","0.8937","0.5167","0.8737","4.32","-8.33","164,385,724"
"1971-01-01T06:00:00.000Z","0.8812","1.55","0.8749","1.55","76.86","64.21","205,396,984"
"1972-01-03T06:00:00.000Z","1.54","2.79","1.45","2.71","75.45","62.80","144,128,782"
"1973-01-01T06:00:00.000Z","2.74","4.16","2.47","3.95","45.72","33.07","195,201,974"
"1974-01-01T06:00:00.000Z","3.95","4.01","2.19","3.23","-18.20","-30.85","255,975,922"
"1975-01-01T06:00:00.000Z","3.25","4.07","2.73","3.41","5.68","-6.97","255,446,034"
"1976-01-01T06:00:00.000Z","3.42","4.63","3.15","4.33","26.81","14.16","283,041,952"
"1977-01-03T06:00:00.000Z","4.33","4.99","3.77","4.90","13.23","0.5800","250,449,872"
"1978-01-02T06:00:00.000Z","4.90","6.61","4.32","6.39","30.24","17.59","282,304,392"
"1979-01-01T06:00:00.000Z","6.39","10.15","6.24","9.48","48.42","35.77","237,636,930"
"1980-01-01T06:00:00.000Z","9.43","19.83","8.92","17.74","87.20","74.55","250,456,426"
"1981-01-01T06:00:00.000Z","17.74","17.86","11.17","12.71","-28.37","-41.02","284,884,746"
"1982-01-01T06:00:00.000Z","12.71","12.71","6.82","10.61","-16.55","-29.20","490,235,404"
"1983-01-03T06:00:00.000Z","10.61","14.25","8.70","11.37","7.24","-5.41","554,651,102"
"1984-01-02T06:00:00.000Z","11.37","12.51","8.16","8.67","-23.75","-36.40","519,598,686"
"1985-01-01T06:00:00.000Z","8.67","9.98","7.36","8.30","-4.26","-16.91","647,430,876"
"1986-01-01T06:00:00.000Z","8.30","8.59","6.20","7.22","-13.01","-25.66","863,948,148"
"1987-01-01T06:00:00.000Z","7.28","11.60","5.91","6.54","-9.45","-22.10","936,781,762"
"1988-01-01T06:00:00.000Z","6.54","8.81","6.48","7.42","13.48","0.8279","635,501,720"
