"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","6.00","9.33","5.61","8.88","","-9.15","11,083,610"
"1973-01-01T06:00:00.000Z","8.88","10.58","6.21","7.83","-11.74","-20.88","21,451,532"
"1974-01-01T06:00:00.000Z","7.88","7.88","3.17","3.50","-55.32","-64.47","16,337,138"
"1975-01-01T06:00:00.000Z","3.46","6.25","3.46","5.33","52.38","43.24","12,923,747"
"1976-01-01T06:00:00.000Z","5.33","6.04","4.79","5.63","5.47","-3.68","14,395,537"
"1977-01-03T06:00:00.000Z","5.63","5.63","4.08","4.54","-19.26","-28.41","14,806,544"
"1978-01-02T06:00:00.000Z","4.50","7.48","4.33","6.08","33.95","24.80","12,556,545"
"1979-01-01T06:00:00.000Z","6.08","9.67","6.04","8.96","47.26","38.11","14,653,839"
"1980-01-01T06:00:00.000Z","8.96","9.58","6.17","6.63","-26.05","-35.19","20,306,727"
"1981-01-01T06:00:00.000Z","6.63","10.08","6.00","7.04","6.29","-2.86","17,935,832"
"1982-01-01T06:00:00.000Z","7.08","9.83","5.50","9.00","27.81","18.66","25,059,009"
"1983-01-03T06:00:00.000Z","9.00","11.42","8.17","10.25","13.89","4.74","26,527,209"
"1984-01-02T06:00:00.000Z","10.25","12.50","9.00","11.58","13.01","3.86","22,839,918"
"1985-01-01T06:00:00.000Z","11.58","14.13","10.67","13.96","20.50","11.36","29,757,307"
"1986-01-01T06:00:00.000Z","13.96","21.42","13.58","17.08","22.39","13.24","31,974,004"
"1987-01-01T06:00:00.000Z","17.08","31.00","16.17","23.17","35.61","26.46","32,063,718"
"1988-01-01T06:00:00.000Z","23.17","29.92","21.75","23.33","0.7191","-8.43","37,245,889"
"1989-01-02T06:00:00.000Z","23.25","27.92","19.25","21.67","-7.14","-16.29","45,807,242"
"1990-01-01T06:00:00.000Z","21.67","25.33","17.50","21.17","-2.31","-11.46","26,650,523"
"1991-01-01T06:00:00.000Z","21.17","23.00","18.25","21.58","1.97","-7.18","31,184,110"
"1992-01-01T06:00:00.000Z","21.75","26.67","18.00","20.92","-3.09","-12.24","31,327,502"
"1993-01-01T06:00:00.000Z","21.00","29.67","20.33","25.25","20.72","11.57","29,840,109"
"1994-01-03T06:00:00.000Z","25.17","29.58","19.33","22.17","-12.21","-21.36","38,012,827"
"1995-01-02T06:00:00.000Z","22.17","31.50","20.67","30.17","36.09","26.94","34,978,191"
"1996-01-01T06:00:00.000Z","30.08","38.25","27.33","35.63","18.09","8.95","31,156,399"
"1997-01-01T06:00:00.000Z","35.88","46.31","34.25","43.63","22.46","13.31","36,837,200"
"1998-01-01T06:00:00.000Z","43.63","46.44","25.50","34.81","-20.20","-29.35","53,344,600"
"1999-01-01T06:00:00.000Z","34.56","37.81","26.44","26.56","-23.70","-32.85","46,592,500"
"2000-01-03T06:00:00.000Z","26.75","32.44","20.88","27.88","4.94","-4.21","65,893,000"
"2001-01-01T06:00:00.000Z","27.50","34.40","21.15","33.66","20.75","11.61","56,682,800"
"2002-01-01T06:00:00.000Z","33.60","35.15","20.71","28.11","-16.49","-25.64","60,168,800"
"2003-01-01T06:00:00.000Z","28.15","32.38","22.60","32.24","14.69","5.54","68,966,186"
"2004-01-01T06:00:00.000Z","32.28","34.67","27.15","34.36","6.58","-2.57","68,983,600"
"2005-01-03T06:00:00.000Z","34.38","38.71","30.57","37.56","9.31","0.1656","77,680,400"
"2006-01-02T06:00:00.000Z","37.56","48.65","36.38","47.64","26.84","17.69","90,369,900"
"2007-01-01T06:00:00.000Z","47.81","57.81","44.58","48.24","1.26","-7.89","125,962,436"
"2008-01-01T06:00:00.000Z","48.08","62.21","27.70","39.38","-18.37","-27.51","157,789,399"
"2009-01-01T06:00:00.000Z","39.00","43.88","20.51","42.26","7.31","-1.83","172,196,781"
"2010-01-01T06:00:00.000Z","42.74","57.77","39.23","56.58","33.89","24.74","92,692,465"
"2011-01-03T06:00:00.000Z","57.12","64.36","41.74","50.62","-10.53","-19.68","95,959,731"
"2012-01-02T06:00:00.000Z","51.74","80.45","50.18","78.99","56.05","46.90","85,962,482"
"2013-01-01T06:00:00.000Z","80.72","109.74","76.60","109.52","38.65","29.50","68,336,730"
"2014-01-01T06:00:00.000Z","109.28","140.22","96.24","136.74","24.85","15.71","83,485,368"
"2015-01-01T06:00:00.000Z","136.85","174.52","129.14","171.43","25.37","16.22","91,515,402"
"2016-01-01T06:00:00.000Z","168.79","177.86","133.09","171.27","-0.0933","-9.24","125,695,148"
"2017-01-02T06:00:00.000Z","171.78","181.73","140.83","174.30","1.77","-7.38","151,696,605"
"2018-01-01T06:00:00.000Z","174.58","189.46","135.29","145.29","-16.64","-25.79","165,633,250"
"2019-01-02T06:00:00.000Z","143.14","174.00","141.50","169.40","16.59","7.45","125,799,594"
"2020-01-02T06:00:00.000Z","170.40","183.23","90.72","171.14","1.03","-8.12","131,817,546"
"2021-01-04T06:00:00.000Z","171.72","259.99","165.88","215.38","25.85","16.70","106,909,567"
"2022-01-03T06:00:00.000Z","216.93","245.56","190.08","228.49","6.09","-3.06","82,523,973"
"2023-01-03T06:00:00.000Z","230.18","297.25","226.68","270.52","18.39","9.25","47,907,696"
