"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","8.56","9.10","7.38","8.64","","-5.33","11,652,761"
"1969-01-01T06:00:00.000Z","8.64","8.91","7.38","7.76","-10.13","-15.46","13,434,689"
"1970-01-01T06:00:00.000Z","8.03","8.68","5.86","7.99","2.94","-2.39","19,189,032"
"1971-01-01T06:00:00.000Z","7.80","8.72","5.63","6.70","-16.19","-21.52","37,078,364"
"1972-01-03T06:00:00.000Z","6.66","6.93","5.67","6.13","-8.52","-13.85","46,589,031"
"1973-01-01T06:00:00.000Z","6.20","6.36","4.49","4.87","-20.50","-25.82","54,583,454"
"1974-01-01T06:00:00.000Z","4.87","5.25","2.40","2.63","-46.09","-51.42","73,395,936"
"1975-01-01T06:00:00.000Z","2.66","4.61","2.66","4.49","71.02","65.69","96,382,136"
"1976-01-01T06:00:00.000Z","4.49","5.14","4.19","4.99","11.02","5.69","99,400,204"
"1977-01-03T06:00:00.000Z","4.99","5.52","4.76","5.40","8.40","3.07","69,849,139"
"1978-01-02T06:00:00.000Z","5.40","5.44","3.96","4.07","-24.65","-29.97","83,362,110"
"1979-01-01T06:00:00.000Z","4.07","4.53","3.35","3.50","-14.02","-19.35","103,283,617"
"1980-01-01T06:00:00.000Z","3.50","4.30","3.12","3.73","6.52","1.20","112,830,741"
"1981-01-01T06:00:00.000Z","3.73","3.92","3.31","3.65","-2.04","-7.37","128,060,963"
"1982-01-01T06:00:00.000Z","3.65","4.83","3.35","4.76","30.21","24.88","179,209,400"
"1983-01-03T06:00:00.000Z","4.76","5.40","4.42","4.99","4.80","-0.5253","244,957,514"
"1984-01-02T06:00:00.000Z","4.99","5.75","4.38","5.75","15.27","9.94","289,558,821"
"1985-01-01T06:00:00.000Z","5.75","7.23","5.44","6.78","17.88","12.56","412,255,703"
"1986-01-01T06:00:00.000Z","6.74","8.30","6.20","7.73","14.05","8.72","576,103,666"
"1987-01-01T06:00:00.000Z","7.73","8.83","5.44","6.81","-11.82","-17.15","493,949,628"
"1988-01-01T06:00:00.000Z","6.85","7.35","6.20","6.81","","-5.33","441,422,531"
"1989-01-02T06:00:00.000Z","6.78","9.06","6.70","8.87","30.17","24.84","406,700,709"
"1990-01-01T06:00:00.000Z","8.87","8.94","7.00","8.49","-4.29","-9.62","387,512,834"
"1991-01-01T06:00:00.000Z","8.49","10.58","7.84","10.47","23.32","17.99","368,134,190"
"1992-01-01T06:00:00.000Z","10.39","11.91","9.25","11.72","12.00","6.67","309,174,265"
"1993-01-01T06:00:00.000Z","11.76","14.39","11.23","13.44","14.61","9.28","285,590,016"
"1994-01-03T06:00:00.000Z","13.44","13.44","10.35","12.18","-9.35","-14.67","340,239,770"
"1995-01-02T06:00:00.000Z","12.18","15.22","11.80","15.00","23.12","17.80","325,875,083"
"1996-01-01T06:00:00.000Z","14.92","15.76","12.87","13.78","-8.12","-13.45","405,674,427"
"1997-01-01T06:00:00.000Z","13.85","15.99","12.10","15.76","14.37","9.04","486,388,386"
"1998-01-01T06:00:00.000Z","15.83","19.22","14.58","17.70","12.32","6.99","512,202,820"
"1999-01-01T06:00:00.000Z","17.74","18.04","13.44","14.31","-19.14","-24.47","510,731,236"
"2000-01-03T06:00:00.000Z","14.05","21.32","12.41","20.25","41.49","36.16","745,225,642"
"2001-01-01T06:00:00.000Z","19.94","26.00","16.10","25.35","25.19","19.86","589,144,420"
"2002-01-01T06:00:00.000Z","25.27","31.14","23.22","28.39","11.99","6.67","508,764,210"
"2003-01-01T06:00:00.000Z","28.54","32.00","27.00","30.25","6.55","1.23","494,137,430"
"2004-01-01T06:00:00.000Z","30.24","33.96","27.44","33.52","10.81","5.48","470,014,108"
"2005-01-03T06:00:00.000Z","33.21","36.47","31.14","34.53","3.01","-2.31","534,075,497"
"2006-01-02T06:00:00.000Z","34.76","37.40","30.48","36.86","6.75","1.42","594,659,796"
"2007-01-01T06:00:00.000Z","36.80","39.35","33.16","38.75","5.13","-0.1984","953,401,589"
