"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1970-09-01T05:00:00.000Z","3.62","4.58","3.36","3.81","","-17.37","13,540,886"
"1971-01-01T06:00:00.000Z","3.78","7.71","3.68","7.28","91.18","73.81","50,410,994"
"1972-01-03T06:00:00.000Z","7.16","19.96","6.88","19.52","168.13","150.77","32,000,448"
"1973-01-01T06:00:00.000Z","19.52","22.76","8.90","12.00","-38.52","-55.89","34,950,052"
"1974-01-01T06:00:00.000Z","11.50","11.95","1.75","2.35","-80.42","-97.78","38,595,750"
"1975-01-01T06:00:00.000Z","2.35","5.30","2.00","3.65","55.32","37.95","73,550,000"
"1976-01-01T06:00:00.000Z","3.65","5.06","3.65","4.63","26.71","9.35","69,271,850"
"1977-01-03T06:00:00.000Z","4.63","5.31","3.31","3.56","-22.97","-40.34","84,296,800"
"1978-01-02T06:00:00.000Z","3.56","4.44","3.44","4.19","17.54","0.1773","53,853,000"
"1979-01-01T06:00:00.000Z","4.19","5.38","3.31","3.81","-8.96","-26.32","14,344,000"
"1980-01-01T06:00:00.000Z","3.81","8.38","3.00","7.75","103.28","85.91","169,082,800"
"1981-01-01T06:00:00.000Z","7.75","13.06","7.25","8.75","12.90","-4.46","210,562,000"
"1982-01-01T06:00:00.000Z","8.75","9.00","5.50","7.63","-12.86","-30.22","274,633,000"
"1983-01-03T06:00:00.000Z","7.63","8.38","6.31","7.81","2.46","-14.91","212,053,200"
"1984-01-02T06:00:00.000Z","7.81","8.69","6.38","7.00","-10.40","-27.77","182,462,200"
"1985-01-01T06:00:00.000Z","7.00","10.69","6.75","10.19","45.54","28.17","168,238,800"
"1986-01-01T06:00:00.000Z","10.13","11.75","9.06","10.25","0.6135","-16.75","114,545,600"
"1987-01-01T06:00:00.000Z","10.38","20.13","9.13","18.88","84.15","66.78","56,920,200"
"1988-01-01T06:00:00.000Z","18.94","29.25","17.69","28.94","53.31","35.94","43,796,000"
"1989-01-02T06:00:00.000Z","29.00","32.88","24.88","30.25","4.54","-12.83","19,151,600"
"1990-01-01T06:00:00.000Z","30.19","30.75","20.13","21.50","-28.93","-46.29","11,836,400"
"1991-01-01T06:00:00.000Z","21.50","27.44","15.69","17.31","-19.48","-36.84","15,498,200"
"1992-01-01T06:00:00.000Z","17.38","19.00","14.13","17.06","-1.44","-18.81","23,620,000"
"1993-01-01T06:00:00.000Z","17.00","25.31","16.00","24.94","46.15","28.79","18,999,000"
"1994-01-03T06:00:00.000Z","24.75","31.63","24.69","28.06","12.53","-4.84","22,887,200"
"1995-01-02T06:00:00.000Z","28.06","30.75","21.25","30.69","9.35","-8.01","21,091,000"
"1996-01-01T06:00:00.000Z","30.50","33.94","28.69","32.81","6.92","-10.44","21,342,200"
"1997-01-01T06:00:00.000Z","32.75","51.84","31.69","45.38","38.29","20.92","44,510,800"
"1998-01-01T06:00:00.000Z","45.47","48.59","30.13","36.00","-20.66","-38.03","61,346,800"
"1999-01-01T06:00:00.000Z","35.75","147.94","32.75","142.38","295.49","278.12","109,640,800"
"2000-01-03T06:00:00.000Z","142.63","157.38","67.00","69.50","-51.19","-68.55","147,402,900"
"2001-01-01T06:00:00.000Z","69.25","85.75","32.80","45.10","-35.11","-52.47","99,478,300"
"2002-01-01T06:00:00.000Z","45.35","59.95","39.79","41.31","-8.40","-25.77","85,959,500"
"2003-01-01T06:00:00.000Z","41.42","43.40","23.16","34.67","-16.07","-33.44","301,102,637"
"2004-01-01T06:00:00.000Z","34.89","43.67","32.35","38.96","12.37","-4.99","141,615,400"
"2005-01-03T06:00:00.000Z","38.96","41.81","31.80","40.80","4.72","-12.64","200,463,100"
"2006-01-02T06:00:00.000Z","41.25","52.29","37.24","42.83","4.98","-12.39","238,398,100"
"2007-01-01T06:00:00.000Z","42.90","59.84","42.73","54.30","26.78","9.41","257,883,639"
"2008-01-01T06:00:00.000Z","54.30","57.19","18.09","21.87","-59.72","-77.09","316,816,285"
"2009-01-01T06:00:00.000Z","21.80","30.82","15.64","29.00","32.60","15.24","338,288,259"
"2010-01-01T06:00:00.000Z","29.52","40.45","25.85","35.71","23.14","5.77","258,203,660"
"2011-01-03T06:00:00.000Z","36.17","36.97","16.16","18.04","-49.48","-66.85","295,844,135"
"2012-01-02T06:00:00.000Z","18.28","22.35","9.57","11.20","-37.92","-55.28","455,308,578"
"2013-01-01T06:00:00.000Z","11.46","23.38","10.59","17.29","54.38","37.01","892,419,630"
"2014-01-01T06:00:00.000Z","17.33","22.32","15.23","20.47","18.39","1.03","653,489,499"
"2015-01-01T06:00:00.000Z","20.47","32.95","20.15","24.61","20.22","2.86","389,231,294"
"2016-01-01T06:00:00.000Z","24.45","34.17","19.90","28.03","13.90","-3.47","331,109,959"
"2017-01-02T06:00:00.000Z","28.10","48.33","28.04","44.95","60.36","43.00","212,204,017"
"2018-01-01T06:00:00.000Z","45.44","61.02","44.53","48.28","7.41","-9.96","283,632,347"
"2019-01-02T06:00:00.000Z","47.57","68.47","41.91","68.00","40.85","23.48","330,039,014"
"2020-01-02T06:00:00.000Z","68.30","101.40","50.94","101.10","48.68","31.31","311,578,709"
"2021-01-04T06:00:00.000Z","101.50","128.30","91.75","126.40","25.02","7.66","184,129,631"
"2022-01-03T06:00:00.000Z","126.40","133.75","61.72","76.28","-39.65","-57.02","207,559,888"
"2023-01-03T06:00:00.000Z","77.15","100.94","76.39","85.26","11.77","-5.59","134,021,319"
