"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","2.97","3.40","2.34","2.48","","-13.43","40,305,600"
"1969-01-01T06:00:00.000Z","2.31","2.44","1.50","1.78","-28.30","-41.74","43,460,800"
"1970-01-01T06:00:00.000Z","1.78","1.78","0.6562","1.17","-34.21","-47.64","62,817,600"
"1971-01-01T06:00:00.000Z","1.15","1.51","0.9844","1.19","1.33","-12.10","101,876,800"
"1972-01-03T06:00:00.000Z","1.17","1.30","0.8438","1.05","-11.84","-25.27","105,700,800"
"1973-01-01T06:00:00.000Z","1.05","1.05","0.3594","0.4375","-58.21","-71.64","68,283,200"
"1974-01-01T06:00:00.000Z","0.4375","0.5625","0.3359","0.3750","-14.29","-27.72","47,294,400"
"1975-01-01T06:00:00.000Z","0.3750","0.8594","0.3750","0.8125","116.67","103.23","63,640,000"
"1976-01-01T06:00:00.000Z","0.8125","1.07","0.7969","1.05","29.81","16.37","65,800,000"
"1977-01-03T06:00:00.000Z","1.04","1.25","0.9766","1.20","14.07","0.6360","99,993,600"
"1978-01-02T06:00:00.000Z","1.20","1.64","1.02","1.52","26.62","13.19","137,315,200"
"1979-01-01T06:00:00.000Z","1.52","2.13","1.47","1.77","16.41","2.98","214,596,800"
"1980-01-01T06:00:00.000Z","1.77","2.89","1.52","2.89","63.00","49.56","105,876,800"
"1981-01-01T06:00:00.000Z","2.89","3.50","2.46","3.23","11.89","-1.54","97,689,600"
"1982-01-01T06:00:00.000Z","3.23","5.06","2.80","4.70","45.41","31.97","147,216,000"
"1983-01-03T06:00:00.000Z","4.70","6.73","4.38","5.28","12.29","-1.14","112,777,600"
"1984-01-02T06:00:00.000Z","5.28","6.09","4.25","5.34","1.19","-12.25","154,936,800"
"1985-01-01T06:00:00.000Z","5.34","6.50","4.97","6.00","12.28","-1.15","213,047,200"
"1986-01-01T06:00:00.000Z","6.00","8.00","5.81","6.83","13.80","0.3673","239,106,400"
"1987-01-01T06:00:00.000Z","6.84","10.56","5.38","6.03","-11.67","-25.11","377,516,800"
"1988-01-01T06:00:00.000Z","6.09","9.50","5.84","7.78","29.02","15.58","521,654,400"
"1989-01-02T06:00:00.000Z","7.78","10.77","6.69","7.09","-8.83","-22.27","497,941,600"
"1990-01-01T06:00:00.000Z","7.13","7.64","4.98","6.58","-7.27","-20.70","347,136,800"
"1991-01-01T06:00:00.000Z","6.58","8.09","6.22","7.17","9.03","-4.41","191,232,800"
"1992-01-01T06:00:00.000Z","7.16","8.31","6.63","7.67","6.97","-6.46","175,540,000"
"1993-01-01T06:00:00.000Z","7.64","9.41","6.91","8.45","10.18","-3.25","220,550,400"
"1994-01-03T06:00:00.000Z","8.44","9.66","7.81","8.36","-1.11","-14.54","233,857,600"
"1995-01-02T06:00:00.000Z","8.36","10.95","7.95","10.89","30.28","16.85","197,220,800"
"1996-01-01T06:00:00.000Z","10.83","12.31","9.31","11.53","5.88","-7.55","224,215,600"
"1997-01-01T06:00:00.000Z","11.59","18.84","11.22","18.50","60.43","47.00","245,855,600"
"1998-01-01T06:00:00.000Z","18.38","25.83","17.13","25.47","37.67","24.23","309,113,200"
"1999-01-01T06:00:00.000Z","25.47","31.56","23.56","30.81","20.98","7.55","264,463,200"
"2000-01-03T06:00:00.000Z","30.50","33.84","20.94","29.31","-4.87","-18.30","309,576,800"
"2001-01-01T06:00:00.000Z","29.25","35.44","24.35","30.49","4.02","-9.42","346,669,596"
"2002-01-01T06:00:00.000Z","30.26","34.85","25.36","30.22","-0.8855","-14.32","364,965,200"
"2003-01-01T06:00:00.000Z","30.32","35.00","25.87","34.96","15.68","2.25","438,349,244"
"2004-01-01T06:00:00.000Z","35.00","46.05","34.55","45.77","30.92","17.49","341,306,200"
"2005-01-03T06:00:00.000Z","45.75","53.97","40.51","51.63","12.80","-0.6313","362,889,700"
"2006-01-02T06:00:00.000Z","51.71","69.25","46.37","68.02","31.75","18.31","410,027,798"
"2007-01-01T06:00:00.000Z","68.06","72.50","43.46","43.81","-35.59","-49.03","674,197,431"
"2008-01-01T06:00:00.000Z","43.87","47.13","17.15","23.19","-47.07","-60.50","702,327,926"
"2009-01-01T06:00:00.000Z","23.23","35.24","17.22","33.51","44.50","31.07","861,467,263"
"2010-01-01T06:00:00.000Z","33.92","39.45","26.95","36.41","8.65","-4.78","574,771,783"
"2011-01-03T06:00:00.000Z","36.65","46.99","34.95","44.97","23.51","10.08","539,034,474"
"2012-01-02T06:00:00.000Z","45.63","57.44","42.02","54.67","21.57","8.14","481,623,810"
"2013-01-01T06:00:00.000Z","55.63","78.81","42.07","78.20","43.04","29.61","487,947,444"
"2014-01-01T06:00:00.000Z","77.44","93.94","71.93","88.98","13.79","0.3508","344,298,133"
"2015-01-01T06:00:00.000Z","89.78","109.13","84.64","98.58","10.79","-2.65","333,780,540"
"2016-01-01T06:00:00.000Z","96.56","128.40","78.55","107.54","9.09","-4.35","314,244,339"
"2017-01-02T06:00:00.000Z","108.41","174.07","107.87","169.40","57.52","44.09","278,067,905"
"2018-01-01T06:00:00.000Z","169.74","217.31","156.68","169.94","0.3188","-13.12","341,890,463"
"2019-01-02T06:00:00.000Z","169.27","275.75","163.99","273.05","60.67","47.24","301,018,937"
"2020-01-02T06:00:00.000Z","274.57","379.87","186.06","328.73","20.39","6.96","345,709,280"
"2021-01-04T06:00:00.000Z","331.71","484.21","303.50","471.93","43.56","30.13","348,193,633"
"2022-01-03T06:00:00.000Z","472.83","472.83","279.32","334.94","-29.03","-42.46","535,770,801"
"2023-01-03T06:00:00.000Z","342.04","428.65","321.14","394.24","17.70","4.27","210,482,101"
