"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1970-01-01T06:00:00.000Z","93.46","93.46","69.29","92.15","","-8.86","0"
"1971-01-01T06:00:00.000Z","91.15","104.77","90.16","102.09","10.79","1.92","0"
"1972-01-03T06:00:00.000Z","101.67","119.12","101.67","118.05","15.63","6.77","0"
"1973-01-01T06:00:00.000Z","119.10","120.24","92.16","97.55","-17.37","-26.23","0"
"1974-01-01T06:00:00.000Z","97.68","99.80","62.28","68.56","-29.72","-38.58","0"
"1975-01-01T06:00:00.000Z","70.23","95.61","70.04","90.19","31.55","22.69","0"
"1976-01-01T06:00:00.000Z","90.90","107.83","90.90","107.46","19.15","10.28","0"
"1977-01-03T06:00:00.000Z","107.00","107.00","90.71","95.10","-11.50","-20.37","0"
"1978-01-02T06:00:00.000Z","93.82","106.99","86.90","96.11","1.06","-7.80","0"
"1979-01-01T06:00:00.000Z","96.73","111.27","96.13","107.94","12.31","3.45","0"
"1980-01-01T06:00:00.000Z","106.50","141.96","94.23","135.76","25.77","16.91","0"
"1981-01-01T06:00:00.000Z","136.01","140.32","110.19","122.55","-9.73","-18.59","0"
"1982-01-01T06:00:00.000Z","122.64","144.36","102.20","140.64","14.76","5.90","0"
"1983-01-03T06:00:00.000Z","140.65","172.65","138.08","164.93","17.27","8.41","0"
"1984-01-02T06:00:00.000Z","164.93","170.41","147.26","167.24","1.40","-7.46","0"
"1985-01-01T06:00:00.000Z","167.20","213.08","163.36","211.28","26.33","17.47","0"
"1986-01-01T06:00:00.000Z","211.28","254.87","202.60","242.17","14.62","5.76","0"
"1987-01-01T06:00:00.000Z","242.17","337.89","216.46","247.08","2.03","-6.84","0"
"1988-01-01T06:00:00.000Z","247.08","283.95","240.17","277.72","12.40","3.54","0"
"1989-01-02T06:00:00.000Z","277.72","360.44","273.81","353.40","27.25","18.39","0"
"1990-01-01T06:00:00.000Z","353.40","369.78","294.51","330.22","-6.56","-15.42","0"
"1991-01-01T06:00:00.000Z","330.22","418.32","309.35","417.09","26.31","17.44","0"
"1992-01-01T06:00:00.000Z","417.09","442.65","392.41","435.71","4.46","-4.40","0"
"1993-01-01T06:00:00.000Z","435.70","471.29","426.88","466.45","7.06","-1.81","0"
"1994-01-03T06:00:00.000Z","466.51","482.85","435.86","459.27","-1.54","-10.40","0"
"1995-01-02T06:00:00.000Z","459.21","622.88","457.20","615.93","34.11","25.25","0"
"1996-01-01T06:00:00.000Z","615.93","762.12","597.29","740.74","20.26","11.40","0"
"1997-01-01T06:00:00.000Z","740.74","986.25","729.55","970.43","31.01","22.14","0"
"1998-01-01T06:00:00.000Z","970.43","1,244.93","912.83","1,229.23","26.67","17.81","0"
"1999-01-01T06:00:00.000Z","1,229.23","1,473.13","1,205.46","1,469.25","19.53","10.66","0"
"2000-01-03T06:00:00.000Z","1,469.25","1,553.11","1,254.07","1,320.28","-10.14","-19.00","0"
"2001-01-01T06:00:00.000Z","1,320.28","1,383.37","944.75","1,148.08","-13.04","-21.91","0"
"2002-01-01T06:00:00.000Z","1,148.08","1,176.97","768.67","879.82","-23.37","-32.23","0"
"2003-01-01T06:00:00.000Z","879.82","1,112.56","788.94","1,111.92","26.38","17.52","0"
"2004-01-01T06:00:00.000Z","1,114.05","1,217.33","1,062.23","1,211.92","8.99","0.1299","0"
"2005-01-03T06:00:00.000Z","1,215.81","1,275.80","1,136.15","1,248.29","3.00","-5.86","0"
"2006-01-02T06:00:00.000Z","1,255.45","1,431.81","1,219.29","1,418.30","13.62","4.76","0"
"2007-01-01T06:00:00.000Z","1,419.36","1,576.09","1,363.98","1,468.36","3.53","-5.33","4,302,912,100"
"2008-01-01T06:00:00.000Z","1,468.30","1,471.77","741.02","903.25","-38.49","-47.35","9,894,794,100"
"2009-01-01T06:00:00.000Z","904.61","1,130.38","666.79","1,115.10","23.45","14.59","11,366,688,640"
"2010-01-01T06:00:00.000Z","1,116.56","1,262.60","1,010.91","1,257.64","12.78","3.92","9,661,047,040"
"2011-01-03T06:00:00.000Z","1,257.62","1,370.58","1,074.77","1,257.60","-0.0032","-8.87","8,143,811,730"
"2012-01-02T06:00:00.000Z","1,258.86","1,474.51","1,258.86","1,426.19","13.41","4.54","6,547,056,980"
"2013-01-01T06:00:00.000Z","1,426.19","1,849.44","1,426.19","1,848.36","29.60","20.74","5,627,981,460"
"2014-01-01T06:00:00.000Z","1,845.86","2,093.55","1,737.92","2,058.90","11.39","2.53","5,212,348,890"
"2015-01-01T06:00:00.000Z","2,058.90","2,134.72","1,867.01","2,043.94","-0.7266","-9.59","5,655,147,540"
"2016-01-01T06:00:00.000Z","2,038.20","2,277.53","1,810.10","2,238.83","9.54","0.6715","5,924,172,140"
"2017-01-02T06:00:00.000Z","2,251.57","2,694.97","2,245.13","2,673.61","19.42","10.56","4,996,125,990"
"2018-01-01T06:00:00.000Z","2,683.73","2,940.91","2,346.58","2,506.85","-6.24","-15.10","5,618,930,550"
"2019-01-02T06:00:00.000Z","2,476.96","3,247.93","2,443.96","3,230.78","28.88","20.01","4,936,755,440"
"2020-01-02T06:00:00.000Z","3,244.67","3,760.20","2,191.86","3,756.07","16.26","7.40","6,906,760,830"
"2021-01-04T06:00:00.000Z","3,764.61","4,808.93","3,662.71","4,766.18","26.89","18.03","5,529,908,017"
"2022-01-03T06:00:00.000Z","4,778.14","4,818.62","3,491.58","3,839.50","-19.44","-28.31","6,191,787,220"
"2023-01-03T06:00:00.000Z","3,853.29","4,607.07","3,794.33","4,515.77","17.61","8.75","4,013,082,717"
