"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","0.3232","0.3945","0.3232","0.3770","","-15.69","61,747,200"
"1973-01-01T06:00:00.000Z","0.3779","0.3877","0.2773","0.2812","-25.41","-41.10","36,723,200"
"1974-01-01T06:00:00.000Z","0.2812","0.3164","0.1523","0.1719","-38.87","-54.55","37,644,800"
"1975-01-01T06:00:00.000Z","0.1758","0.2207","0.1289","0.1562","-9.13","-24.82","65,075,200"
"1976-01-01T06:00:00.000Z","0.1621","0.2129","0.1523","0.2129","36.30","20.61","107,891,200"
"1977-01-03T06:00:00.000Z","0.2148","0.2188","0.1309","0.1328","-37.62","-53.31","134,105,600"
"1978-01-02T06:00:00.000Z","0.1328","0.2051","0.1328","0.1582","19.13","3.44","154,547,200"
"1979-01-01T06:00:00.000Z","0.1562","0.2051","0.1562","0.1934","22.25","6.57","138,086,400"
"1980-01-01T06:00:00.000Z","0.1914","0.3438","0.1699","0.3223","66.65","50.96","189,529,600"
"1981-01-01T06:00:00.000Z","0.3223","0.4902","0.3125","0.4824","49.67","33.99","265,689,600"
"1982-01-01T06:00:00.000Z","0.4824","0.9082","0.4766","0.8633","78.96","63.27","262,476,800"
"1983-01-03T06:00:00.000Z","0.8496","1.48","0.8184","0.9062","4.97","-10.72","180,224,000"
"1984-01-02T06:00:00.000Z","0.8906","1.45","0.8906","1.44","58.63","42.94","175,228,800"
"1985-01-01T06:00:00.000Z","1.44","2.61","1.42","2.58","79.35","63.66","193,822,400"
"1986-01-01T06:00:00.000Z","2.58","3.61","2.41","2.92","13.34","-2.35","188,464,800"
"1987-01-01T06:00:00.000Z","2.95","4.52","2.06","2.50","-14.44","-30.12","258,528,000"
"1988-01-01T06:00:00.000Z","2.52","3.42","2.42","3.31","32.50","16.81","286,226,400"
"1989-01-02T06:00:00.000Z","3.31","5.11","3.19","4.91","48.11","32.43","238,911,200"
"1990-01-01T06:00:00.000Z","4.91","5.41","2.73","4.36","-11.15","-26.83","333,260,800"
"1991-01-01T06:00:00.000Z","4.36","8.03","3.86","8.03","84.23","68.54","419,070,400"
"1992-01-01T06:00:00.000Z","8.00","11.22","7.31","10.94","36.19","20.50","304,897,600"
"1993-01-01T06:00:00.000Z","10.88","12.28","7.31","9.38","-14.29","-29.97","422,284,000"
"1994-01-03T06:00:00.000Z","9.31","10.78","6.91","7.16","-23.67","-39.35","394,560,400"
"1995-01-02T06:00:00.000Z","7.28","11.56","7.00","11.25","57.21","41.52","227,558,400"
"1996-01-01T06:00:00.000Z","11.13","17.13","10.44","16.16","43.61","27.93","161,298,800"
"1997-01-01T06:00:00.000Z","16.09","31.84","15.66","29.09","80.08","64.39","234,421,000"
"1998-01-01T06:00:00.000Z","29.22","37.16","23.94","35.06","20.52","4.83","199,285,000"
"1999-01-01T06:00:00.000Z","35.19","47.63","27.75","36.53","4.19","-11.50","251,610,402"
"2000-01-03T06:00:00.000Z","36.50","68.40","31.22","62.10","70.01","54.32","343,132,200"
"2001-01-01T06:00:00.000Z","61.13","63.93","36.25","52.25","-15.87","-31.55","389,916,900"
"2002-01-01T06:00:00.000Z","51.76","58.36","32.11","39.00","-25.36","-41.04","396,591,902"
"2003-01-01T06:00:00.000Z","39.40","53.63","30.98","52.08","33.54","17.85","469,717,323"
"2004-01-01T06:00:00.000Z","52.05","56.90","39.91","49.12","-5.68","-21.37","405,466,499"
"2005-01-03T06:00:00.000Z","49.12","59.80","40.62","55.44","12.87","-2.82","396,767,800"
"2006-01-02T06:00:00.000Z","55.60","68.56","54.39","67.44","21.65","5.96","371,523,600"
"2007-01-01T06:00:00.000Z","68.01","82.53","59.13","81.20","20.40","4.72","889,632,252"
"2008-01-01T06:00:00.000Z","80.79","86.55","28.06","39.33","-51.56","-67.25","1,510,830,949"
"2009-01-01T06:00:00.000Z","39.52","55.87","14.43","43.54","10.70","-4.98","2,302,237,993"
"2010-01-01T06:00:00.000Z","43.81","48.80","32.47","46.34","6.43","-9.25","1,251,820,100"
"2011-01-03T06:00:00.000Z","46.93","50.26","29.86","40.31","-13.01","-28.70","1,099,977,512"
"2012-01-02T06:00:00.000Z","41.46","47.30","38.21","47.01","16.62","0.9361","967,741,521"
"2013-01-01T06:00:00.000Z","48.00","73.63","47.71","73.39","56.12","40.43","743,198,216"
"2014-01-01T06:00:00.000Z","73.35","80.92","62.67","78.50","6.96","-8.72","599,449,213"
"2015-01-01T06:00:00.000Z","79.22","81.26","63.97","66.36","-15.46","-31.15","631,661,538"
"2016-01-01T06:00:00.000Z","64.77","81.91","50.59","77.72","17.12","1.43","675,692,120"
"2017-01-02T06:00:00.000Z","79.00","100.90","74.45","97.61","25.59","9.91","485,713,373"
"2018-01-01T06:00:00.000Z","98.25","114.27","57.87","63.07","-35.39","-51.07","589,336,317"
"2019-01-02T06:00:00.000Z","61.99","81.23","48.62","79.10","25.42","9.73","705,172,009"
"2020-01-02T06:00:00.000Z","79.36","85.89","42.10","72.78","-7.99","-23.67","654,477,676"
"2021-01-04T06:00:00.000Z","73.34","100.69","69.02","93.00","27.78","12.10","595,724,896"
"2022-01-03T06:00:00.000Z","93.90","104.87","58.62","77.57","-16.59","-32.28","625,333,071"
"2023-01-03T06:00:00.000Z","78.65","94.73","65.40","69.85","-9.95","-25.64","475,274,087"
