"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1986-07-01T05:00:00.000Z","1.89","2.08","1.11","1.17","","-20.89","10,729,640"
"1987-01-01T06:00:00.000Z","1.17","1.56","0.5000","0.5903","-49.40","-70.30","32,574,176"
"1988-01-01T06:00:00.000Z","0.5764","0.7083","0.3750","0.4167","-29.41","-50.30","15,322,056"
"1989-01-02T06:00:00.000Z","0.4167","0.6945","0.4167","0.5486","31.65","10.76","8,165,864"
"1990-01-01T06:00:00.000Z","0.5556","0.7917","0.5139","0.6389","16.46","-4.43","7,931,880"
"1991-01-01T06:00:00.000Z","0.6528","1.50","0.6458","1.32","107.06","86.17","10,294,816"
"1992-01-01T06:00:00.000Z","1.32","2.13","1.31","2.13","60.63","39.74","98,755,280"
"1993-01-01T06:00:00.000Z","2.13","4.00","1.69","3.94","85.29","64.40","210,115,200"
"1994-01-03T06:00:00.000Z","3.88","4.81","2.53","4.75","20.63","-0.2583","208,260,800"
"1995-01-02T06:00:00.000Z","4.75","6.63","3.72","4.08","-14.15","-35.04","332,770,384"
"1996-01-01T06:00:00.000Z","4.06","4.94","1.97","3.56","-12.64","-33.54","351,466,400"
"1997-01-01T06:00:00.000Z","3.55","7.20","2.73","6.92","94.30","73.41","219,120,800"
"1998-01-01T06:00:00.000Z","6.92","7.47","4.41","7.23","4.40","-16.49","227,365,600"
"1999-01-01T06:00:00.000Z","7.09","7.69","5.36","6.38","-11.78","-32.68","194,906,400"
"2000-01-03T06:00:00.000Z","6.38","7.38","5.05","7.34","15.20","-5.70","162,164,800"
"2001-01-01T06:00:00.000Z","7.34","11.63","6.63","10.71","45.87","24.98","299,086,400"
"2002-01-01T06:00:00.000Z","10.71","16.00","10.53","11.86","10.67","-10.23","291,768,800"
"2003-01-01T06:00:00.000Z","11.93","17.32","10.95","16.46","38.89","17.99","306,933,406"
"2004-01-01T06:00:00.000Z","16.45","23.91","14.65","23.25","41.24","20.35","280,792,002"
"2005-01-03T06:00:00.000Z","23.26","31.60","21.15","26.23","12.79","-8.10","368,756,604"
"2006-01-02T06:00:00.000Z","26.35","29.14","23.32","29.02","10.64","-10.26","317,389,894"
"2007-01-01T06:00:00.000Z","28.80","29.17","18.83","23.64","-18.54","-39.43","555,570,821"
"2008-01-01T06:00:00.000Z","23.59","23.81","10.66","15.77","-33.29","-54.18","551,784,112"
"2009-01-01T06:00:00.000Z","15.82","17.56","10.72","15.93","1.01","-19.88","634,108,852"
"2010-01-01T06:00:00.000Z","16.02","22.52","14.60","22.15","39.05","18.15","466,174,286"
"2011-01-03T06:00:00.000Z","22.18","23.19","16.42","20.67","-6.68","-27.57","520,045,211"
"2012-01-02T06:00:00.000Z","20.96","36.98","18.50","35.39","71.21","50.32","584,995,161"
"2013-01-01T06:00:00.000Z","35.95","71.62","28.37","70.38","98.87","77.98","639,804,253"
"2014-01-01T06:00:00.000Z","70.02","100.77","68.54","98.17","39.49","18.59","322,623,907"
"2015-01-01T06:00:00.000Z","98.71","144.87","96.53","142.44","45.10","24.20","290,560,329"
"2016-01-01T06:00:00.000Z","141.03","173.55","130.23","153.31","7.63","-13.26","384,021,600"
"2017-01-02T06:00:00.000Z","155.01","229.42","144.00","228.57","49.09","28.20","365,619,597"
"2018-01-01T06:00:00.000Z","229.00","236.62","156.25","160.82","-29.64","-50.53","494,022,610"
"2019-01-02T06:00:00.000Z","160.06","214.48","150.37","189.75","17.99","-2.90","419,102,171"
"2020-01-02T06:00:00.000Z","189.97","220.00","104.28","219.05","15.44","-5.45","346,405,266"
"2021-01-04T06:00:00.000Z","220.00","251.70","207.35","250.97","14.57","-6.32","274,926,882"
"2022-01-03T06:00:00.000Z","251.25","261.52","207.59","231.75","-7.66","-28.55","257,152,969"
"2023-01-03T06:00:00.000Z","232.00","273.65","208.12","259.48","11.97","-8.93","202,186,711"
