"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1979-05-01T05:00:00.000Z","0.0833","0.0972","0.0710","0.0926","","-24.61","245,476,944"
"1980-01-01T06:00:00.000Z","0.0911","0.2222","0.0841","0.2222","139.96","115.35","240,674,576"
"1981-01-01T06:00:00.000Z","0.2222","0.2465","0.1586","0.2245","1.04","-23.57","179,424,400"
"1982-01-01T06:00:00.000Z","0.2245","0.3698","0.1817","0.3038","35.32","10.72","231,330,656"
"1983-01-03T06:00:00.000Z","0.3090","0.5486","0.3021","0.3854","26.86","2.25","137,583,120"
"1984-01-02T06:00:00.000Z","0.3854","0.4201","0.2604","0.3403","-11.70","-36.31","153,660,576"
"1985-01-01T06:00:00.000Z","0.3403","0.5130","0.3368","0.5000","46.93","22.32","186,884,832"
"1986-01-01T06:00:00.000Z","0.5000","0.9167","0.4844","0.6667","33.34","8.73","237,730,176"
"1987-01-01T06:00:00.000Z","0.6667","1.21","0.5260","0.7292","9.37","-15.23","213,228,688"
"1988-01-01T06:00:00.000Z","0.7292","1.03","0.7292","0.8438","15.72","-8.89","132,055,920"
"1989-01-02T06:00:00.000Z","0.8438","1.56","0.8125","1.55","83.33","58.72","201,385,328"
"1990-01-01T06:00:00.000Z","1.55","2.11","1.20","1.95","26.26","1.65","226,396,800"
"1991-01-01T06:00:00.000Z","1.95","6.53","1.72","6.25","220.00","195.40","340,962,400"
"1992-01-01T06:00:00.000Z","6.16","6.53","3.28","4.89","-21.75","-46.36","489,285,600"
"1993-01-01T06:00:00.000Z","4.94","4.97","2.63","3.53","-27.80","-52.40","675,708,800"
"1994-01-03T06:00:00.000Z","3.56","4.69","2.97","4.59","30.09","5.49","542,228,000"
"1995-01-02T06:00:00.000Z","4.59","7.31","4.52","6.56","42.86","18.25","684,020,800"
"1996-01-01T06:00:00.000Z","6.55","8.03","4.97","7.47","13.81","-10.79","528,653,200"
"1997-01-01T06:00:00.000Z","7.50","11.33","6.06","9.31","24.69","0.0803","265,536,000"
"1998-01-01T06:00:00.000Z","9.34","13.94","7.75","13.77","47.82","23.21","181,359,200"
"1999-01-01T06:00:00.000Z","13.50","18.31","11.11","17.41","26.45","1.84","265,803,200"
"2000-01-03T06:00:00.000Z","17.38","28.88","12.22","25.30","45.32","20.72","342,682,200"
"2001-01-01T06:00:00.000Z","24.75","31.60","21.65","29.18","15.38","-9.23","272,770,200"
"2002-01-01T06:00:00.000Z","29.07","33.73","21.93","33.56","14.99","-9.61","354,816,400"
"2003-01-01T06:00:00.000Z","33.60","42.68","29.82","42.51","26.65","2.05","377,819,510"
"2004-01-01T06:00:00.000Z","42.45","57.66","40.30","48.25","13.52","-11.09","376,736,004"
"2005-01-03T06:00:00.000Z","49.95","56.32","39.74","44.43","-7.92","-32.52","478,148,102"
"2006-01-02T06:00:00.000Z","44.90","55.92","39.77","55.11","24.04","-0.5672","362,329,303"
"2007-01-01T06:00:00.000Z","55.55","76.89","54.89","74.72","35.58","10.98","368,168,744"
"2008-01-01T06:00:00.000Z","74.53","74.94","35.38","39.95","-46.53","-71.14","532,787,926"
"2009-01-01T06:00:00.000Z","40.47","52.66","30.82","50.37","26.08","1.48","661,152,772"
"2010-01-01T06:00:00.000Z","51.28","59.72","42.74","53.70","6.61","-17.99","576,525,906"
"2011-01-03T06:00:00.000Z","53.93","65.21","43.73","49.71","-7.43","-32.04","569,025,698"
"2012-01-02T06:00:00.000Z","50.65","57.15","49.43","54.82","10.28","-14.33","466,185,130"
"2013-01-01T06:00:00.000Z","55.54","75.55","55.24","75.14","37.07","12.46","359,075,540"
"2014-01-01T06:00:00.000Z","75.12","98.24","74.02","94.33","25.54","0.9340","369,800,848"
"2015-01-01T06:00:00.000Z","94.70","105.34","89.81","92.94","-1.47","-26.08","334,607,335"
"2016-01-01T06:00:00.000Z","91.47","123.55","86.68","119.81","28.91","4.31","377,611,895"
"2017-01-02T06:00:00.000Z","119.81","160.62","116.50","154.84","29.24","4.63","293,388,062"
"2018-01-01T06:00:00.000Z","156.65","179.84","144.75","156.75","1.23","-23.37","337,127,437"
"2019-01-02T06:00:00.000Z","155.87","223.45","151.63","209.94","33.93","9.33","315,624,738"
"2020-01-02T06:00:00.000Z","210.94","245.34","124.54","245.04","16.72","-7.89","407,377,913"
"2021-01-04T06:00:00.000Z","245.34","281.16","220.90","267.42","9.13","-15.47","296,981,568"
"2022-01-03T06:00:00.000Z","267.41","280.43","188.84","244.49","-8.57","-33.18","367,333,321"
"2023-01-03T06:00:00.000Z","247.27","306.93","243.79","284.45","16.34","-8.26","217,357,081"
