"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1971-02-01T06:00:00.000Z","0.1347","0.1785","0.1125","0.1757","","-15.54","37,889,664"
"1972-01-03T06:00:00.000Z","0.1861","0.2583","0.1833","0.2333","32.78","17.24","67,529,984"
"1973-01-01T06:00:00.000Z","0.2319","0.2319","0.1111","0.1389","-40.46","-56.00","40,575,488"
"1974-01-01T06:00:00.000Z","0.1398","0.1502","0.0582","0.0686","-50.61","-66.15","43,342,080"
"1975-01-01T06:00:00.000Z","0.0703","0.1701","0.0703","0.1233","79.74","64.20","71,731,968"
"1976-01-01T06:00:00.000Z","0.1224","0.1372","0.0885","0.1120","-9.16","-24.71","36,827,584"
"1977-01-03T06:00:00.000Z","0.1128","0.1389","0.0964","0.1389","24.02","8.48","62,282,048"
"1978-01-02T06:00:00.000Z","0.1372","0.2326","0.1285","0.1849","33.12","17.58","147,727,808"
"1979-01-01T06:00:00.000Z","0.1849","0.2526","0.1840","0.2357","27.47","11.93","132,432,576"
"1980-01-01T06:00:00.000Z","0.2344","0.4297","0.2057","0.4141","75.69","60.15","109,888,512"
"1981-01-01T06:00:00.000Z","0.4180","0.6602","0.4180","0.6172","49.05","33.51","216,544,000"
"1982-01-01T06:00:00.000Z","0.6133","1.31","0.5801","1.23","98.74","83.20","213,654,400"
"1983-01-03T06:00:00.000Z","1.23","1.39","0.9766","1.14","-7.01","-22.55","350,057,600"
"1984-01-02T06:00:00.000Z","1.14","1.20","0.8047","1.05","-7.53","-23.07","232,444,800"
"1985-01-01T06:00:00.000Z","1.05","1.45","0.9922","1.40","32.59","17.05","303,235,200"
"1986-01-01T06:00:00.000Z","1.40","2.12","1.40","1.88","34.08","18.54","293,696,000"
"1987-01-01T06:00:00.000Z","1.88","2.59","1.41","1.70","-9.58","-25.12","264,150,400"
"1988-01-01T06:00:00.000Z","1.70","2.43","1.63","2.41","41.93","26.39","317,425,600"
"1989-01-02T06:00:00.000Z","2.41","4.00","2.29","3.95","64.29","48.75","353,677,600"
"1990-01-01T06:00:00.000Z","3.95","4.80","3.20","4.20","6.32","-9.22","351,212,800"
"1991-01-01T06:00:00.000Z","4.13","5.92","3.75","5.83","38.66","23.12","365,076,000"
"1992-01-01T06:00:00.000Z","5.80","6.94","5.14","6.59","13.14","-2.40","338,663,200"
"1993-01-01T06:00:00.000Z","6.59","7.75","5.56","7.31","10.90","-4.64","328,978,800"
"1994-01-03T06:00:00.000Z","7.25","7.31","5.28","6.44","-11.97","-27.51","368,269,600"
"1995-01-02T06:00:00.000Z","6.41","8.16","6.22","8.13","26.21","10.67","445,424,400"
"1996-01-01T06:00:00.000Z","8.06","9.06","6.91","8.16","0.3840","-15.16","356,952,000"
"1997-01-01T06:00:00.000Z","8.22","11.81","7.31","11.39","39.66","24.11","402,034,800"
"1998-01-01T06:00:00.000Z","11.39","14.34","9.97","13.72","20.44","4.90","296,210,400"
"1999-01-01T06:00:00.000Z","13.69","20.56","12.47","19.78","44.19","28.65","311,892,800"
"2000-01-03T06:00:00.000Z","19.50","30.44","13.06","30.00","51.66","36.12","423,516,700"
"2001-01-01T06:00:00.000Z","30.00","30.12","21.75","26.22","-12.60","-28.14","440,753,299"
"2002-01-01T06:00:00.000Z","26.02","32.58","21.25","29.79","13.62","-1.93","530,547,496"
"2003-01-01T06:00:00.000Z","29.85","37.57","22.90","37.23","24.97","9.43","537,166,579"
"2004-01-01T06:00:00.000Z","37.08","41.27","29.48","38.17","2.52","-13.02","538,291,994"
"2005-01-03T06:00:00.000Z","37.55","38.04","29.98","31.05","-18.65","-34.19","522,296,098"
"2006-01-02T06:00:00.000Z","31.21","37.04","26.50","36.76","18.39","2.85","620,916,495"
"2007-01-01T06:00:00.000Z","35.20","36.74","29.90","31.21","-15.10","-30.64","750,337,989"
"2008-01-01T06:00:00.000Z","31.21","35.00","20.74","22.94","-26.50","-42.04","1,024,069,679"
"2009-01-01T06:00:00.000Z","23.01","29.48","19.39","27.94","21.80","6.26","1,023,157,871"
"2010-01-01T06:00:00.000Z","28.20","31.99","26.99","29.40","5.23","-10.32","928,956,209"
"2011-01-03T06:00:00.000Z","29.53","32.76","25.09","29.33","-0.2381","-15.78","1,074,521,028"
"2012-01-02T06:00:00.000Z","29.75","32.40","27.05","31.66","7.94","-7.60","873,666,647"
"2013-01-01T06:00:00.000Z","31.98","43.40","30.55","36.10","14.02","-1.52","979,565,960"
"2014-01-01T06:00:00.000Z","36.90","41.16","34.07","39.69","9.94","-5.60","755,930,189"
"2015-01-01T06:00:00.000Z","39.87","42.03","35.45","41.00","3.30","-12.24","1,220,105,742"
"2016-01-01T06:00:00.000Z","40.53","57.07","38.84","55.37","35.05","19.51","1,013,857,125"
"2017-01-02T06:00:00.000Z","55.32","62.79","48.85","60.73","9.68","-5.86","719,408,962"
"2018-01-01T06:00:00.000Z","60.69","75.98","56.01","62.66","3.18","-12.36","706,794,371"
"2019-01-02T06:00:00.000Z","62.16","85.98","60.98","85.54","36.51","20.97","664,113,131"
"2020-01-02T06:00:00.000Z","85.06","85.13","26.00","74.26","-13.19","-28.73","1,024,454,154"
"2021-01-04T06:00:00.000Z","74.14","86.73","68.05","78.55","5.78","-9.76","591,553,156"
"2022-01-03T06:00:00.000Z","78.28","91.53","70.61","76.45","-2.67","-18.21","608,230,255"
"2023-01-03T06:00:00.000Z","76.45","82.38","69.22","70.29","-8.06","-23.60","406,952,582"
