"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1983-11-01T06:00:00.000Z","3.88","3.91","3.66","3.70","","-5.63","160,419,974"
"1984-01-02T06:00:00.000Z","3.71","4.50","3.46","4.45","20.17","14.54","894,604,148"
"1985-01-01T06:00:00.000Z","4.45","5.57","4.30","5.38","20.85","15.22","621,158,724"
"1986-01-01T06:00:00.000Z","5.38","7.32","4.97","7.06","31.29","25.65","738,101,632"
"1987-01-01T06:00:00.000Z","7.06","8.59","5.33","6.49","-8.13","-13.76","750,429,776"
"1988-01-01T06:00:00.000Z","6.49","8.04","6.23","7.62","17.45","11.82","504,212,517"
"1989-01-02T06:00:00.000Z","7.52","12.15","7.34","12.05","58.20","52.57","574,017,063"
"1990-01-01T06:00:00.000Z","12.05","12.22","8.92","10.57","-12.33","-17.96","494,410,925"
"1991-01-01T06:00:00.000Z","10.57","12.43","9.25","12.19","15.40","9.77","485,389,982"
"1992-01-01T06:00:00.000Z","12.12","14.10","10.68","13.96","14.51","8.88","469,282,417"
"1993-01-01T06:00:00.000Z","13.82","17.74","12.90","15.66","12.16","6.53","428,123,712"
"1994-01-03T06:00:00.000Z","15.66","16.75","13.87","15.24","-2.71","-8.34","491,736,494"
"1995-01-02T06:00:00.000Z","15.24","22.08","14.95","21.61","41.80","36.16","417,036,459"
"1996-01-01T06:00:00.000Z","21.70","22.74","17.36","19.58","-9.39","-15.02","637,525,446"
"1997-01-01T06:00:00.000Z","19.58","28.73","18.59","27.64","41.20","35.57","849,196,191"
"1998-01-01T06:00:00.000Z","27.93","41.42","26.42","40.47","46.42","40.78","931,373,163"
"1999-01-01T06:00:00.000Z","39.91","45.24","33.26","36.80","-9.09","-14.72","1,198,080,634"
"2000-01-03T06:00:00.000Z","36.65","44.53","26.28","36.04","-2.05","-7.68","2,238,039,923"
"2001-01-01T06:00:00.000Z","35.90","40.05","27.55","29.56","-17.97","-23.60","2,210,740,517"
"2002-01-01T06:00:00.000Z","29.63","30.94","14.77","20.46","-30.79","-36.42","2,685,721,974"
"2003-01-01T06:00:00.000Z","21.06","23.89","14.23","19.68","-3.84","-9.47","3,263,398,679"
"2004-01-01T06:00:00.000Z","19.68","20.93","17.34","19.45","-1.15","-6.78","2,895,235,133"
"2005-01-03T06:00:00.000Z","19.61","19.61","16.42","18.48","-4.97","-10.60","3,689,585,670"
"2006-01-02T06:00:00.000Z","18.48","27.33","18.30","26.98","45.98","40.35","6,151,321,945"
"2007-01-01T06:00:00.000Z","26.92","32.43","24.68","31.37","16.25","10.62","7,794,453,366"
"2008-01-01T06:00:00.000Z","31.33","31.66","15.77","21.51","-31.42","-37.06","10,434,846,291"
"2009-01-01T06:00:00.000Z","21.69","22.24","16.18","21.16","-1.65","-7.28","9,925,310,080"
"2010-01-01T06:00:00.000Z","21.44","22.31","17.95","22.18","4.82","-0.8157","9,433,549,880"
"2011-01-03T06:00:00.000Z","22.40","24.11","20.53","22.82","2.93","-2.70","9,642,257,419"
"2012-01-02T06:00:00.000Z","22.99","29.12","21.90","25.44","11.48","5.84","8,875,992,443"
"2013-01-01T06:00:00.000Z","25.96","29.44","24.73","26.54","4.30","-1.33","7,994,233,751"
"2014-01-01T06:00:00.000Z","26.60","28.29","23.96","25.35","-4.47","-10.10","8,246,835,374"
"2015-01-01T06:00:00.000Z","25.48","27.51","23.38","25.97","2.44","-3.19","9,443,852,880"
"2016-01-01T06:00:00.000Z","25.72","33.13","25.22","32.10","23.60","17.97","7,885,444,600"
"2017-01-02T06:00:00.000Z","32.22","32.48","24.57","29.35","-8.58","-14.21","8,420,737,986"
"2018-01-01T06:00:00.000Z","29.48","29.66","20.23","21.54","-26.59","-32.23","12,106,312,907"
"2019-01-02T06:00:00.000Z","21.51","29.96","21.36","29.50","36.93","31.30","10,064,376,966"
"2020-01-02T06:00:00.000Z","29.56","29.85","19.68","21.71","-26.41","-32.04","13,331,419,811"
"2021-01-04T06:00:00.000Z","22.18","25.57","16.62","18.57","-14.46","-20.10","14,536,066,125"
"2022-01-03T06:00:00.000Z","18.70","21.53","14.46","18.41","-0.8483","-6.48","12,821,072,628"
"2023-01-03T06:00:00.000Z","18.51","21.53","13.43","14.65","-20.42","-26.06","6,570,290,734"
