"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1975-06-02T05:00:00.000Z","15.25","17.75","11.06","12.75","","-6.36","15,782,800"
"1976-01-01T06:00:00.000Z","12.69","14.75","9.38","10.13","-20.59","-26.94","12,464,000"
"1977-01-03T06:00:00.000Z","10.56","10.88","6.50","6.63","-34.57","-40.92","10,847,600"
"1978-01-02T06:00:00.000Z","6.50","8.44","5.63","6.25","-5.66","-12.02","13,764,200"
"1979-01-01T06:00:00.000Z","6.25","8.50","6.19","6.56","5.00","-1.36","14,461,000"
"1980-01-01T06:00:00.000Z","6.38","10.19","4.75","7.88","20.00","13.64","30,582,000"
"1981-01-01T06:00:00.000Z","8.13","8.25","5.06","5.19","-34.13","-40.48","16,009,400"
"1982-01-01T06:00:00.000Z","5.19","7.50","4.94","6.13","18.07","11.72","24,169,800"
"1983-01-03T06:00:00.000Z","6.13","14.56","5.94","10.13","65.31","58.95","76,549,400"
"1984-01-02T06:00:00.000Z","10.13","10.81","6.00","8.06","-20.37","-26.73","43,617,400"
"1985-01-01T06:00:00.000Z","8.06","11.13","7.25","10.81","34.11","27.75","60,293,400"
"1986-01-01T06:00:00.000Z","10.81","15.81","10.19","12.00","10.98","4.63","74,507,000"
"1987-01-01T06:00:00.000Z","12.00","15.00","8.13","8.44","-29.69","-36.04","80,109,800"
"1988-01-01T06:00:00.000Z","8.44","10.50","8.44","10.00","18.52","12.16","34,424,600"
"1989-01-02T06:00:00.000Z","10.00","12.19","8.69","9.88","-1.25","-7.61","50,972,400"
"1990-01-01T06:00:00.000Z","9.88","13.69","8.56","10.25","3.80","-2.56","82,660,400"
"1991-01-01T06:00:00.000Z","10.19","12.13","8.69","10.50","2.44","-3.92","69,613,400"
"1992-01-01T06:00:00.000Z","10.44","11.44","7.75","8.25","-21.43","-27.78","51,746,600"
"1993-01-01T06:00:00.000Z","8.13","11.31","7.50","8.13","-1.52","-7.87","58,972,600"
"1994-01-03T06:00:00.000Z","8.19","10.44","7.38","8.38","3.08","-3.28","48,327,600"
"1995-01-02T06:00:00.000Z","8.38","11.63","7.56","11.06","32.09","25.73","45,111,800"
"1996-01-01T06:00:00.000Z","11.06","12.13","8.38","9.50","-14.12","-20.48","62,915,200"
"1997-01-01T06:00:00.000Z","9.50","20.63","8.75","16.63","75.00","68.64","114,314,200"
"1998-01-01T06:00:00.000Z","16.81","28.38","14.63","28.22","69.74","63.38","82,263,200"
"1999-01-01T06:00:00.000Z","27.94","32.91","22.63","26.25","-6.98","-13.33","61,287,000"
"2000-01-03T06:00:00.000Z","26.25","41.16","18.69","40.16","52.98","46.62","119,883,200"
"2001-01-01T06:00:00.000Z","40.16","40.59","21.32","26.70","-33.51","-39.87","182,603,600"
"2002-01-01T06:00:00.000Z","26.63","35.08","25.25","30.63","14.70","8.34","191,484,600"
"2003-01-01T06:00:00.000Z","30.68","32.41","22.93","28.05","-8.41","-14.76","219,883,436"
"2004-01-01T06:00:00.000Z","28.07","40.05","26.86","37.84","34.88","28.53","223,492,596"
"2005-01-03T06:00:00.000Z","37.85","39.99","28.68","33.49","-11.47","-17.83","416,377,796"
"2006-01-02T06:00:00.000Z","33.50","38.49","30.38","38.22","14.11","7.75","270,438,000"
"2007-01-01T06:00:00.000Z","38.50","57.70","37.55","51.62","35.06","28.70","435,895,628"
"2008-01-01T06:00:00.000Z","51.74","59.51","35.00","48.92","-5.23","-11.59","400,191,719"
"2009-01-01T06:00:00.000Z","48.71","51.33","30.76","45.16","-7.69","-14.04","391,340,644"
"2010-01-01T06:00:00.000Z","45.57","51.11","38.44","50.19","11.14","4.78","312,707,491"
"2011-01-03T06:00:00.000Z","50.44","50.44","37.99","43.54","-13.25","-19.61","331,071,124"
"2012-01-02T06:00:00.000Z","44.09","46.35","37.96","42.79","-1.72","-8.08","309,646,983"
"2013-01-01T06:00:00.000Z","43.42","56.49","41.26","56.15","31.22","24.87","310,650,585"
"2014-01-01T06:00:00.000Z","55.95","77.93","50.90","74.52","32.72","26.36","342,345,952"
"2015-01-01T06:00:00.000Z","74.64","95.74","63.91","93.92","26.03","19.68","499,804,110"
"2016-01-01T06:00:00.000Z","92.97","112.19","80.78","97.31","3.61","-2.75","489,319,663"
"2017-01-02T06:00:00.000Z","97.89","102.14","76.25","82.07","-15.66","-22.02","393,222,349"
"2018-01-01T06:00:00.000Z","82.24","85.86","54.17","56.16","-31.57","-37.93","528,133,352"
"2019-01-02T06:00:00.000Z","55.88","67.24","49.82","53.90","-4.02","-10.38","426,322,176"
"2020-01-02T06:00:00.000Z","54.25","61.94","32.11","45.19","-16.16","-22.51","604,048,067"
"2021-01-04T06:00:00.000Z","46.52","61.48","42.46","46.35","2.57","-3.79","493,152,948"
"2022-01-03T06:00:00.000Z","46.54","60.12","46.47","51.52","11.15","4.80","364,488,592"
"2023-01-03T06:00:00.000Z","50.55","70.90","48.48","62.91","22.11","15.75","331,853,065"
