"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1987-06-01T05:00:00.000Z","2.01","2.64","1.43","2.00","","-6.45","607,401,778"
"1988-01-01T06:00:00.000Z","2.00","2.35","1.91","2.11","5.58","-0.8631","651,065,502"
"1989-01-02T06:00:00.000Z","2.11","2.49","2.02","2.20","4.23","-2.21","820,388,547"
"1990-01-01T06:00:00.000Z","2.20","2.63","1.98","2.36","7.11","0.6619","840,210,079"
"1991-01-01T06:00:00.000Z","2.36","3.40","2.20","3.35","42.18","35.73","977,229,925"
"1992-01-01T06:00:00.000Z","3.34","3.43","2.30","2.64","-21.33","-27.78","1,037,692,787"
"1993-01-01T06:00:00.000Z","2.64","3.59","2.64","3.49","32.20","25.75","664,862,806"
"1994-01-03T06:00:00.000Z","3.51","4.12","2.99","3.14","-9.94","-16.38","970,194,892"
"1995-01-02T06:00:00.000Z","3.21","3.93","2.97","3.74","19.22","12.77","796,373,812"
"1996-01-01T06:00:00.000Z","3.78","6.24","3.78","6.19","65.37","58.92","486,805,593"
"1997-01-01T06:00:00.000Z","6.19","8.54","6.05","8.14","31.50","25.05","665,099,250"
"1998-01-01T06:00:00.000Z","8.14","14.14","7.82","12.34","51.64","45.19","315,391,224"
"1999-01-01T06:00:00.000Z","13.13","22.73","11.28","22.43","81.71","75.26","155,468,650"
"2000-01-03T06:00:00.000Z","22.50","27.02","13.11","14.23","-36.56","-43.01","1,219,461,889"
"2001-01-01T06:00:00.000Z","14.55","17.54","8.44","11.87","-16.60","-23.05","486,186,295"
"2002-01-01T06:00:00.000Z","12.14","12.66","6.68","8.19","-31.03","-37.48","292,454,293"
"2003-01-01T06:00:00.000Z","8.39","14.26","8.21","14.16","73.04","66.59","190,416,743"
"2004-01-01T06:00:00.000Z","14.45","18.25","12.92","18.11","27.86","21.41","122,041,935"
"2005-01-03T06:00:00.000Z","18.14","18.23","14.38","15.01","-17.13","-23.58","153,465,304"
"2006-01-02T06:00:00.000Z","15.24","21.66","14.75","21.25","41.60","35.16","167,378,146"
"2007-01-01T06:00:00.000Z","21.71","34.50","19.93","32.53","53.08","46.63","260,651,438"
"2008-01-01T06:00:00.000Z","32.41","34.03","15.56","22.46","-30.95","-37.39","389,824,794"
"2009-01-01T06:00:00.000Z","22.41","29.87","17.00","27.84","23.94","17.49","283,702,012"
"2010-01-01T06:00:00.000Z","28.32","28.63","17.73","22.81","-18.08","-24.53","540,879,940"
"2011-01-03T06:00:00.000Z","22.74","27.31","16.56","17.19","-24.63","-31.07","912,346,684"
"2012-01-02T06:00:00.000Z","17.62","17.89","10.06","13.49","-21.52","-27.97","842,585,879"
"2013-01-01T06:00:00.000Z","13.77","18.05","12.31","16.34","21.13","14.68","360,849,101"
"2014-01-01T06:00:00.000Z","15.93","17.51","13.76","14.21","-13.04","-19.48","291,444,955"
"2015-01-01T06:00:00.000Z","14.26","15.66","10.91","11.06","-22.17","-28.62","368,388,676"
"2016-01-01T06:00:00.000Z","10.82","11.43","8.15","9.20","-16.82","-23.26","421,488,842"
"2017-01-02T06:00:00.000Z","9.19","11.64","9.15","9.68","5.22","-1.23","333,711,048"
"2018-01-01T06:00:00.000Z","9.82","10.57","7.70","8.46","-12.60","-19.05","387,844,632"
"2019-01-02T06:00:00.000Z","8.35","9.01","6.50","6.97","-17.61","-24.06","450,601,606"
"2020-01-02T06:00:00.000Z","7.09","7.11","3.22","4.04","-42.04","-48.48","474,762,347"
"2021-01-04T06:00:00.000Z","4.13","5.17","4.05","4.24","4.95","-1.50","446,310,615"
"2022-01-03T06:00:00.000Z","4.32","5.39","3.10","3.57","-15.80","-22.25","435,051,913"
"2023-01-03T06:00:00.000Z","3.62","4.53","3.60","4.10","14.85","8.40","166,180,633"
