"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1970-10-01T05:00:00.000Z","1.05","1.05","0.6562","0.7969","","-22.04","2,296,000"
"1971-01-01T06:00:00.000Z","0.8125","1.19","0.6719","0.9219","15.69","-6.35","9,166,400"
"1972-01-03T06:00:00.000Z","0.9375","1.44","0.9141","1.09","18.65","-3.39","7,600,000"
"1973-01-01T06:00:00.000Z","1.09","1.70","0.7500","1.20","9.99","-12.04","12,123,200"
"1974-01-01T06:00:00.000Z","1.19","1.44","0.3125","0.3750","-68.83","-90.87","5,643,200"
"1975-01-01T06:00:00.000Z","0.3750","1.00","0.3594","0.6562","74.99","52.95","7,206,400"
"1976-01-01T06:00:00.000Z","0.6562","1.34","0.6562","0.8906","35.72","13.68","11,600,000"
"1977-01-03T06:00:00.000Z","0.8906","1.24","0.7031","1.16","29.82","7.79","9,875,200"
"1978-01-02T06:00:00.000Z","1.16","1.91","0.9375","1.03","-10.81","-32.85","34,763,200"
"1979-01-01T06:00:00.000Z","1.03","2.33","0.9062","2.22","115.17","93.13","47,660,800"
"1980-01-01T06:00:00.000Z","2.21","3.73","1.94","3.02","36.26","14.23","72,152,000"
"1981-01-01T06:00:00.000Z","3.00","3.20","1.81","2.19","-27.65","-49.68","54,131,200"
"1982-01-01T06:00:00.000Z","2.19","4.44","1.52","3.56","62.86","40.82","64,852,800"
"1983-01-03T06:00:00.000Z","3.55","9.84","3.41","9.00","152.63","130.60","84,900,400"
"1984-01-02T06:00:00.000Z","9.00","9.84","5.31","6.50","-27.78","-49.81","95,932,000"
"1985-01-01T06:00:00.000Z","6.47","8.16","4.28","5.78","-11.06","-33.09","113,009,600"
"1986-01-01T06:00:00.000Z","5.78","7.41","3.91","4.09","-29.19","-51.22","101,499,200"
"1987-01-01T06:00:00.000Z","4.13","9.13","3.34","4.03","-1.53","-23.57","145,458,400"
"1988-01-01T06:00:00.000Z","4.09","4.44","2.66","2.94","-27.13","-49.17","107,490,000"
"1989-01-02T06:00:00.000Z","2.94","3.69","2.47","2.75","-6.38","-28.42","77,666,000"
"1990-01-01T06:00:00.000Z","2.72","2.78","0.9375","1.75","-36.36","-58.40","57,384,400"
"1991-01-01T06:00:00.000Z","1.69","4.22","1.53","3.97","126.79","104.75","92,088,800"
"1992-01-01T06:00:00.000Z","3.91","5.09","2.50","3.84","-3.15","-25.19","155,961,600"
"1993-01-01T06:00:00.000Z","3.84","7.41","3.25","6.94","80.49","58.45","241,247,200"
"1994-01-03T06:00:00.000Z","6.88","8.56","5.09","8.47","22.07","0.0366","189,551,200"
"1995-01-02T06:00:00.000Z","8.38","21.44","8.03","12.56","48.34","26.30","337,783,400"
"1996-01-01T06:00:00.000Z","12.19","13.88","5.56","12.19","-2.99","-25.02","584,660,394"
"1997-01-01T06:00:00.000Z","12.06","29.59","11.81","16.00","31.28","9.25","633,518,002"
"1998-01-01T06:00:00.000Z","15.78","24.22","7.50","21.19","32.42","10.39","532,785,406"
"1999-01-01T06:00:00.000Z","21.06","66.00","20.63","66.00","211.50","189.47","581,033,199"
"2000-01-03T06:00:00.000Z","65.06","115.44","23.00","37.25","-43.56","-65.60","642,497,506"
"2001-01-01T06:00:00.000Z","37.25","47.21","18.43","30.14","-19.09","-41.12","654,861,200"
"2002-01-01T06:00:00.000Z","30.40","40.20","7.10","13.01","-56.83","-78.87","762,171,898"
"2003-01-01T06:00:00.000Z","13.27","26.31","8.75","25.45","95.62","73.58","770,749,100"
"2004-01-01T06:00:00.000Z","25.45","30.70","12.53","17.07","-32.93","-54.96","810,910,275"
"2005-01-03T06:00:00.000Z","17.10","17.33","10.80","14.57","-14.65","-36.68","695,647,190"
"2006-01-02T06:00:00.000Z","14.50","18.08","11.50","14.96","2.68","-19.36","710,689,604"
"2007-01-01T06:00:00.000Z","14.90","18.53","10.02","10.34","-30.88","-52.92","1,017,374,222"
"2008-01-01T06:00:00.000Z","10.35","14.50","2.80","4.22","-59.19","-81.22","909,430,888"
"2009-01-01T06:00:00.000Z","4.22","10.96","3.24","10.73","154.27","132.23","1,415,460,335"
"2010-01-01T06:00:00.000Z","10.86","14.44","8.84","14.04","30.85","8.81","1,573,790,332"
"2011-01-03T06:00:00.000Z","14.13","19.19","10.37","13.63","-2.92","-24.96","1,099,407,864"
"2012-01-02T06:00:00.000Z","13.95","18.01","12.95","16.89","23.92","1.88","817,618,393"
"2013-01-01T06:00:00.000Z","17.28","18.73","14.05","17.62","4.32","-17.71","643,246,786"
"2014-01-01T06:00:00.000Z","17.44","20.88","16.02","19.79","12.32","-9.72","675,724,098"
"2015-01-01T06:00:00.000Z","19.92","21.58","16.06","20.67","4.45","-17.59","527,099,900"
"2016-01-01T06:00:00.000Z","20.46","26.59","17.34","25.40","22.88","0.8472","475,209,987"
"2017-01-02T06:00:00.000Z","25.51","44.63","25.24","41.87","64.84","42.81","601,896,554"
"2018-01-01T06:00:00.000Z","43.71","50.68","28.73","31.38","-25.05","-47.09","715,666,284"
"2019-01-02T06:00:00.000Z","30.54","69.90","29.58","68.19","117.30","95.27","564,740,303"
"2020-01-02T06:00:00.000Z","68.84","122.37","42.87","119.89","75.82","53.78","550,271,191"
"2021-01-04T06:00:00.000Z","121.88","168.91","104.05","163.53","36.40","14.36","407,647,099"
"2022-01-03T06:00:00.000Z","164.86","167.69","67.81","87.35","-46.58","-68.62","458,469,767"
"2023-01-03T06:00:00.000Z","88.85","119.20","85.55","108.46","24.17","2.13","275,573,829"
