"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1982-02-01T06:00:00.000Z","0.6473","0.6473","0.4129","0.5000","","-16.89","2,872,928"
"1983-01-03T06:00:00.000Z","0.5000","0.5938","0.1328","0.1328","-73.44","-90.33","11,638,400"
"1984-01-02T06:00:00.000Z","0.1172","0.1875","0.0625","0.0898","-32.38","-49.27","9,665,600"
"1985-01-01T06:00:00.000Z","0.0938","0.2891","0.0938","0.2188","143.65","126.76","9,689,600"
"1986-01-01T06:00:00.000Z","0.2188","0.4531","0.2109","0.4141","89.26","72.37","9,539,200"
"1987-01-01T06:00:00.000Z","0.4141","0.7500","0.3906","0.3984","-3.79","-20.68","75,489,600"
"1988-01-01T06:00:00.000Z","0.3984","0.4688","0.2969","0.4297","7.86","-9.03","65,041,600"
"1989-01-02T06:00:00.000Z","0.4453","0.8438","0.3906","0.7344","70.91","54.02","20,766,400"
"1990-01-01T06:00:00.000Z","0.7344","0.8594","0.5781","0.7188","-2.12","-19.01","22,352,000"
"1991-01-01T06:00:00.000Z","0.7344","1.27","0.6875","1.18","64.12","47.23","406,582,400"
"1992-01-01T06:00:00.000Z","1.20","2.83","1.20","2.74","132.45","115.56","709,540,800"
"1993-01-01T06:00:00.000Z","2.84","4.19","2.13","3.77","37.32","20.43","566,628,000"
"1994-01-03T06:00:00.000Z","3.81","4.31","2.79","3.02","-19.71","-36.60","609,996,000"
"1995-01-02T06:00:00.000Z","3.02","5.92","2.67","5.80","91.73","74.85","921,186,400"
"1996-01-01T06:00:00.000Z","5.78","6.36","3.70","6.28","8.35","-8.53","1,137,524,000"
"1997-01-01T06:00:00.000Z","6.23","8.66","5.23","5.91","-5.84","-22.73","1,282,735,192"
"1998-01-01T06:00:00.000Z","5.95","6.36","3.95","5.09","-14.00","-30.89","853,898,408"
"1999-01-01T06:00:00.000Z","5.23","9.06","4.92","8.96","76.19","59.30","538,459,200"
"2000-01-03T06:00:00.000Z","9.06","19.69","7.98","18.31","104.36","87.47","1,077,369,208"
"2001-01-01T06:00:00.000Z","17.73","18.59","12.13","15.41","-15.86","-32.75","1,320,636,776"
"2002-01-01T06:00:00.000Z","15.68","20.09","12.92","19.30","25.30","8.41","1,128,931,260"
"2003-01-01T06:00:00.000Z","19.07","31.18","17.25","28.36","46.88","29.99","1,214,551,066"
"2004-01-01T06:00:00.000Z","28.54","34.66","22.82","29.86","5.31","-11.58","1,369,926,617"
"2005-01-03T06:00:00.000Z","29.86","45.91","26.78","43.01","44.04","27.15","1,163,389,965"
"2006-01-02T06:00:00.000Z","44.42","44.71","29.22","31.08","-27.74","-44.63","1,506,177,812"
"2007-01-01T06:00:00.000Z","31.39","47.14","30.81","46.48","49.55","32.66","1,308,849,053"
"2008-01-01T06:00:00.000Z","46.63","50.00","35.89","42.57","-8.41","-25.30","1,787,106,274"
"2009-01-01T06:00:00.000Z","42.40","56.88","41.05","56.18","31.97","15.08","1,341,548,837"
"2010-01-01T06:00:00.000Z","57.10","64.95","46.99","52.13","-7.21","-24.10","1,639,020,730"
"2011-01-03T06:00:00.000Z","52.59","57.08","35.00","40.36","-22.58","-39.47","1,608,161,693"
"2012-01-02T06:00:00.000Z","42.14","46.65","36.63","37.34","-7.48","-24.37","1,035,197,579"
"2013-01-01T06:00:00.000Z","37.80","41.74","36.26","40.08","7.34","-9.55","1,145,862,378"
"2014-01-01T06:00:00.000Z","40.02","58.95","39.64","57.51","43.49","26.60","1,263,534,851"
"2015-01-01T06:00:00.000Z","57.23","72.31","54.17","65.64","14.14","-2.75","1,309,562,699"
"2016-01-01T06:00:00.000Z","64.39","65.92","34.57","36.25","-44.77","-61.66","1,731,005,962"
"2017-01-02T06:00:00.000Z","36.69","38.31","10.85","18.95","-47.72","-64.61","4,167,071,482"
"2018-01-01T06:00:00.000Z","18.76","25.96","14.59","15.42","-18.63","-35.52","3,184,735,515"
"2019-01-02T06:00:00.000Z","15.24","20.21","6.07","9.80","-36.45","-53.33","4,264,637,787"
"2020-01-02T06:00:00.000Z","9.87","13.76","6.25","9.65","-1.53","-18.42","3,231,613,588"
"2021-01-04T06:00:00.000Z","9.71","13.30","7.73","8.01","-16.99","-33.88","2,306,477,333"
"2022-01-03T06:00:00.000Z","8.05","11.34","6.78","9.12","13.86","-3.03","2,585,895,163"
"2023-01-03T06:00:00.000Z","9.18","11.45","7.08","9.84","7.89","-8.99","1,830,441,214"
