"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1969-09-01T05:00:00.000Z","0.7318","0.9583","0.7057","0.7187","","-16.79","16,848,064"
"1970-01-01T06:00:00.000Z","0.7109","0.7422","0.4089","0.5625","-21.73","-38.53","62,049,884"
"1971-01-01T06:00:00.000Z","0.5573","0.8229","0.5573","0.7630","35.64","18.85","88,819,700"
"1972-01-03T06:00:00.000Z","0.7760","0.7891","0.4896","0.5521","-27.64","-44.43","125,415,196"
"1973-01-01T06:00:00.000Z","0.5521","0.5625","0.1745","0.1823","-66.98","-83.77","146,919,384"
"1974-01-01T06:00:00.000Z","0.1823","0.2500","0.1354","0.1510","-17.17","-33.96","70,728,340"
"1975-01-01T06:00:00.000Z","0.1510","0.5885","0.1354","0.5469","262.19","245.39","131,818,404"
"1976-01-01T06:00:00.000Z","0.5495","0.7969","0.5469","0.7969","45.71","28.92","141,984,924"
"1977-01-03T06:00:00.000Z","0.7969","0.9219","0.6146","0.8568","7.52","-9.28","171,452,432"
"1978-01-02T06:00:00.000Z","0.8568","0.9219","0.6927","0.7161","-16.42","-33.21","319,524,320"
"1979-01-01T06:00:00.000Z","0.7161","0.9583","0.7135","0.8828","23.28","6.49","249,654,780"
"1980-01-01T06:00:00.000Z","0.8828","1.13","0.7604","0.9114","3.24","-13.55","370,342,400"
"1981-01-01T06:00:00.000Z","0.9114","1.31","0.9062","1.25","37.15","20.36","406,587,572"
"1982-01-01T06:00:00.000Z","1.24","2.68","1.10","2.30","83.75","66.96","591,171,004"
"1983-01-03T06:00:00.000Z","2.30","3.39","2.08","2.59","12.92","-3.87","621,239,712"
"1984-01-02T06:00:00.000Z","2.59","3.10","2.18","2.63","1.21","-15.59","654,085,272"
"1985-01-01T06:00:00.000Z","2.63","4.06","2.45","3.82","45.63","28.84","624,126,936"
"1986-01-01T06:00:00.000Z","3.82","4.88","3.33","3.54","-7.36","-24.15","956,931,068"
"1987-01-01T06:00:00.000Z","3.54","5.25","2.09","2.30","-35.00","-51.79","2,393,623,900"
"1988-01-01T06:00:00.000Z","2.35","3.79","2.35","3.30","43.44","26.65","825,596,932"
"1989-01-02T06:00:00.000Z","3.30","5.58","3.23","5.30","60.56","43.77","863,907,324"
"1990-01-01T06:00:00.000Z","5.30","6.62","3.85","4.77","-10.02","-26.81","769,048,740"
"1991-01-01T06:00:00.000Z","4.77","6.69","4.48","5.16","8.08","-8.71","821,539,748"
"1992-01-01T06:00:00.000Z","5.16","6.60","4.83","6.31","22.42","5.63","899,811,672"
"1993-01-01T06:00:00.000Z","6.31","7.08","5.22","5.55","-12.05","-28.84","810,087,996"
"1994-01-03T06:00:00.000Z","5.58","7.24","5.41","5.90","6.19","-10.60","916,499,060"
"1995-01-02T06:00:00.000Z","5.89","6.71","5.27","6.25","6.01","-10.79","994,417,076"
"1996-01-01T06:00:00.000Z","6.26","10.16","5.76","9.81","57.00","40.21","1,159,403,100"
"1997-01-01T06:00:00.000Z","9.69","18.50","8.97","16.88","71.97","55.18","797,327,200"
"1998-01-01T06:00:00.000Z","16.98","27.13","15.72","27.13","60.74","43.95","846,396,406"
"1999-01-01T06:00:00.000Z","27.13","38.50","25.03","36.72","35.37","18.58","896,237,800"
"2000-01-03T06:00:00.000Z","36.13","39.19","21.63","32.25","-12.17","-28.96","1,118,756,577"
"2001-01-01T06:00:00.000Z","32.63","41.74","26.00","41.05","27.29","10.49","1,006,561,902"
"2002-01-01T06:00:00.000Z","41.05","46.15","24.90","30.00","-26.92","-43.71","1,178,990,527"
"2003-01-01T06:00:00.000Z","30.40","41.80","25.60","38.40","28.00","11.21","1,042,632,742"
"2004-01-01T06:00:00.000Z","38.45","54.14","36.63","51.93","35.23","18.44","1,005,294,004"
"2005-01-03T06:00:00.000Z","52.67","60.00","45.55","54.97","5.85","-10.94","1,001,492,601"
"2006-01-02T06:00:00.000Z","55.52","60.34","44.70","57.05","3.78","-13.01","1,168,004,896"
"2007-01-01T06:00:00.000Z","57.85","70.75","48.85","50.00","-12.36","-29.15","2,050,025,179"
"2008-01-01T06:00:00.000Z","50.05","59.55","25.60","34.53","-30.94","-47.73","3,191,460,032"
"2009-01-01T06:00:00.000Z","34.64","51.77","25.00","48.37","40.08","23.29","2,582,024,225"
"2010-01-01T06:00:00.000Z","48.47","60.65","48.23","60.13","24.31","7.52","1,513,618,156"
"2011-01-03T06:00:00.000Z","60.26","60.97","45.28","51.22","-14.82","-31.61","1,830,412,895"
"2012-01-02T06:00:00.000Z","51.89","65.80","47.25","59.17","15.52","-1.27","1,248,859,766"
"2013-01-01T06:00:00.000Z","58.57","73.50","58.01","63.27","6.93","-9.86","1,192,895,668"
"2014-01-01T06:00:00.000Z","63.53","76.64","54.66","75.91","19.98","3.19","1,364,580,485"
"2015-01-01T06:00:00.000Z","76.11","85.81","68.15","72.61","-4.35","-21.14","1,267,667,863"
"2016-01-01T06:00:00.000Z","71.84","84.14","65.50","72.23","-0.5233","-17.32","1,416,696,215"
"2017-01-02T06:00:00.000Z","72.66","74.24","48.56","65.25","-9.66","-26.46","1,832,502,930"
"2018-01-01T06:00:00.000Z","65.95","90.39","60.15","66.09","1.29","-15.51","1,398,662,398"
"2019-01-02T06:00:00.000Z","65.06","130.24","64.76","128.21","93.99","77.20","1,292,117,425"
"2020-01-02T06:00:00.000Z","128.74","181.17","90.17","176.53","37.69","20.90","1,226,731,003"
"2021-01-04T06:00:00.000Z","176.51","268.98","166.82","231.44","31.11","14.31","865,069,017"
"2022-01-03T06:00:00.000Z","231.07","254.87","137.16","149.04","-35.60","-52.40","1,191,342,955"
"2023-01-03T06:00:00.000Z","149.97","181.70","120.75","125.52","-15.78","-32.57","747,860,908"
