"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","1.26","1.74","1.15","1.23","","-18.67","9,802,276"
"1973-01-01T06:00:00.000Z","1.31","1.59","0.7549","1.36","10.21","-8.46","7,897,303"
"1974-01-01T06:00:00.000Z","1.37","1.50","0.3146","0.4655","-65.74","-84.42","17,953,065"
"1975-01-01T06:00:00.000Z","0.4655","0.7486","0.4215","0.4781","2.71","-15.97","14,543,438"
"1976-01-01T06:00:00.000Z","0.4907","0.6417","0.4026","0.5788","21.06","2.39","15,558,720"
"1977-01-03T06:00:00.000Z","0.6039","1.08","0.5788","0.7801","34.78","16.10","32,068,665"
"1978-01-02T06:00:00.000Z","0.7423","1.60","0.6920","1.25","59.67","41.00","52,586,326"
"1979-01-01T06:00:00.000Z","1.23","2.08","1.23","1.94","56.06","37.39","55,216,938"
"1980-01-01T06:00:00.000Z","1.96","2.96","1.51","2.32","19.42","0.7452","61,383,940"
"1981-01-01T06:00:00.000Z","2.32","2.95","1.42","1.60","-30.90","-49.57","27,280,619"
"1982-01-01T06:00:00.000Z","1.60","1.69","0.8587","1.16","-27.65","-46.32","28,697,954"
"1983-01-03T06:00:00.000Z","1.18","2.49","1.18","2.49","114.63","95.95","35,686,902"
"1984-01-02T06:00:00.000Z","2.49","2.53","1.56","2.26","-9.09","-27.76","26,028,215"
"1985-01-01T06:00:00.000Z","2.26","3.97","2.04","3.42","50.93","32.26","40,787,107"
"1986-01-01T06:00:00.000Z","3.42","5.86","3.40","4.33","26.71","8.03","40,125,283"
"1987-01-01T06:00:00.000Z","4.39","7.29","2.55","3.47","-19.85","-38.53","42,209,136"
"1988-01-01T06:00:00.000Z","3.47","5.29","3.25","5.16","48.62","29.95","21,734,292"
"1989-01-02T06:00:00.000Z","5.16","9.65","4.87","7.80","51.24","32.56","47,525,060"
"1990-01-01T06:00:00.000Z","7.80","8.98","5.54","7.36","-5.71","-24.39","46,335,011"
"1991-01-01T06:00:00.000Z","7.29","11.97","6.59","11.88","61.47","42.80","74,529,767"
"1992-01-01T06:00:00.000Z","11.78","12.10","9.55","12.01","1.07","-17.60","68,510,485"
"1993-01-01T06:00:00.000Z","12.04","16.53","11.97","16.05","33.69","15.01","93,523,934"
"1994-01-03T06:00:00.000Z","15.96","18.30","13.76","17.15","6.84","-11.83","99,692,118"
"1995-01-02T06:00:00.000Z","17.25","29.81","16.77","29.81","73.82","55.14","107,169,334"
"1996-01-01T06:00:00.000Z","29.67","38.16","25.58","35.47","18.99","0.3152","131,535,544"
"1997-01-01T06:00:00.000Z","34.83","38.26","24.40","37.83","6.67","-12.01","152,553,237"
"1998-01-01T06:00:00.000Z","37.83","38.05","11.66","14.56","-61.51","-80.18","219,220,351"
"1999-01-01T06:00:00.000Z","14.78","17.41","10.75","12.90","-11.44","-30.11","160,520,191"
"2000-01-03T06:00:00.000Z","12.90","26.86","12.04","25.58","98.33","79.66","233,826,276"
"2001-01-01T06:00:00.000Z","25.45","26.33","14.82","23.86","-6.73","-25.40","262,160,086"
"2002-01-01T06:00:00.000Z","23.85","24.60","14.33","20.12","-15.67","-34.35","187,500,200"
"2003-01-01T06:00:00.000Z","20.35","25.40","16.89","25.20","25.25","6.57","157,442,249"
"2004-01-01T06:00:00.000Z","25.20","31.40","24.00","30.19","19.80","1.13","197,566,300"
"2005-01-03T06:00:00.000Z","30.14","31.87","23.94","30.13","-0.1987","-18.87","233,783,602"
"2006-01-02T06:00:00.000Z","30.40","46.34","29.95","45.29","50.32","31.64","395,859,096"
"2007-01-01T06:00:00.000Z","45.15","62.02","43.60","57.68","27.36","8.68","701,923,779"
"2008-01-01T06:00:00.000Z","57.68","62.77","26.65","34.07","-40.93","-59.61","900,720,325"
"2009-01-01T06:00:00.000Z","34.21","49.70","30.83","47.69","39.98","21.30","1,091,043,015"
"2010-01-01T06:00:00.000Z","48.03","57.40","41.74","55.36","16.08","-2.59","897,388,076"
"2011-01-03T06:00:00.000Z","55.64","65.86","43.06","44.97","-18.77","-37.44","803,367,866"
"2012-01-02T06:00:00.000Z","45.79","65.54","45.67","63.78","41.83","23.15","549,767,741"
"2013-01-01T06:00:00.000Z","64.79","111.44","64.54","111.35","74.58","55.91","497,070,227"
"2014-01-01T06:00:00.000Z","110.69","129.77","107.33","125.29","12.52","-6.16","509,001,513"
"2015-01-01T06:00:00.000Z","126.30","143.65","117.10","141.85","13.22","-5.46","441,147,454"
"2016-01-01T06:00:00.000Z","139.45","160.68","119.75","141.10","-0.5287","-19.20","430,643,275"
"2017-01-02T06:00:00.000Z","142.39","201.20","140.00","189.88","34.57","15.90","390,654,735"
"2018-01-01T06:00:00.000Z","190.80","253.91","190.38","223.79","17.86","-0.8159","377,050,449"
"2019-01-02T06:00:00.000Z","219.86","330.14","210.07","324.87","45.17","26.49","378,641,724"
"2020-01-02T06:00:00.000Z","326.00","532.57","250.21","465.78","43.37","24.70","423,059,358"
"2021-01-04T06:00:00.000Z","469.05","672.34","433.52","667.24","43.25","24.58","380,884,924"
"2022-01-03T06:00:00.000Z","662.99","664.27","475.77","550.69","-17.47","-36.14","366,065,704"
"2023-01-03T06:00:00.000Z","553.29","609.85","498.50","557.22","1.19","-17.49","248,061,171"
