"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.6333","1.00","0.5708","0.7750","","-21.69","25,686,065"
"1969-01-01T06:00:00.000Z","0.7875","0.8250","0.5208","0.5292","-31.72","-53.41","9,252,000"
"1970-01-01T06:00:00.000Z","0.5500","0.6500","0.4417","0.6333","19.67","-2.02","5,700,000"
"1971-01-01T06:00:00.000Z","0.6250","0.8167","0.4917","0.6375","0.6632","-21.03","9,219,005"
"1972-01-03T06:00:00.000Z","0.6500","0.8042","0.6083","0.7583","18.95","-2.74","12,549,010"
"1973-01-01T06:00:00.000Z","0.7583","0.8458","0.5542","0.7667","1.11","-20.58","9,201,000"
"1974-01-01T06:00:00.000Z","0.7667","0.9500","0.6500","0.7042","-8.15","-29.84","6,744,005"
"1975-01-01T06:00:00.000Z","0.7000","1.42","0.6917","1.13","59.76","38.06","6,294,000"
"1976-01-01T06:00:00.000Z","1.13","2.05","1.13","2.03","80.74","59.05","4,542,010"
"1977-01-03T06:00:00.000Z","2.03","2.67","1.88","2.65","30.33","8.64","3,534,000"
"1978-01-02T06:00:00.000Z","2.63","3.80","2.57","3.00","13.21","-8.48","3,675,000"
"1979-01-01T06:00:00.000Z","3.03","6.20","3.02","5.98","99.44","77.75","3,408,000"
"1980-01-01T06:00:00.000Z","5.93","14.20","5.00","12.00","100.56","78.87","4,005,500"
"1981-01-01T06:00:00.000Z","12.00","12.30","5.30","6.30","-47.50","-69.19","2,766,000"
"1982-01-01T06:00:00.000Z","6.25","6.25","3.70","4.17","-33.73","-55.42","3,159,000"
"1983-01-03T06:00:00.000Z","4.17","7.90","4.13","7.40","77.25","55.55","3,096,000"
"1984-01-02T06:00:00.000Z","7.40","7.80","6.40","6.45","-12.84","-34.53","2,689,000"
"1985-01-01T06:00:00.000Z","6.45","6.95","5.75","6.13","-5.04","-26.73","2,636,500"
"1986-01-01T06:00:00.000Z","6.08","6.10","4.75","4.85","-20.82","-42.51","4,635,000"
"1987-01-01T06:00:00.000Z","4.90","7.45","4.58","4.95","2.06","-19.63","3,428,000"
"1988-01-01T06:00:00.000Z","5.00","6.40","5.00","6.20","25.25","3.56","2,190,500"
"1989-01-02T06:00:00.000Z","6.15","10.80","6.03","6.85","10.48","-11.21","4,238,500"
"1990-01-01T06:00:00.000Z","6.85","7.10","4.05","4.30","-37.23","-58.92","3,283,500"
"1991-01-01T06:00:00.000Z","4.28","5.60","3.55","3.55","-17.44","-39.13","2,883,500"
"1992-01-01T06:00:00.000Z","3.65","4.65","3.38","3.48","-2.11","-23.80","3,483,000"
"1993-01-01T06:00:00.000Z","3.42","3.98","3.35","3.83","10.07","-11.62","2,470,500"
"1994-01-03T06:00:00.000Z","3.88","4.42","3.60","3.67","-3.92","-25.61","2,150,000"
"1995-01-02T06:00:00.000Z","3.70","5.75","3.40","5.25","42.86","21.16","7,495,000"
"1996-01-01T06:00:00.000Z","5.22","6.50","4.95","5.45","3.81","-17.88","5,545,500"
"1997-01-01T06:00:00.000Z","5.40","11.68","5.30","9.03","65.60","43.90","10,352,500"
"1998-01-01T06:00:00.000Z","9.03","10.93","7.15","10.78","19.39","-2.30","5,196,500"
"1999-01-01T06:00:00.000Z","10.72","11.90","7.55","7.66","-28.89","-50.58","6,183,500"
"2000-01-03T06:00:00.000Z","7.63","9.20","6.70","7.13","-7.01","-28.71","6,008,000"
"2001-01-01T06:00:00.000Z","7.13","8.25","6.81","7.36","3.30","-18.39","3,310,000"
"2002-01-01T06:00:00.000Z","7.33","8.55","6.89","8.14","10.60","-11.09","2,966,000"
"2003-01-01T06:00:00.000Z","8.13","11.65","8.10","11.25","38.21","16.51","4,026,000"
"2004-01-01T06:00:00.000Z","11.21","27.70","11.04","27.01","140.09","118.40","7,874,500"
"2005-01-03T06:00:00.000Z","26.61","36.70","21.20","29.80","10.33","-11.36","9,388,000"
"2006-01-02T06:00:00.000Z","29.80","44.20","27.30","43.40","45.64","23.95","5,090,000"
"2007-01-01T06:00:00.000Z","43.00","62.75","37.01","44.75","3.11","-18.58","4,046,944"
"2008-01-01T06:00:00.000Z","45.50","55.15","16.10","23.10","-48.38","-70.07","5,411,488"
"2009-01-01T06:00:00.000Z","23.58","37.70","16.30","30.05","30.09","8.39","3,318,244"
"2010-01-01T06:00:00.000Z","30.44","43.97","25.15","36.48","21.40","-0.2946","4,608,591"
"2011-01-03T06:00:00.000Z","36.15","49.54","33.62","40.69","11.54","-10.15","2,960,176"
"2012-01-02T06:00:00.000Z","40.34","61.51","39.86","53.43","31.31","9.62","3,185,432"
"2013-01-01T06:00:00.000Z","54.21","101.39","51.14","99.99","87.14","65.45","3,084,260"
"2014-01-01T06:00:00.000Z","99.46","242.00","93.00","118.00","18.01","-3.68","4,266,187"
"2015-01-01T06:00:00.000Z","116.75","164.47","96.54","130.92","10.95","-10.74","2,868,149"
"2016-01-01T06:00:00.000Z","126.00","307.79","104.06","296.77","126.68","104.99","3,884,778"
"2017-01-02T06:00:00.000Z","297.82","458.00","259.00","446.63","50.50","28.80","4,569,228"
"2018-01-01T06:00:00.000Z","446.01","877.97","409.00","541.63","21.27","-0.4218","4,690,174"
"2019-01-02T06:00:00.000Z","532.27","915.66","524.90","781.22","44.23","22.54","4,172,730"
"2020-01-02T06:00:00.000Z","785.00","838.50","295.05","727.00","-6.94","-28.63","7,475,089"
"2021-01-04T06:00:00.000Z","723.49","1,773.95","710.50","1,248.87","71.78","50.09","11,182,686"
"2022-01-03T06:00:00.000Z","1,241.05","2,739.00","946.29","2,344.23","87.71","66.02","8,550,923"
"2023-01-03T06:00:00.000Z","2,307.17","2,307.17","1,266.21","1,908.33","-18.59","-40.29","6,256,631"
