"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1986-04-01T06:00:00.000Z","0.8047","1.41","0.8008","0.9531","","-18.22","243,760,000"
"1987-01-01T06:00:00.000Z","0.9688","1.59","0.5469","0.6250","-34.42","-52.64","189,731,200"
"1988-01-01T06:00:00.000Z","0.6250","1.12","0.6172","1.08","72.50","54.28","112,816,000"
"1989-01-02T06:00:00.000Z","1.08","1.84","1.07","1.83","69.57","51.35","86,348,800"
"1990-01-01T06:00:00.000Z","1.88","1.97","0.8906","1.50","-17.95","-36.17","122,078,400"
"1991-01-01T06:00:00.000Z","1.50","2.86","1.17","2.81","87.50","69.28","132,593,600"
"1992-01-01T06:00:00.000Z","2.75","3.11","2.05","2.84","1.11","-17.11","165,548,800"
"1993-01-01T06:00:00.000Z","2.80","4.11","2.53","3.63","27.47","9.25","222,115,200"
"1994-01-03T06:00:00.000Z","3.56","4.78","3.08","3.75","3.45","-14.77","233,488,000"
"1995-01-02T06:00:00.000Z","3.69","7.09","3.38","6.16","64.17","45.95","272,607,200"
"1996-01-01T06:00:00.000Z","6.08","11.41","5.33","10.88","76.65","58.43","232,363,600"
"1997-01-01T06:00:00.000Z","10.94","18.44","9.13","15.72","44.54","26.32","257,406,800"
"1998-01-01T06:00:00.000Z","15.78","21.44","10.44","17.13","8.95","-9.27","282,757,200"
"1999-01-01T06:00:00.000Z","17.50","21.63","12.94","18.47","7.85","-10.37","299,047,808"
"2000-01-03T06:00:00.000Z","18.53","24.97","15.03","21.13","14.42","-3.80","271,649,000"
"2001-01-01T06:00:00.000Z","21.25","21.97","11.72","17.36","-17.83","-36.05","289,067,000"
"2002-01-01T06:00:00.000Z","17.32","21.34","10.63","13.64","-21.45","-39.67","347,004,186"
"2003-01-01T06:00:00.000Z","13.65","23.80","11.86","23.70","73.79","55.57","454,017,774"
"2004-01-01T06:00:00.000Z","23.76","31.70","21.91","31.10","31.20","12.98","342,797,012"
"2005-01-03T06:00:00.000Z","31.23","37.70","27.09","36.02","15.80","-2.42","288,222,030"
"2006-01-02T06:00:00.000Z","36.19","48.50","34.87","43.77","21.53","3.31","322,860,157"
"2007-01-01T06:00:00.000Z","45.35","65.46","44.59","60.88","39.09","20.87","389,572,667"
"2008-01-01T06:00:00.000Z","59.80","70.20","24.26","35.44","-41.79","-60.01","835,614,984"
"2009-01-01T06:00:00.000Z","35.43","55.48","20.09","53.25","50.25","32.03","858,200,875"
"2010-01-01T06:00:00.000Z","53.77","65.38","42.81","64.54","21.20","2.98","510,506,441"
"2011-01-03T06:00:00.000Z","64.92","71.29","44.68","56.95","-11.76","-29.98","552,437,790"
"2012-01-02T06:00:00.000Z","58.51","66.95","54.47","65.12","14.34","-3.88","352,715,828"
"2013-01-01T06:00:00.000Z","66.32","83.99","66.18","83.77","28.65","10.43","346,970,434"
"2014-01-01T06:00:00.000Z","83.58","88.64","71.78","85.86","2.49","-15.73","350,391,001"
"2015-01-01T06:00:00.000Z","86.60","87.22","65.88","71.49","-16.74","-34.96","372,948,784"
"2016-01-01T06:00:00.000Z","69.93","79.00","62.97","75.26","5.27","-12.95","409,494,270"
"2017-01-02T06:00:00.000Z","76.34","106.10","65.33","104.93","39.42","21.20","415,252,739"
"2018-01-01T06:00:00.000Z","104.44","127.43","84.59","92.32","-12.02","-30.24","370,214,523"
"2019-01-02T06:00:00.000Z","90.22","126.16","86.61","121.84","31.98","13.76","282,707,495"
"2020-01-02T06:00:00.000Z","122.35","154.33","82.51","151.39","24.25","6.03","331,152,630"
"2021-01-04T06:00:00.000Z","152.26","224.56","145.82","196.64","29.89","11.67","263,677,229"
"2022-01-03T06:00:00.000Z","197.24","198.87","93.53","109.06","-44.54","-62.76","447,779,468"
"2023-01-03T06:00:00.000Z","110.72","132.76","102.25","112.90","3.52","-14.70","253,301,238"
