"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-12-01T06:00:00.000Z","6.73","6.76","6.55","6.76","","-5.87","89,865"
"1973-01-01T06:00:00.000Z","6.76","6.76","3.76","4.23","-37.50","-43.37","1,088,490"
"1974-01-01T06:00:00.000Z","4.26","4.83","0.5174","3.42","-19.18","-25.05","5,857,648"
"1975-01-01T06:00:00.000Z","3.47","4.86","3.47","4.50","31.82","25.95","5,045,457"
"1976-01-01T06:00:00.000Z","4.45","5.54","4.29","5.48","21.84","15.97","8,309,408"
"1977-01-03T06:00:00.000Z","5.48","6.88","5.02","6.31","15.09","9.23","10,560,899"
"1978-01-02T06:00:00.000Z","6.26","7.87","5.80","7.19","13.93","8.07","16,572,314"
"1979-01-01T06:00:00.000Z","7.19","11.59","7.19","10.50","46.04","40.18","16,385,323"
"1980-01-01T06:00:00.000Z","10.50","11.38","8.49","9.21","-12.32","-18.18","10,527,077"
"1981-01-01T06:00:00.000Z","9.21","11.38","7.45","10.04","8.99","3.12","10,183,563"
"1982-01-01T06:00:00.000Z","9.99","11.85","6.83","11.28","12.37","6.50","16,600,814"
"1983-01-03T06:00:00.000Z","11.07","13.09","9.99","12.94","14.68","8.81","34,417,608"
"1984-01-02T06:00:00.000Z","12.94","18.11","12.11","18.01","39.20","33.33","15,111,368"
"1985-01-01T06:00:00.000Z","18.01","24.01","12.42","12.73","-29.31","-35.18","7,041,966"
"1986-01-01T06:00:00.000Z","12.73","12.83","9.31","10.14","-20.33","-26.19","2,742,857"
"1987-01-01T06:00:00.000Z","10.14","13.66","8.69","9.73","-4.08","-9.95","6,256,721"
"1988-01-01T06:00:00.000Z","9.83","10.97","8.38","10.35","6.38","0.5154","3,264,905"
"1989-01-02T06:00:00.000Z","10.35","12.63","9.73","12.00","16.00","10.13","6,186,066"
"1990-01-01T06:00:00.000Z","12.11","12.73","10.25","12.21","1.72","-4.14","8,935,566"
"1991-01-01T06:00:00.000Z","12.21","13.14","11.59","12.63","3.39","-2.48","12,765,414"
"1992-01-01T06:00:00.000Z","12.63","13.04","11.07","11.49","-9.02","-14.89","11,430,090"
"1993-01-01T06:00:00.000Z","11.59","13.76","10.56","12.73","10.81","4.94","59,186,387"
"1994-01-03T06:00:00.000Z","12.63","13.14","9.62","10.14","-20.33","-26.19","67,872,051"
"1995-01-02T06:00:00.000Z","10.14","11.59","9.62","11.38","12.24","6.38","48,511,458"
"1996-01-01T06:00:00.000Z","11.38","15.01","11.28","14.49","27.27","21.40","38,652,818"
"1997-01-01T06:00:00.000Z","14.49","18.68","13.87","18.52","27.86","21.99","32,859,791"
"1998-01-01T06:00:00.000Z","18.47","20.08","13.38","14.75","-20.37","-26.24","20,589,217"
"1999-01-01T06:00:00.000Z","14.81","15.38","7.81","8.75","-40.68","-46.55","22,535,900"
"2000-01-03T06:00:00.000Z","8.69","11.50","6.75","11.50","31.43","25.56","28,150,300"
"2001-01-01T06:00:00.000Z","11.38","13.41","9.88","12.51","8.78","2.91","21,147,100"
"2002-01-01T06:00:00.000Z","12.46","15.56","11.89","14.51","15.99","10.12","18,539,600"
"2003-01-01T06:00:00.000Z","14.55","21.88","14.16","21.51","48.24","42.37","23,072,500"
"2004-01-01T06:00:00.000Z","21.62","24.91","18.75","24.87","15.62","9.75","40,475,800"
"2005-01-03T06:00:00.000Z","24.91","32.43","23.36","31.48","26.58","20.71","38,378,100"
"2006-01-02T06:00:00.000Z","31.30","35.40","27.40","34.95","11.02","5.15","34,910,200"
"2007-01-01T06:00:00.000Z","34.56","43.94","31.33","40.93","17.11","11.24","49,860,942"
"2008-01-01T06:00:00.000Z","40.78","41.53","23.52","27.14","-33.69","-39.56","104,840,545"
"2009-01-01T06:00:00.000Z","27.14","34.59","20.01","34.37","26.64","20.77","111,953,124"
"2010-01-01T06:00:00.000Z","34.76","38.59","25.80","38.04","10.68","4.81","84,965,742"
"2011-01-03T06:00:00.000Z","38.35","45.09","36.12","43.67","14.80","8.93","154,185,829"
"2012-01-02T06:00:00.000Z","44.04","47.77","39.74","47.32","8.36","2.49","110,092,487"
"2013-01-01T06:00:00.000Z","47.94","49.65","42.39","45.66","-3.51","-9.38","129,695,458"
"2014-01-01T06:00:00.000Z","45.63","58.40","42.21","49.10","7.53","1.67","248,987,662"
"2015-01-01T06:00:00.000Z","49.06","49.64","29.89","32.59","-33.63","-39.49","272,310,640"
"2016-01-01T06:00:00.000Z","32.11","48.52","28.40","45.15","38.54","32.67","276,975,466"
"2017-01-02T06:00:00.000Z","45.50","51.85","44.90","48.64","7.73","1.86","259,596,499"
"2018-01-01T06:00:00.000Z","48.77","49.89","34.58","35.70","-26.60","-32.47","350,159,573"
"2019-01-02T06:00:00.000Z","35.42","53.95","35.19","53.31","49.33","43.46","356,553,540"
"2020-01-02T06:00:00.000Z","53.30","57.92","32.37","40.72","-23.62","-29.49","460,357,206"
"2021-01-04T06:00:00.000Z","41.29","55.34","40.17","46.54","14.29","8.42","461,234,721"
"2022-01-03T06:00:00.000Z","46.61","59.38","39.11","39.86","-14.35","-20.22","486,781,873"
"2023-01-03T06:00:00.000Z","39.69","45.18","33.02","36.41","-8.66","-14.52","361,118,088"
