"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","0.0806","0.1111","0.0542","0.0625","","-22.16","76,336,808"
"1973-01-01T06:00:00.000Z","0.0653","0.1097","0.0604","0.0757","21.12","-1.04","103,390,393"
"1974-01-01T06:00:00.000Z","0.0750","0.0986","0.0250","0.0264","-65.13","-87.28","45,628,933"
"1975-01-01T06:00:00.000Z","0.0271","0.0854","0.0271","0.0785","197.35","175.19","65,032,741"
"1976-01-01T06:00:00.000Z","0.0792","0.0958","0.0681","0.0694","-11.59","-33.75","40,085,007"
"1977-01-03T06:00:00.000Z","0.0694","0.1014","0.0681","0.1014","46.11","23.95","33,533,151"
"1978-01-02T06:00:00.000Z","0.1028","0.3056","0.0986","0.2500","146.55","124.39","58,318,838"
"1979-01-01T06:00:00.000Z","0.2500","0.3667","0.1722","0.2389","-4.44","-26.60","59,830,749"
"1980-01-01T06:00:00.000Z","0.2444","0.3722","0.1611","0.3583","49.98","27.82","63,345,209"
"1981-01-01T06:00:00.000Z","0.3583","0.3944","0.2500","0.2889","-19.37","-41.53","35,121,426"
"1982-01-01T06:00:00.000Z","0.2889","0.5222","0.2722","0.5222","80.75","58.60","58,705,727"
"1983-01-03T06:00:00.000Z","0.5222","0.7778","0.4667","0.7333","40.43","18.27","102,285,659"
"1984-01-02T06:00:00.000Z","0.7111","1.60","0.6556","1.60","118.19","96.03","55,634,503"
"1985-01-01T06:00:00.000Z","1.60","3.17","1.22","3.06","90.97","68.82","136,596,941"
"1986-01-01T06:00:00.000Z","3.06","8.50","2.81","6.06","98.18","76.02","167,996,318"
"1987-01-01T06:00:00.000Z","6.06","8.00","3.63","4.29","-29.13","-51.29","140,249,466"
"1988-01-01T06:00:00.000Z","4.33","6.79","3.67","5.75","33.98","11.82","93,279,909"
"1989-01-02T06:00:00.000Z","5.75","8.75","4.92","8.29","44.20","22.05","117,680,289"
"1990-01-01T06:00:00.000Z","8.29","11.79","7.58","10.33","24.62","2.47","117,170,590"
"1991-01-01T06:00:00.000Z","10.33","15.50","9.33","13.42","29.84","7.68","114,534,359"
"1992-01-01T06:00:00.000Z","13.25","16.58","10.17","16.17","20.50","-1.66","124,969,054"
"1993-01-01T06:00:00.000Z","16.08","18.08","12.83","16.00","-1.03","-23.19","87,511,097"
"1994-01-03T06:00:00.000Z","15.92","16.67","12.50","14.17","-11.46","-33.62","100,118,673"
"1995-01-02T06:00:00.000Z","14.00","18.33","13.83","17.42","22.94","0.7844","112,351,571"
"1996-01-01T06:00:00.000Z","17.42","23.08","13.83","22.83","31.10","8.94","141,840,963"
"1997-01-01T06:00:00.000Z","22.67","24.25","17.38","20.50","-10.22","-32.38","126,087,500"
"1998-01-01T06:00:00.000Z","20.50","26.00","16.31","21.25","3.66","-18.50","67,965,400"
"1999-01-01T06:00:00.000Z","21.25","23.75","14.88","16.25","-23.53","-45.69","72,820,800"
"2000-01-03T06:00:00.000Z","16.38","17.38","8.50","12.75","-21.54","-43.70","91,150,100"
"2001-01-01T06:00:00.000Z","12.00","14.20","8.10","11.55","-9.41","-31.57","357,154,301"
"2002-01-01T06:00:00.000Z","11.20","15.71","9.27","11.22","-2.86","-25.01","313,187,100"
"2003-01-01T06:00:00.000Z","11.22","15.10","7.25","13.24","18.00","-4.15","339,125,045"
"2004-01-01T06:00:00.000Z","13.17","21.28","12.97","18.40","38.97","16.82","451,211,506"
"2005-01-03T06:00:00.000Z","18.33","19.91","15.70","17.10","-7.07","-29.22","366,394,807"
"2006-01-02T06:00:00.000Z","17.07","17.33","12.57","16.45","-3.80","-25.96","621,853,503"
"2007-01-01T06:00:00.000Z","16.46","24.32","13.50","15.33","-6.81","-28.97","737,785,010"
"2008-01-01T06:00:00.000Z","15.23","19.50","4.40","8.76","-42.86","-65.01","1,399,285,194"
"2009-01-01T06:00:00.000Z","8.81","14.25","7.51","12.27","40.07","17.91","1,180,470,554"
"2010-01-01T06:00:00.000Z","12.27","20.57","12.15","17.22","40.34","18.18","1,318,976,013"
"2011-01-03T06:00:00.000Z","17.21","21.06","15.60","20.64","19.86","-2.30","1,024,537,812"
"2012-01-02T06:00:00.000Z","20.89","20.98","14.06","19.40","-6.01","-28.17","1,207,553,156"
"2013-01-01T06:00:00.000Z","19.71","34.38","19.61","33.46","72.47","50.32","1,073,727,044"
"2014-01-01T06:00:00.000Z","33.52","44.24","33.03","40.09","19.81","-2.34","1,080,876,162"
"2015-01-01T06:00:00.000Z","40.11","54.42","37.10","53.33","33.03","10.87","1,094,236,887"
"2016-01-01T06:00:00.000Z","52.44","77.05","48.52","61.68","15.66","-6.50","931,540,448"
"2017-01-02T06:00:00.000Z","62.48","84.65","57.20","81.07","31.44","9.28","656,790,182"
"2018-01-01T06:00:00.000Z","81.12","82.51","49.77","53.40","-34.13","-56.29","618,212,865"
"2019-01-02T06:00:00.000Z","53.04","94.11","52.82","91.04","70.49","48.33","676,729,837"
"2020-01-02T06:00:00.000Z","91.08","94.24","42.57","64.44","-29.22","-51.38","772,492,235"
"2021-01-04T06:00:00.000Z","64.55","87.50","62.59","87.16","35.26","13.10","477,072,474"
"2022-01-03T06:00:00.000Z","86.88","100.72","59.38","62.25","-28.58","-50.74","608,863,366"
"2023-01-03T06:00:00.000Z","62.95","66.79","47.11","52.59","-15.52","-37.68","560,000,485"
