"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","33.55","45.00","30.45","42.47","","-7.95","2,515,046"
"1969-01-01T06:00:00.000Z","42.67","42.67","27.25","27.25","-35.84","-43.80","2,308,010"
"1970-01-01T06:00:00.000Z","28.12","35.10","25.41","35.01","28.47","20.52","2,172,270"
"1971-01-01T06:00:00.000Z","35.20","46.06","34.91","43.64","24.65","16.70","3,681,216"
"1972-01-03T06:00:00.000Z","43.44","55.08","42.67","50.91","16.67","8.72","3,262,025"
"1973-01-01T06:00:00.000Z","50.91","76.22","39.56","76.22","49.71","41.76","4,930,415"
"1974-01-01T06:00:00.000Z","75.64","75.83","39.18","51.59","-32.32","-40.27","5,037,921"
"1975-01-01T06:00:00.000Z","51.59","65.46","47.42","54.30","5.26","-2.69","4,786,683"
"1976-01-01T06:00:00.000Z","54.30","74.09","53.24","59.25","9.11","1.16","7,559,136"
"1977-01-03T06:00:00.000Z","58.96","60.51","43.25","44.51","-24.88","-32.83","6,192,505"
"1978-01-02T06:00:00.000Z","44.51","49.84","34.33","37.63","-15.47","-23.42","6,873,115"
"1979-01-01T06:00:00.000Z","37.63","45.96","36.17","40.34","7.22","-0.7346","8,187,924"
"1980-01-01T06:00:00.000Z","40.15","62.06","35.59","58.09","43.99","36.04","9,851,537"
"1981-01-01T06:00:00.000Z","58.09","62.06","40.92","43.83","-24.54","-32.49","9,463,680"
"1982-01-01T06:00:00.000Z","43.83","45.19","27.54","30.64","-30.09","-38.04","14,085,108"
"1983-01-03T06:00:00.000Z","30.64","44.80","30.06","40.63","32.59","24.64","14,394,470"
"1984-01-02T06:00:00.000Z","40.63","43.25","27.54","35.30","-13.13","-21.08","12,790,791"
"1985-01-01T06:00:00.000Z","35.30","44.03","34.33","41.50","17.58","9.63","12,396,604"
"1986-01-01T06:00:00.000Z","41.50","53.43","39.47","43.25","4.21","-3.75","15,210,172"
"1987-01-01T06:00:00.000Z","43.64","67.01","17.45","27.54","-36.32","-44.27","45,251,801"
"1988-01-01T06:00:00.000Z","27.73","34.62","24.05","26.57","-3.52","-11.47","53,669,289"
"1989-01-02T06:00:00.000Z","26.47","38.98","26.09","38.98","46.72","38.76","45,061,542"
"1990-01-01T06:00:00.000Z","38.98","46.93","22.11","28.90","-25.87","-33.82","55,494,428"
"1991-01-01T06:00:00.000Z","28.90","42.67","27.15","42.67","47.65","39.70","45,178,323"
"1992-01-01T06:00:00.000Z","42.47","51.49","19.39","22.59","-47.05","-55.00","59,568,921"
"1993-01-01T06:00:00.000Z","22.40","30.93","22.30","29.67","31.33","23.38","85,407,922"
"1994-01-03T06:00:00.000Z","30.26","32.29","22.89","24.44","-17.65","-25.60","74,018,960"
"1995-01-02T06:00:00.000Z","24.53","32.87","22.01","27.25","11.51","3.56","97,287,494"
"1996-01-01T06:00:00.000Z","27.93","36.95","27.25","34.52","26.69","18.74","93,619,679"
"1997-01-01T06:00:00.000Z","34.52","53.04","26.91","31.42","-8.99","-16.94","127,072,731"
"1998-01-01T06:00:00.000Z","31.61","41.89","26.38","36.66","16.67","8.72","180,167,888"
"1999-01-01T06:00:00.000Z","36.27","57.26","34.62","42.72","16.53","8.58","211,821,945"
"2000-01-03T06:00:00.000Z","42.33","44.80","22.89","32.49","-23.95","-31.90","285,190,849"
"2001-01-01T06:00:00.000Z","32.00","39.01","23.58","32.44","-0.1555","-8.11","281,134,798"
"2002-01-01T06:00:00.000Z","32.76","42.20","23.03","33.41","2.99","-4.96","400,995,141"
"2003-01-01T06:00:00.000Z","33.75","52.90","26.78","52.66","57.64","49.69","363,649,420"
"2004-01-01T06:00:00.000Z","51.78","64.31","45.80","62.29","18.30","10.35","414,402,855"
"2005-01-03T06:00:00.000Z","62.45","68.21","27.59","31.32","-49.73","-57.68","453,315,196"
"2006-01-02T06:00:00.000Z","31.33","38.01","27.11","30.36","-3.07","-11.02","800,890,472"
"2007-01-01T06:00:00.000Z","30.61","43.96","29.67","36.05","18.76","10.81","832,017,662"
"2008-01-01T06:00:00.000Z","36.02","36.34","9.12","13.46","-62.66","-70.62","1,490,008,604"
"2009-01-01T06:00:00.000Z","13.75","29.17","8.89","27.73","105.99","98.04","1,834,962,555"
"2010-01-01T06:00:00.000Z","27.93","36.85","23.37","36.53","31.76","23.81","1,321,175,578"
"2011-01-03T06:00:00.000Z","36.83","40.60","20.06","23.64","-35.29","-43.25","1,438,752,208"
"2012-01-02T06:00:00.000Z","24.24","38.81","24.24","37.21","57.40","49.45","1,048,956,740"
"2013-01-01T06:00:00.000Z","38.39","55.66","37.28","47.79","28.44","20.49","638,764,295"
"2014-01-01T06:00:00.000Z","47.52","50.48","40.70","49.18","2.91","-5.05","705,126,697"
"2015-01-01T06:00:00.000Z","49.25","55.03","38.59","42.89","-12.78","-20.73","720,416,061"
"2016-01-01T06:00:00.000Z","42.20","61.45","36.53","58.21","35.72","27.77","677,581,558"
"2017-01-02T06:00:00.000Z","58.81","74.65","57.68","69.19","18.86","10.91","556,275,833"
"2018-01-01T06:00:00.000Z","69.61","83.07","61.78","70.77","2.29","-5.66","541,929,468"
"2019-01-02T06:00:00.000Z","69.71","107.31","69.11","103.12","45.70","37.75","445,091,052"
"2020-01-02T06:00:00.000Z","103.43","153.72","70.00","145.16","40.77","32.82","414,180,236"
"2021-01-04T06:00:00.000Z","144.09","207.06","137.98","202.03","39.18","31.23","284,471,792"
"2022-01-03T06:00:00.000Z","200.38","201.65","120.64","168.09","-16.80","-24.75","361,436,424"
"2023-01-03T06:00:00.000Z","170.89","209.17","162.04","205.23","22.10","14.14","229,535,795"
