"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.08","1.18","0.9023","1.08","","-15.06","309,927,584"
"1969-01-01T06:00:00.000Z","1.07","1.46","0.9896","1.30","20.54","5.48","418,773,376"
"1970-01-01T06:00:00.000Z","1.33","1.39","0.6471","0.8385","-35.48","-50.53","436,946,288"
"1971-01-01T06:00:00.000Z","0.8346","1.34","0.8307","1.31","55.75","40.70","315,418,960"
"1972-01-03T06:00:00.000Z","1.31","1.97","1.23","1.89","45.06","30.00","304,090,768"
"1973-01-01T06:00:00.000Z","1.91","2.89","1.55","2.24","18.08","3.02","449,124,032"
"1974-01-01T06:00:00.000Z","2.22","2.41","1.22","1.41","-36.91","-51.96","450,261,488"
"1975-01-01T06:00:00.000Z","1.41","2.49","1.27","1.97","39.85","24.80","468,712,928"
"1976-01-01T06:00:00.000Z","1.97","2.70","1.94","2.14","8.31","-6.74","421,552,464"
"1977-01-03T06:00:00.000Z","2.13","2.13","1.43","1.53","-28.38","-43.44","447,856,752"
"1978-01-02T06:00:00.000Z","1.53","1.93","1.28","1.67","8.84","-6.21","470,023,376"
"1979-01-01T06:00:00.000Z","1.67","2.10","1.63","1.83","10.00","-5.05","457,701,680"
"1980-01-01T06:00:00.000Z","1.83","3.14","1.64","2.52","37.22","22.16","756,260,000"
"1981-01-01T06:00:00.000Z","2.52","2.63","1.56","1.68","-33.33","-48.39","734,117,312"
"1982-01-01T06:00:00.000Z","1.68","3.18","1.47","2.80","67.24","52.18","1,487,336,128"
"1983-01-03T06:00:00.000Z","2.80","3.67","2.10","2.89","2.97","-12.09","2,453,417,712"
"1984-01-02T06:00:00.000Z","2.90","3.11","2.33","2.49","-13.80","-28.85","1,989,305,824"
"1985-01-01T06:00:00.000Z","2.49","2.74","1.80","2.20","-11.72","-26.77","1,554,292,016"
"1986-01-01T06:00:00.000Z","2.20","3.09","2.14","2.46","11.97","-3.09","1,602,417,232"
"1987-01-01T06:00:00.000Z","2.46","5.02","2.27","3.48","41.59","26.53","2,598,695,808"
"1988-01-01T06:00:00.000Z","3.51","3.75","2.16","2.56","-26.46","-41.51","1,905,942,400"
"1989-01-02T06:00:00.000Z","2.56","2.92","1.76","2.24","-12.50","-27.56","1,706,204,832"
"1990-01-01T06:00:00.000Z","2.25","2.75","1.41","2.38","5.92","-9.13","1,577,403,200"
