"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1969-02-03T06:00:00.000Z","3.66","3.67","1.47","1.72","","-20.74","9,262,400"
"1970-01-01T06:00:00.000Z","1.78","1.84","0.7656","1.77","2.72","-18.02","8,368,800"
"1971-01-01T06:00:00.000Z","1.75","3.39","1.72","3.31","87.61","66.87","19,151,200"
"1972-01-03T06:00:00.000Z","3.25","4.00","2.70","3.05","-8.02","-28.76","16,715,200"
"1973-01-01T06:00:00.000Z","3.11","3.16","1.42","1.83","-40.00","-60.74","8,396,000"
"1974-01-01T06:00:00.000Z","1.81","2.61","1.63","1.73","-5.13","-25.87","6,543,200"
"1975-01-01T06:00:00.000Z","1.73","3.06","1.69","2.55","46.85","26.10","6,358,400"
"1976-01-01T06:00:00.000Z","2.55","5.78","2.55","5.69","123.31","102.57","12,013,200"
"1977-01-03T06:00:00.000Z","5.72","6.28","4.88","6.28","10.44","-10.30","8,096,000"
"1978-01-02T06:00:00.000Z","6.22","9.63","5.06","8.13","29.35","8.61","7,385,400"
"1979-01-01T06:00:00.000Z","8.13","9.19","7.00","7.69","-5.38","-26.13","4,585,200"
"1980-01-01T06:00:00.000Z","7.69","8.81","5.25","8.06","4.88","-15.86","4,584,200"
"1981-01-01T06:00:00.000Z","8.06","14.69","8.06","11.75","45.74","24.99","6,832,600"
"1982-01-01T06:00:00.000Z","11.75","11.81","6.06","9.50","-19.15","-39.89","5,585,000"
"1983-01-03T06:00:00.000Z","9.38","15.75","9.13","14.50","52.63","31.89","7,154,600"
"1984-01-02T06:00:00.000Z","14.44","15.50","11.56","14.69","1.29","-19.45","4,623,800"
"1985-01-01T06:00:00.000Z","14.69","17.75","12.63","14.75","0.4255","-20.32","7,278,200"
"1986-01-01T06:00:00.000Z","14.75","17.75","11.25","12.00","-18.64","-39.39","7,023,500"
"1987-01-01T06:00:00.000Z","12.13","15.75","9.25","10.25","-14.58","-35.33","7,635,600"
"1988-01-01T06:00:00.000Z","10.38","18.13","5.50","6.38","-37.80","-58.55","16,803,000"
"1989-01-02T06:00:00.000Z","6.38","10.13","4.88","8.63","35.29","14.55","9,603,400"
"1990-01-01T06:00:00.000Z","8.63","9.13","2.75","3.13","-63.77","-84.51","4,890,400"
"1991-01-01T06:00:00.000Z","3.13","3.63","2.50","2.88","-8.00","-28.74","4,044,300"
"1992-01-01T06:00:00.000Z","3.00","5.88","2.75","4.63","60.87","40.13","4,369,300"
"1993-01-01T06:00:00.000Z","4.50","5.25","4.25","5.25","13.51","-7.23","2,832,800"
"1994-01-03T06:00:00.000Z","5.25","6.50","3.13","3.25","-38.10","-58.84","3,059,800"
"1995-01-02T06:00:00.000Z","3.25","3.88","2.63","2.75","-15.38","-36.13","3,572,000"
"1996-01-01T06:00:00.000Z","2.75","3.00","1.38","1.88","-31.82","-52.56","6,453,600"
"1997-01-01T06:00:00.000Z","2.00","5.88","1.38","5.50","193.33","172.59","16,352,100"
"1998-01-01T06:00:00.000Z","5.50","11.38","5.00","6.13","11.36","-9.38","18,787,200"
"1999-01-01T06:00:00.000Z","6.13","6.88","3.38","5.50","-10.20","-30.95","17,843,800"
"2000-01-03T06:00:00.000Z","6.00","8.94","1.06","1.69","-69.32","-90.06","19,793,000"
"2001-01-01T06:00:00.000Z","1.81","4.60","1.00","4.55","169.63","148.89","16,050,100"
"2002-01-01T06:00:00.000Z","4.55","6.01","3.05","4.17","-8.35","-29.09","26,679,900"
"2003-01-01T06:00:00.000Z","4.12","10.15","3.36","9.63","130.94","110.19","41,929,643"
"2004-01-01T06:00:00.000Z","9.73","11.05","7.60","8.36","-13.19","-33.93","41,835,200"
"2005-01-03T06:00:00.000Z","8.38","9.15","5.25","8.78","5.02","-15.72","37,423,600"
"2006-01-02T06:00:00.000Z","8.78","14.99","8.40","14.06","60.14","39.39","51,125,800"
"2007-01-01T06:00:00.000Z","14.10","16.20","11.39","12.89","-8.32","-29.06","63,763,592"
"2008-01-01T06:00:00.000Z","12.84","18.47","9.79","11.98","-7.06","-27.80","67,731,722"
"2009-01-01T06:00:00.000Z","12.11","21.09","11.35","19.91","66.19","45.45","69,334,421"
"2010-01-01T06:00:00.000Z","20.05","22.19","15.00","20.76","4.27","-16.47","47,218,190"
"2011-01-03T06:00:00.000Z","20.94","32.94","19.99","30.11","45.04","24.30","49,743,340"
"2012-01-02T06:00:00.000Z","30.87","49.60","29.67","48.44","60.88","40.13","39,188,492"
"2013-01-01T06:00:00.000Z","49.40","105.74","48.86","102.13","110.84","90.10","39,644,696"
"2014-01-01T06:00:00.000Z","102.09","115.37","74.37","109.44","7.16","-13.58","57,099,873"
"2015-01-01T06:00:00.000Z","110.04","184.01","103.18","174.32","59.28","38.54","51,290,293"
"2016-01-01T06:00:00.000Z","172.50","175.77","118.16","142.77","-18.10","-38.84","79,756,386"
"2017-01-02T06:00:00.000Z","143.80","188.22","142.75","177.05","24.01","3.27","48,200,374"
"2018-01-01T06:00:00.000Z","177.83","252.47","173.26","185.82","4.95","-15.79","57,035,395"
"2019-01-02T06:00:00.000Z","183.42","301.39","176.27","300.02","61.46","40.72","63,776,814"
"2020-01-02T06:00:00.000Z","301.89","466.21","247.22","436.52","45.50","24.76","83,120,073"
"2021-01-04T06:00:00.000Z","438.77","557.55","372.80","537.95","23.24","2.49","53,537,661"
"2022-01-03T06:00:00.000Z","536.41","538.96","281.11","322.41","-40.07","-60.81","62,280,923"
"2023-01-03T06:00:00.000Z","327.32","426.83","301.69","396.66","23.03","2.29","42,146,123"
