"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1980-02-01T06:00:00.000Z","2.13","2.67","2.13","2.63","","-8.47","159,706"
"1981-01-01T06:00:00.000Z","2.63","3.21","2.54","3.21","22.22","13.75","264,032"
"1982-01-01T06:00:00.000Z","3.25","3.71","3.25","3.71","15.59","7.11","439,502"
"1983-01-03T06:00:00.000Z","3.71","5.13","3.67","5.00","34.83","26.35","628,316"
"1984-01-02T06:00:00.000Z","5.13","5.88","4.63","5.13","2.50","-5.97","667,200"
"1985-01-01T06:00:00.000Z","5.19","7.25","5.19","6.69","30.49","22.01","2,408,000"
"1986-01-01T06:00:00.000Z","6.69","8.75","6.25","8.44","26.17","17.69","3,829,800"
"1987-01-01T06:00:00.000Z","8.38","9.38","7.06","8.56","1.48","-6.99","4,110,400"
"1988-01-01T06:00:00.000Z","8.56","9.31","7.81","9.06","5.84","-2.64","7,677,400"
"1989-01-02T06:00:00.000Z","9.06","9.56","8.44","9.00","-0.6897","-9.16","12,830,800"
"1990-01-01T06:00:00.000Z","9.00","9.13","6.25","7.44","-17.36","-25.84","8,125,200"
"1991-01-01T06:00:00.000Z","7.44","10.44","7.06","10.31","38.66","30.18","7,229,200"
"1992-01-01T06:00:00.000Z","10.31","12.69","9.75","12.63","22.42","13.95","12,962,600"
"1993-01-01T06:00:00.000Z","12.56","16.88","11.88","14.25","12.87","4.40","18,989,700"
"1994-01-03T06:00:00.000Z","14.25","15.88","12.25","14.38","0.8772","-7.60","17,664,500"
"1995-01-02T06:00:00.000Z","14.25","15.38","13.00","15.00","4.35","-4.13","20,251,300"
"1996-01-01T06:00:00.000Z","14.88","15.81","13.13","15.50","3.33","-5.14","34,662,601"
"1997-01-01T06:00:00.000Z","15.50","16.00","13.38","13.94","-10.08","-18.56","57,405,600"
"1998-01-01T06:00:00.000Z","14.06","14.81","10.06","10.31","-26.01","-34.48","71,901,100"
"1999-01-01T06:00:00.000Z","10.25","12.06","9.06","9.88","-4.24","-12.72","69,488,250"
"2000-01-03T06:00:00.000Z","9.94","11.75","9.38","10.81","9.49","1.02","72,679,502"
"2001-01-01T06:00:00.000Z","10.81","14.85","10.56","14.40","33.18","24.70","82,209,199"
"2002-01-01T06:00:00.000Z","14.48","16.81","13.18","16.36","13.61","5.14","106,566,298"
"2003-01-01T06:00:00.000Z","16.37","19.53","15.13","19.20","17.36","8.88","104,501,458"
"2004-01-01T06:00:00.000Z","19.23","24.80","17.10","24.80","29.17","20.69","139,571,300"
"2005-01-03T06:00:00.000Z","24.68","25.97","20.55","23.44","-5.48","-13.96","165,265,399"
"2006-01-02T06:00:00.000Z","23.57","33.75","23.41","31.79","35.62","27.15","204,329,401"
"2007-01-01T06:00:00.000Z","32.02","34.10","19.51","19.85","-37.56","-46.03","343,610,470"
"2008-01-01T06:00:00.000Z","19.80","28.50","10.00","13.79","-30.53","-39.00","626,168,572"
"2009-01-01T06:00:00.000Z","14.25","17.26","6.73","16.44","19.22","10.74","963,435,030"
"2010-01-01T06:00:00.000Z","16.56","24.10","14.47","23.52","43.07","34.59","566,221,866"
"2011-01-03T06:00:00.000Z","23.77","27.26","20.04","25.10","6.72","-1.76","554,424,770"
"2012-01-02T06:00:00.000Z","25.65","27.75","22.31","23.78","-5.26","-13.73","582,544,346"
"2013-01-01T06:00:00.000Z","24.13","27.04","21.96","23.35","-1.81","-10.28","453,944,656"
"2014-01-01T06:00:00.000Z","23.31","31.93","23.10","30.82","31.99","23.52","367,211,346"
"2015-01-01T06:00:00.000Z","31.00","38.07","30.03","37.57","21.90","13.43","439,463,867"
"2016-01-01T06:00:00.000Z","37.52","38.61","32.79","36.48","-2.90","-11.38","497,440,276"
"2017-01-02T06:00:00.000Z","36.67","40.71","34.41","38.52","5.59","-2.88","344,127,537"
"2018-01-01T06:00:00.000Z","38.57","42.98","32.88","39.62","2.86","-5.62","405,843,909"
"2019-01-02T06:00:00.000Z","39.24","50.61","38.18","46.70","17.87","9.40","374,035,679"
"2020-01-02T06:00:00.000Z","46.72","51.25","29.20","38.43","-17.71","-26.18","531,482,468"
"2021-01-04T06:00:00.000Z","38.43","60.42","36.73","59.99","56.10","47.63","465,648,880"
"2022-01-03T06:00:00.000Z","60.04","61.06","37.18","38.73","-35.44","-43.91","512,370,813"
"2023-01-03T06:00:00.000Z","38.96","45.46","37.25","39.73","2.58","-5.89","386,444,257"
