"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.5799","1.11","0.5799","0.9063","","-10.33","3,859,019"
"1969-01-01T06:00:00.000Z","0.9132","0.9167","0.6319","0.8264","-8.82","-19.14","1,119,490"
"1970-01-01T06:00:00.000Z","0.8333","0.8472","0.5000","0.5972","-27.73","-38.06","910,710"
"1971-01-01T06:00:00.000Z","0.6111","0.9167","0.5903","0.8958","50.00","39.67","1,047,489"
"1972-01-03T06:00:00.000Z","0.8958","1.15","0.8958","0.9792","9.31","-1.02","863,902"
"1973-01-01T06:00:00.000Z","0.9792","1.04","0.7014","0.7465","-23.76","-34.09","694,728"
"1974-01-01T06:00:00.000Z","0.7361","0.8333","0.3889","0.4479","-40.00","-50.33","392,342"
"1975-01-01T06:00:00.000Z","0.4861","1.03","0.4861","0.9514","112.41","102.08","489,547"
"1976-01-01T06:00:00.000Z","0.9861","1.03","0.6076","0.7917","-16.79","-27.11","705,529"
"1977-01-03T06:00:00.000Z","0.8021","1.20","0.7847","1.18","49.12","38.79","817,127"
"1978-02-01T06:00:00.000Z","1.14","1.28","0.9965","1.17","-1.18","-11.51","320,361"
"1979-01-01T06:00:00.000Z","1.15","1.48","1.07","1.17","","-10.33","608,343"
"1980-01-01T06:00:00.000Z","1.19","1.39","0.9375","1.17","","-10.33","334,766"
"1981-01-01T06:00:00.000Z","1.14","1.36","1.10","1.31","12.50","2.17","2,249,928"
"1982-01-01T06:00:00.000Z","1.33","1.50","1.14","1.33","1.58","-8.74","1,094,344"
"1983-01-03T06:00:00.000Z","1.38","1.44","1.19","1.44","8.34","-1.99","1,781,919"
"1984-01-02T06:00:00.000Z","1.44","1.54","1.25","1.41","-2.41","-12.74","773,936"
"1985-01-01T06:00:00.000Z","1.41","2.24","1.33","2.24","58.62","48.29","2,753,868"
"1986-01-01T06:00:00.000Z","2.26","3.67","2.11","3.67","63.98","53.65","16,401,321"
"1987-01-01T06:00:00.000Z","3.67","6.60","3.57","4.90","33.52","23.19","38,032,832"
"1988-01-01T06:00:00.000Z","4.91","5.28","4.06","4.58","-6.38","-16.71","13,636,513"
"1989-01-02T06:00:00.000Z","4.62","6.63","4.58","6.63","44.70","34.37","40,449,844"
"1990-01-01T06:00:00.000Z","6.63","7.60","5.63","7.40","11.52","1.19","55,936,931"
"1991-01-01T06:00:00.000Z","7.40","9.31","6.56","9.27","25.35","15.02","36,407,088"
"1992-01-01T06:00:00.000Z","9.34","10.45","8.56","9.38","1.12","-9.20","14,435,701"
"1993-01-01T06:00:00.000Z","9.34","10.17","7.78","9.83","4.81","-5.51","5,378,865"
"1994-01-03T06:00:00.000Z","9.79","10.35","8.11","10.12","3.00","-7.33","16,601,420"
"1995-01-02T06:00:00.000Z","10.05","11.84","9.86","11.74","15.95","5.62","10,312,993"
"1996-01-01T06:00:00.000Z","11.77","13.54","9.98","13.54","15.38","5.06","23,940,340"
"1997-01-01T06:00:00.000Z","13.37","19.41","12.22","19.17","41.54","31.21","30,488,905"
"1998-01-01T06:00:00.000Z","19.17","25.76","16.84","25.00","30.43","20.11","27,390,986"
"1999-01-01T06:00:00.000Z","24.72","26.01","14.34","16.81","-32.78","-43.11","36,571,625"
"2000-01-03T06:00:00.000Z","16.84","19.44","11.74","19.20","14.26","3.93","80,750,284"
"2001-01-01T06:00:00.000Z","19.17","19.71","15.19","18.48","-3.74","-14.07","62,488,525"
"2002-01-01T06:00:00.000Z","18.61","22.02","16.01","21.25","14.97","4.64","81,893,457"
"2003-01-01T06:00:00.000Z","21.22","22.03","17.36","20.89","-1.70","-12.03","92,444,157"
"2004-01-01T06:00:00.000Z","20.82","24.38","17.97","21.96","5.11","-5.22","101,987,961"
"2005-01-03T06:00:00.000Z","21.93","23.83","20.31","22.29","1.52","-8.81","148,475,466"
"2006-01-02T06:00:00.000Z","22.48","28.10","20.63","27.82","24.81","14.49","121,934,485"
"2007-01-01T06:00:00.000Z","28.16","38.25","25.57","37.42","34.51","24.18","192,435,655"
"2008-01-01T06:00:00.000Z","37.60","38.02","20.22","23.02","-38.48","-48.81","273,995,495"
"2009-01-01T06:00:00.000Z","23.14","32.34","16.95","31.90","38.58","28.25","330,674,137"
"2010-01-01T06:00:00.000Z","32.22","32.41","25.74","30.88","-3.20","-13.53","344,264,674"
"2011-01-03T06:00:00.000Z","31.23","34.55","28.45","33.52","8.55","-1.78","401,620,150"
"2012-01-02T06:00:00.000Z","33.92","39.55","30.84","38.72","15.51","5.18","304,643,381"
"2013-01-01T06:00:00.000Z","39.08","43.88","37.40","41.20","6.40","-3.92","265,292,102"
"2014-01-01T06:00:00.000Z","40.37","45.99","37.63","40.48","-1.75","-12.08","308,858,015"
"2015-01-01T06:00:00.000Z","40.27","46.19","38.60","43.12","6.52","-3.81","287,219,060"
"2016-01-01T06:00:00.000Z","42.23","48.97","38.58","40.70","-5.61","-15.94","366,308,973"
"2017-01-02T06:00:00.000Z","40.35","60.13","40.19","55.34","35.97","25.64","407,942,913"
"2018-01-01T06:00:00.000Z","55.19","58.07","50.74","52.25","-5.58","-15.91","263,955,759"
"2019-01-02T06:00:00.000Z","52.04","64.84","51.31","57.17","9.42","-0.9126","211,739,242"
"2020-01-02T06:00:00.000Z","57.13","63.89","44.06","60.36","5.58","-4.75","351,470,501"
"2021-01-04T06:00:00.000Z","61.31","61.81","50.60","53.79","-10.88","-21.21","519,588,945"
"2022-01-03T06:00:00.000Z","53.53","54.35","42.44","50.35","-6.40","-16.72","897,046,849"
"2023-01-03T06:00:00.000Z","50.09","55.99","48.57","50.70","0.6951","-9.63","328,717,980"
