"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1969-01-01T06:00:00.000Z","0.9666","1.11","0.8852","0.9534","","-13.24","77,720,192"
"1970-01-01T06:00:00.000Z","0.9876","0.9928","0.6277","0.9823","3.03","-10.21","101,358,200"
"1971-01-01T06:00:00.000Z","0.9955","1.37","0.9771","1.29","31.02","17.78","154,564,636"
"1972-01-03T06:00:00.000Z","1.29","1.48","1.01","1.45","12.66","-0.5825","163,054,824"
"1973-01-01T06:00:00.000Z","1.45","1.95","1.08","1.94","33.87","20.63","183,566,432"
"1974-01-01T06:00:00.000Z","1.94","2.05","1.08","1.44","-25.57","-38.81","189,762,728"
"1975-01-01T06:00:00.000Z","1.44","1.73","1.30","1.63","12.91","-0.3297","208,118,444"
"1976-01-01T06:00:00.000Z","1.63","2.15","1.60","2.15","32.05","18.81","238,310,000"
"1977-01-03T06:00:00.000Z","2.15","2.46","1.80","2.05","-4.63","-17.87","245,386,772"
"1978-01-02T06:00:00.000Z","2.05","2.53","1.72","2.16","5.37","-7.87","246,290,984"
"1979-01-01T06:00:00.000Z","2.16","3.30","2.16","3.04","40.29","27.05","276,368,320"
"1980-01-01T06:00:00.000Z","3.04","8.09","2.82","6.62","117.99","104.75","394,073,260"
"1981-01-01T06:00:00.000Z","6.62","6.66","3.57","4.37","-33.97","-47.21","330,670,524"
"1982-01-01T06:00:00.000Z","4.35","4.35","2.46","3.95","-9.62","-22.86","420,326,704"
"1983-01-03T06:00:00.000Z","3.95","5.20","3.70","4.27","7.98","-5.26","566,740,712"
"1984-01-02T06:00:00.000Z","4.27","4.43","2.88","3.44","-19.46","-32.70","595,405,816"
"1985-01-01T06:00:00.000Z","3.44","4.64","3.34","4.53","31.81","18.57","684,233,876"
"1986-01-01T06:00:00.000Z","4.53","5.66","3.82","5.23","15.54","2.30","831,899,532"
"1987-01-01T06:00:00.000Z","5.23","7.28","3.79","4.54","-13.25","-26.49","795,291,516"
"1988-01-01T06:00:00.000Z","4.54","5.89","4.29","5.40","18.98","5.74","720,820,460"
"1989-01-02T06:00:00.000Z","5.40","6.81","5.32","6.44","19.26","6.02","674,916,796"
"1990-01-01T06:00:00.000Z","6.44","6.70","5.16","5.94","-7.83","-21.07","601,531,940"
"1991-01-01T06:00:00.000Z","5.92","8.70","5.48","8.70","46.55","33.31","560,239,204"
"1992-01-01T06:00:00.000Z","8.57","10.17","7.46","9.83","13.04","-0.1973","471,952,492"
"1993-01-01T06:00:00.000Z","9.88","11.26","9.56","10.53","7.05","-6.19","475,205,284"
"1994-01-03T06:00:00.000Z","10.49","11.28","7.35","7.63","-27.55","-40.79","643,788,312"
"1995-01-02T06:00:00.000Z","7.69","11.79","7.67","11.09","45.46","32.22","781,429,600"
"1996-01-01T06:00:00.000Z","11.20","15.56","10.78","15.03","35.48","22.24","786,453,088"
"1997-01-01T06:00:00.000Z","15.06","18.25","14.06","15.66","4.16","-9.08","624,036,400"
"1998-01-01T06:00:00.000Z","15.59","15.94","9.33","11.27","-28.04","-41.28","1,046,134,396"
"1999-01-01T06:00:00.000Z","11.33","16.97","9.75","10.92","-3.05","-16.29","845,678,400"
"2000-01-03T06:00:00.000Z","11.03","13.20","8.56","12.69","16.17","2.93","881,983,600"
"2001-01-01T06:00:00.000Z","12.69","15.18","10.94","14.25","12.32","-0.9246","985,874,000"
"2002-01-01T06:00:00.000Z","14.19","16.29","13.25","14.97","5.04","-8.20","1,240,018,800"
"2003-01-01T06:00:00.000Z","15.03","17.38","12.72","17.37","16.05","2.81","1,057,852,952"
"2004-01-01T06:00:00.000Z","17.34","17.39","13.70","16.81","-3.21","-16.45","1,183,279,204"
"2005-01-03T06:00:00.000Z","16.80","20.32","14.54","20.13","19.72","6.48","1,247,232,800"
"2006-01-02T06:00:00.000Z","20.13","24.37","19.41","23.00","14.30","1.06","1,605,854,808"
"2007-01-01T06:00:00.000Z","23.12","34.39","22.39","31.41","36.51","23.27","2,438,599,532"
"2008-01-01T06:00:00.000Z","31.45","42.90","20.92","23.90","-23.90","-37.14","3,331,246,330"
"2009-01-01T06:00:00.000Z","23.96","33.37","16.64","31.95","33.68","20.44","2,654,774,218"
"2010-01-01T06:00:00.000Z","32.29","47.89","30.20","46.33","45.01","31.77","1,816,556,040"
"2011-01-03T06:00:00.000Z","46.91","53.95","38.87","52.97","14.33","1.09","1,558,957,032"
"2012-01-02T06:00:00.000Z","54.04","64.64","52.04","62.86","18.67","5.43","1,209,654,398"
"2013-01-01T06:00:00.000Z","64.12","84.12","63.66","84.00","33.63","20.39","935,462,840"
