"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","0.6642","0.6847","0.6231","0.6368","","-10.85","5,406,974"
"1973-01-01T06:00:00.000Z","0.6368","0.6916","0.5889","0.5889","-7.52","-18.37","8,769,470"
"1974-01-01T06:00:00.000Z","0.5889","0.6573","0.4451","0.5409","-8.15","-19.00","6,305,057"
"1975-01-01T06:00:00.000Z","0.5478","0.6847","0.5478","0.6300","16.47","5.62","7,714,339"
"1976-01-01T06:00:00.000Z","0.6300","0.9244","0.6300","0.9244","46.73","35.88","9,418,624"
"1977-01-03T06:00:00.000Z","0.9312","0.9997","0.8285","0.9997","8.15","-2.71","6,585,826"
"1978-01-02T06:00:00.000Z","0.9997","0.9997","0.8902","0.8970","-10.27","-21.12","6,929,020"
"1979-01-01T06:00:00.000Z","0.8970","1.04","0.6710","0.7669","-14.50","-25.35","7,932,308"
"1980-01-01T06:00:00.000Z","0.7669","0.7669","0.5957","0.6505","-15.18","-26.03","13,182,066"
"1981-01-01T06:00:00.000Z","0.6505","0.7464","0.6300","0.7395","13.68","2.83","18,141,224"
"1982-01-01T06:00:00.000Z","0.7464","0.9929","0.6300","0.9929","34.27","23.42","20,022,223"
"1983-01-03T06:00:00.000Z","0.9997","1.29","0.9244","1.23","24.13","13.28","19,291,293"
"1984-01-02T06:00:00.000Z","1.23","1.48","1.05","1.47","18.89","8.04","26,124,183"
"1985-01-01T06:00:00.000Z","1.46","2.34","1.38","2.03","38.79","27.94","32,813,221"
"1986-01-01T06:00:00.000Z","2.03","2.74","1.86","1.92","-5.72","-16.57","44,839,700"
"1987-01-01T06:00:00.000Z","1.92","2.74","1.84","2.10","9.28","-1.57","92,785,035"
"1988-01-01T06:00:00.000Z","2.10","2.38","1.92","2.07","-1.31","-12.16","51,243,611"
"1989-01-02T06:00:00.000Z","2.07","2.96","2.03","2.41","16.56","5.71","53,039,877"
"1990-01-01T06:00:00.000Z","2.41","2.56","1.59","1.84","-23.86","-34.72","48,645,839"
"1991-01-01T06:00:00.000Z","1.84","3.01","1.64","2.74","49.25","38.40","51,446,190"
"1992-01-01T06:00:00.000Z","2.71","4.33","2.66","3.94","44.00","33.15","164,146,331"
"1993-01-01T06:00:00.000Z","3.94","4.31","3.62","3.83","-2.78","-13.63","73,226,396"
"1994-01-03T06:00:00.000Z","3.79","4.90","3.67","3.99","3.93","-6.92","70,423,328"
"1995-01-02T06:00:00.000Z","3.97","6.82","3.97","6.52","63.57","52.72","49,661,696"
"1996-01-01T06:00:00.000Z","6.50","10.31","6.15","10.07","54.41","43.56","70,108,409"
"1997-01-01T06:00:00.000Z","10.04","19.29","9.76","18.86","87.35","76.50","92,581,837"
"1998-01-01T06:00:00.000Z","18.78","30.88","17.38","30.57","62.09","51.24","301,466,495"
"1999-01-01T06:00:00.000Z","30.65","34.84","19.29","20.83","-31.85","-42.71","541,380,505"
"2000-01-03T06:00:00.000Z","20.65","27.61","15.16","22.93","10.06","-0.7916","695,361,749"
"2001-01-01T06:00:00.000Z","23.11","25.70","16.27","20.64","-9.98","-20.83","1,222,919,171"
"2002-01-01T06:00:00.000Z","20.49","24.16","15.83","20.92","1.39","-9.47","1,103,730,151"
"2003-01-01T06:00:00.000Z","21.23","29.58","18.30","29.36","40.34","29.49","1,075,474,512"
"2004-01-01T06:00:00.000Z","29.58","31.65","24.89","31.32","6.66","-4.19","1,219,959,836"
"2005-01-03T06:00:00.000Z","31.20","31.36","26.80","29.89","-4.57","-15.42","1,063,886,797"
"2006-01-02T06:00:00.000Z","30.05","36.85","28.99","36.19","21.08","10.23","1,283,163,790"
"2007-01-01T06:00:00.000Z","35.61","36.84","29.09","31.74","-12.30","-23.15","2,382,085,765"
"2008-01-01T06:00:00.000Z","31.79","42.23","20.22","25.01","-21.20","-32.05","4,694,201,007"
"2009-01-01T06:00:00.000Z","25.04","25.59","8.06","22.51","-10.00","-20.85","6,665,955,504"
"2010-01-01T06:00:00.000Z","22.57","28.43","20.44","26.97","19.81","8.96","3,476,850,823"
"2011-01-03T06:00:00.000Z","27.20","28.94","20.10","27.05","0.2966","-10.55","3,524,687,357"
"2012-01-02T06:00:00.000Z","27.61","35.46","27.21","31.94","18.08","7.23","2,573,775,160"
"2013-01-01T06:00:00.000Z","32.46","40.83","31.99","40.40","26.49","15.64","2,216,552,327"
"2014-01-01T06:00:00.000Z","39.87","46.10","38.10","44.95","11.26","0.4113","1,702,810,010"
"2015-01-01T06:00:00.000Z","45.43","46.26","38.80","42.67","-5.07","-15.92","1,757,511,662"
"2016-01-01T06:00:00.000Z","41.75","52.68","37.07","51.37","20.39","9.54","1,890,699,407"
"2017-01-02T06:00:00.000Z","51.62","56.61","49.53","53.58","4.30","-6.55","1,506,436,263"
"2018-01-01T06:00:00.000Z","54.05","58.50","43.14","45.70","-14.71","-25.56","1,833,765,449"
"2019-01-02T06:00:00.000Z","45.22","61.11","45.05","59.29","29.74","18.89","1,455,841,694"
"2020-01-02T06:00:00.000Z","59.47","59.48","28.36","46.59","-21.42","-32.27","2,065,829,919"
"2021-01-04T06:00:00.000Z","46.69","63.01","42.47","56.17","20.56","9.71","1,560,268,514"
"2022-01-03T06:00:00.000Z","56.08","63.57","38.39","43.61","-22.36","-33.21","2,069,110,795"
"2023-01-03T06:00:00.000Z","44.20","49.95","27.27","37.07","-15.00","-25.85","2,389,015,459"
