"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1989-09-01T05:00:00.000Z","1.62","1.74","1.32","1.62","","-19.23","14,425,542"
"1990-01-01T06:00:00.000Z","1.62","3.48","1.32","3.28","103.03","83.81","32,372,233"
"1991-01-01T06:00:00.000Z","3.28","13.66","3.08","13.29","305.22","285.99","106,873,827"
"1992-01-01T06:00:00.000Z","13.14","14.69","8.08","13.35","0.4831","-18.75","50,269,405"
"1993-01-01T06:00:00.000Z","13.26","13.31","7.16","10.97","-17.87","-37.10","54,945,709"
"1994-01-03T06:00:00.000Z","10.88","16.84","10.56","15.35","39.96","20.73","40,594,368"
"1995-01-02T06:00:00.000Z","15.35","20.93","14.32","17.90","16.59","-2.64","105,900,208"
"1996-01-01T06:00:00.000Z","17.90","21.96","14.04","17.42","-2.69","-21.92","135,359,981"
"1997-01-01T06:00:00.000Z","17.35","24.85","12.67","13.46","-22.73","-41.96","155,012,249"
"1998-01-01T06:00:00.000Z","13.56","16.73","8.32","10.67","-20.69","-39.92","137,350,565"
"1999-01-01T06:00:00.000Z","10.62","12.04","2.79","3.67","-65.64","-84.87","71,897,847"
"2000-01-03T06:00:00.000Z","3.72","5.09","2.35","4.93","34.33","15.10","19,709,244"
"2001-01-01T06:00:00.000Z","4.87","11.25","4.87","10.07","104.44","85.22","62,688,772"
"2002-01-01T06:00:00.000Z","10.16","12.05","8.81","10.03","-0.4349","-19.66","71,668,450"
"2003-01-01T06:00:00.000Z","10.07","20.13","9.70","19.27","92.14","72.91","94,622,606"
"2004-01-01T06:00:00.000Z","19.40","25.82","18.01","24.00","24.59","5.36","113,936,919"
"2005-01-03T06:00:00.000Z","23.98","28.65","21.39","28.04","16.82","-2.41","124,288,896"
"2006-01-02T06:00:00.000Z","28.33","37.13","25.87","37.06","32.17","12.94","143,758,022"
"2007-01-01T06:00:00.000Z","37.06","42.01","27.48","39.63","6.92","-12.30","344,613,031"
"2008-01-01T06:00:00.000Z","39.75","45.54","15.16","29.40","-25.81","-45.04","573,821,285"
"2009-01-01T06:00:00.000Z","29.33","39.33","16.75","38.31","30.29","11.07","1,029,803,521"
"2010-01-01T06:00:00.000Z","38.71","49.22","35.35","45.96","19.98","0.7536","475,279,789"
"2011-01-03T06:00:00.000Z","46.35","50.31","37.88","48.28","5.05","-14.18","588,031,173"
"2012-01-02T06:00:00.000Z","49.20","59.68","46.63","56.68","17.40","-1.83","481,293,872"
"2013-01-01T06:00:00.000Z","57.42","73.66","48.07","50.16","-11.50","-30.72","450,404,760"
"2014-01-01T06:00:00.000Z","49.87","65.82","49.42","62.79","25.17","5.95","582,449,891"
"2015-01-01T06:00:00.000Z","62.96","71.75","49.31","56.43","-10.13","-29.36","737,618,116"
"2016-01-01T06:00:00.000Z","56.00","76.80","46.87","62.52","10.79","-8.44","612,627,184"
"2017-01-02T06:00:00.000Z","62.29","72.36","58.96","60.01","-4.01","-23.24","431,274,550"
"2018-01-01T06:00:00.000Z","60.08","65.70","46.55","58.59","-2.37","-21.59","621,858,734"
"2019-01-02T06:00:00.000Z","58.02","75.40","54.59","57.74","-1.45","-20.68","540,951,540"
"2020-01-02T06:00:00.000Z","58.00","63.38","13.35","49.04","-15.07","-34.30","898,163,690"
"2021-01-04T06:00:00.000Z","48.98","61.09","45.40","51.12","4.24","-14.99","557,667,163"
"2022-01-03T06:00:00.000Z","51.34","64.02","35.33","45.05","-11.87","-31.10","547,672,671"
"2023-01-03T06:00:00.000Z","46.10","53.15","41.31","43.08","-4.37","-23.60","378,102,073"
