"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1973-01-01T06:00:00.000Z","6.88","9.75","4.13","5.88","","-26.88","1,504,000"
"1974-01-01T06:00:00.000Z","6.00","7.13","1.75","2.13","-63.83","-90.71","972,800"
"1975-01-01T06:00:00.000Z","2.13","2.63","0.6250","0.7500","-64.71","-91.58","706,800"
"1976-01-01T06:00:00.000Z","0.8750","1.75","0.1250","0.2500","-66.67","-93.54","1,253,600"
"1977-01-03T06:00:00.000Z","0.2500","0.8125","0.1875","0.6250","150.00","123.12","891,800"
"1978-10-02T05:00:00.000Z","1.13","1.56","0.6875","0.9375","50.00","23.12","472,800"
"1979-01-01T06:00:00.000Z","0.9375","1.75","0.9375","1.50","60.00","33.12","6,970,000"
"1980-01-01T06:00:00.000Z","1.38","7.31","1.38","4.94","229.17","202.29","37,245,000"
"1981-01-01T06:00:00.000Z","5.44","6.69","3.06","3.31","-32.91","-59.79","25,459,200"
"1982-01-01T06:00:00.000Z","3.31","4.19","1.75","2.31","-30.19","-57.07","25,233,800"
"1983-01-03T06:00:00.000Z","2.38","7.19","2.38","4.50","94.59","67.72","52,002,400"
"1984-01-02T06:00:00.000Z","4.50","5.94","2.94","4.31","-4.17","-31.04","38,644,200"
"1985-01-01T06:00:00.000Z","4.31","7.56","3.13","5.25","21.74","-5.14","61,805,800"
"1986-01-01T06:00:00.000Z","5.25","10.00","4.94","9.25","76.19","49.31","44,542,000"
"1987-01-01T06:00:00.000Z","9.25","16.31","5.81","8.13","-12.16","-39.04","133,404,400"
"1988-01-01T06:00:00.000Z","8.25","8.94","5.50","7.38","-9.23","-36.11","70,165,000"
"1989-01-02T06:00:00.000Z","7.38","7.63","2.88","4.19","-43.22","-70.10","68,233,000"
"1990-01-01T06:00:00.000Z","4.19","7.44","2.00","2.44","-41.79","-68.67","93,198,800"
"1991-01-01T06:00:00.000Z","2.44","3.38","1.00","1.31","-46.15","-73.03","104,571,000"
"1992-01-01T06:00:00.000Z","1.31","4.38","1.25","4.31","228.57","201.70","102,752,400"
"1993-01-01T06:00:00.000Z","4.25","5.25","1.81","4.56","5.80","-21.08","179,316,400"
"1994-01-03T06:00:00.000Z","4.56","10.19","4.31","8.38","83.56","56.69","311,444,600"
"1995-01-02T06:00:00.000Z","8.38","11.06","6.56","8.94","6.72","-20.16","370,158,400"
"1996-01-01T06:00:00.000Z","8.94","31.69","8.06","28.44","218.18","191.31","306,604,000"
"1997-01-01T06:00:00.000Z","28.38","54.75","14.50","16.00","-43.74","-70.61","731,453,892"
"1998-01-01T06:00:00.000Z","16.50","22.06","7.13","15.06","-5.86","-32.74","425,066,002"
"1999-01-01T06:00:00.000Z","15.13","21.44","2.75","4.19","-72.20","-99.08","471,786,205"
"2000-01-03T06:00:00.000Z","4.25","8.81","2.19","2.44","-41.79","-68.67","606,207,802"
"2001-01-01T06:00:00.000Z","2.56","6.79","1.95","6.27","157.23","130.35","314,246,495"
"2002-01-01T06:00:00.000Z","6.37","8.96","2.98","6.39","1.91","-24.96","516,630,914"
"2003-01-01T06:00:00.000Z","6.55","14.95","6.44","11.79","84.51","57.63","1,070,367,216"
"2004-01-01T06:00:00.000Z","11.99","13.55","6.39","10.84","-8.06","-34.93","677,943,808"
"2005-01-03T06:00:00.000Z","10.91","19.15","9.84","18.61","71.68","44.80","787,870,793"
"2006-01-02T06:00:00.000Z","18.64","24.70","15.90","20.46","9.94","-16.94","902,716,783"
"2007-01-01T06:00:00.000Z","20.55","31.70","16.21","30.21","47.65","20.78","908,635,814"
"2008-01-01T06:00:00.000Z","29.62","40.00","9.48","11.45","-62.10","-88.98","1,351,862,109"
"2009-01-01T06:00:00.000Z","11.60","44.96","11.49","44.15","285.59","258.71","1,201,245,772"
"2010-01-01T06:00:00.000Z","44.40","47.44","23.06","33.90","-23.22","-50.09","1,386,835,938"
"2011-01-03T06:00:00.000Z","34.08","41.87","22.64","30.95","-8.70","-35.58","1,154,499,667"
"2012-01-02T06:00:00.000Z","31.38","45.94","28.31","42.49","37.29","10.41","1,093,517,598"
"2013-01-01T06:00:00.000Z","43.53","84.70","41.62","83.90","97.46","70.58","649,096,357"
"2014-01-01T06:00:00.000Z","83.79","114.69","80.78","110.70","31.94","5.07","490,548,980"
"2015-01-01T06:00:00.000Z","111.80","113.88","57.94","60.05","-45.75","-72.63","679,036,655"
"2016-01-01T06:00:00.000Z","59.32","72.01","34.99","67.95","13.16","-13.72","1,367,197,436"
"2017-01-02T06:00:00.000Z","68.95","95.77","68.58","79.53","17.04","-9.83","1,040,248,142"
"2018-01-01T06:00:00.000Z","80.51","106.96","33.83","36.97","-53.51","-80.39","1,167,736,893"
"2019-01-02T06:00:00.000Z","36.15","65.31","35.02","63.47","71.68","44.80","1,480,634,072"
"2020-01-02T06:00:00.000Z","64.20","72.00","27.40","55.39","-12.73","-39.61","1,477,887,892"
"2021-01-04T06:00:00.000Z","54.95","78.19","48.62","65.21","17.73","-9.15","1,062,568,073"
"2022-01-03T06:00:00.000Z","65.75","69.36","29.73","31.55","-51.62","-78.49","1,063,755,186"
"2023-01-03T06:00:00.000Z","31.93","46.31","30.96","45.96","45.67","18.80","665,390,127"
