"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","2.76","2.94","2.49","2.79","","-7.31","19,713,582"
"1969-01-01T06:00:00.000Z","2.86","2.90","2.24","2.43","-12.93","-20.25","14,544,698"
"1970-01-01T06:00:00.000Z","2.51","2.71","2.13","2.68","10.29","2.97","10,393,866"
"1971-01-01T06:00:00.000Z","2.65","2.88","2.29","2.67","-0.5185","-7.83","13,218,072"
"1972-01-03T06:00:00.000Z","2.65","2.93","2.36","2.78","4.17","-3.15","14,226,988"
"1973-01-01T06:00:00.000Z","2.78","2.86","2.33","2.75","-1.00","-8.31","14,124,376"
"1974-01-01T06:00:00.000Z","2.75","2.89","1.78","2.51","-8.59","-15.90","16,267,272"
"1975-01-01T06:00:00.000Z","2.51","3.25","2.46","3.22","28.18","20.87","31,469,140"
"1976-01-01T06:00:00.000Z","3.22","3.56","2.69","3.49","8.19","0.8730","32,402,450"
"1977-01-03T06:00:00.000Z","3.49","3.64","3.08","3.46","-0.7946","-8.11","28,265,154"
"1978-01-02T06:00:00.000Z","3.46","3.47","2.78","2.89","-16.47","-23.78","29,270,448"
"1979-01-01T06:00:00.000Z","2.89","3.00","2.50","2.54","-12.02","-19.33","45,498,302"
"1980-01-01T06:00:00.000Z","2.54","2.99","2.11","2.47","-2.73","-10.05","61,663,982"
"1981-01-01T06:00:00.000Z","2.47","3.25","2.26","3.03","22.47","15.16","75,599,508"
"1982-01-01T06:00:00.000Z","3.03","4.29","2.92","3.79","25.23","17.92","95,488,358"
"1983-01-03T06:00:00.000Z","3.79","4.75","3.67","4.58","20.88","13.57","122,175,318"
"1984-01-02T06:00:00.000Z","4.58","5.60","4.21","5.19","13.18","5.87","120,542,726"
"1985-01-01T06:00:00.000Z","5.19","6.75","5.13","6.63","27.71","20.40","87,502,690"
"1986-01-01T06:00:00.000Z","6.63","10.75","6.40","8.77","32.39","25.08","85,473,512"
"1987-01-01T06:00:00.000Z","8.77","9.65","7.00","7.50","-14.49","-21.80","97,889,260"
"1988-01-01T06:00:00.000Z","7.50","9.29","7.50","9.00","20.00","12.69","102,551,224"
"1989-01-02T06:00:00.000Z","9.00","10.71","8.38","10.67","18.52","11.21","92,458,066"
"1990-01-01T06:00:00.000Z","10.67","10.83","8.88","10.54","-1.17","-8.49","72,761,648"
"1991-01-01T06:00:00.000Z","10.54","13.21","10.00","13.08","24.11","16.80","82,726,118"
"1992-01-01T06:00:00.000Z","13.13","14.25","11.88","13.25","1.27","-6.04","63,134,992"
"1993-01-01T06:00:00.000Z","13.25","14.69","12.38","13.75","3.77","-3.54","57,689,600"
"1994-01-03T06:00:00.000Z","13.75","13.75","11.56","12.94","-5.91","-13.22","64,917,200"
"1995-01-02T06:00:00.000Z","12.88","15.44","12.88","15.31","18.36","11.04","66,666,400"
"1996-01-01T06:00:00.000Z","15.25","16.00","13.00","13.44","-12.24","-19.56","94,340,800"
"1997-01-01T06:00:00.000Z","13.38","14.53","11.50","14.38","6.98","-0.3369","159,678,200"
"1998-01-01T06:00:00.000Z","14.44","17.00","13.50","15.72","9.35","2.03","126,142,400"
"1999-01-01T06:00:00.000Z","15.59","15.78","9.53","9.63","-38.77","-46.08","153,404,200"
"2000-01-03T06:00:00.000Z","9.75","11.78","8.41","11.28","17.21","9.89","212,613,400"
"2001-01-01T06:00:00.000Z","11.28","12.31","9.56","11.28","-0.0106","-7.32","169,926,798"
"2002-01-01T06:00:00.000Z","11.32","13.24","10.09","12.60","11.70","4.39","214,929,596"
"2003-01-01T06:00:00.000Z","12.62","16.84","11.28","16.73","32.74","25.42","218,942,324"
"2004-01-01T06:00:00.000Z","16.64","17.30","14.75","16.86","0.7773","-6.54","219,997,200"
"2005-01-03T06:00:00.000Z","16.85","20.41","16.68","19.53","15.87","8.56","207,500,600"
"2006-01-02T06:00:00.000Z","19.65","24.35","19.08","23.73","21.51","14.19","197,880,800"
"2007-01-01T06:00:00.000Z","23.80","25.24","20.53","24.36","2.63","-4.68","355,100,084"
"2008-01-01T06:00:00.000Z","24.21","24.80","17.45","20.99","-13.82","-21.13","519,057,150"
"2009-01-01T06:00:00.000Z","21.20","25.31","18.16","24.91","18.70","11.39","493,786,342"
"2010-01-01T06:00:00.000Z","25.02","30.51","23.42","29.43","18.12","10.81","409,384,576"
"2011-01-03T06:00:00.000Z","29.43","35.38","27.00","34.96","18.79","11.48","388,595,954"
"2012-01-02T06:00:00.000Z","35.29","41.48","33.62","36.85","5.41","-1.91","336,088,278"
"2013-01-01T06:00:00.000Z","37.32","45.00","37.03","41.34","12.18","4.87","360,520,250"
"2014-01-01T06:00:00.000Z","41.42","55.39","40.16","52.74","27.58","20.26","474,385,735"
"2015-01-01T06:00:00.000Z","52.97","58.01","44.93","51.31","-2.71","-10.03","484,808,147"
