"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1978-02-01T06:00:00.000Z","6.67","7.50","6.50","6.67","","-7.41","112,124"
"1979-01-01T06:00:00.000Z","6.83","7.58","6.17","7.33","10.00","2.60","135,792"
"1980-01-01T06:00:00.000Z","7.17","8.50","6.17","7.67","4.54","-2.86","311,388"
"1981-01-01T06:00:00.000Z","7.67","8.50","7.17","7.67","","-7.41","414,404"
"1982-01-01T06:00:00.000Z","7.67","9.00","7.08","8.92","16.30","8.90","576,222"
"1983-01-03T06:00:00.000Z","8.83","11.83","8.75","10.67","19.63","12.22","686,904"
"1984-01-02T06:00:00.000Z","10.50","13.25","9.67","13.00","21.88","14.47","1,497,806"
"1985-01-01T06:00:00.000Z","13.00","17.17","12.38","14.63","12.50","5.09","2,527,230"
"1986-01-01T06:00:00.000Z","14.63","19.13","12.88","16.50","12.82","5.42","2,066,200"
"1987-01-01T06:00:00.000Z","16.50","18.38","13.63","15.00","-9.09","-16.50","1,874,700"
"1988-01-01T06:00:00.000Z","15.00","18.38","10.75","11.88","-20.83","-28.24","1,635,500"
"1989-01-02T06:00:00.000Z","12.00","16.00","11.38","14.63","23.16","15.75","1,694,200"
"1990-01-01T06:00:00.000Z","14.63","15.63","11.75","13.38","-8.55","-15.95","1,444,800"
"1991-01-01T06:00:00.000Z","13.38","21.00","12.88","20.88","56.07","48.67","2,862,500"
"1992-01-01T06:00:00.000Z","20.63","22.88","18.63","21.38","2.40","-5.01","2,829,200"
"1993-01-01T06:00:00.000Z","21.38","27.00","20.50","22.88","7.02","-0.3879","4,185,800"
"1994-01-03T06:00:00.000Z","22.63","25.38","19.75","20.00","-12.57","-19.97","3,865,400"
"1995-01-02T06:00:00.000Z","20.25","23.13","15.50","18.00","-10.00","-17.41","6,587,900"
"1996-01-01T06:00:00.000Z","18.00","25.25","17.88","24.50","36.11","28.71","9,154,800"
"1997-01-01T06:00:00.000Z","24.63","28.75","22.25","28.13","14.80","7.39","18,380,900"
"1998-01-01T06:00:00.000Z","28.25","29.25","20.00","25.88","-8.00","-15.41","16,649,200"
"1999-01-01T06:00:00.000Z","25.81","26.63","14.69","15.13","-41.55","-48.95","19,081,400"
"2000-01-03T06:00:00.000Z","15.13","19.25","13.81","16.25","7.44","0.0326","20,090,900"
"2001-01-01T06:00:00.000Z","16.25","26.40","16.06","24.35","49.85","42.44","27,164,500"
"2002-01-01T06:00:00.000Z","24.35","31.82","24.02","27.05","11.09","3.68","38,877,600"
"2003-01-01T06:00:00.000Z","27.11","36.10","24.84","36.00","33.09","25.68","44,609,344"
"2004-01-01T06:00:00.000Z","35.80","40.88","27.70","38.15","5.97","-1.43","65,915,600"
"2005-01-03T06:00:00.000Z","38.04","39.20","31.15","33.90","-11.14","-18.55","58,829,400"
"2006-01-02T06:00:00.000Z","33.90","43.02","32.80","43.02","26.90","19.50","79,329,900"
"2007-01-01T06:00:00.000Z","43.00","48.55","35.08","44.69","3.88","-3.52","200,243,929"
"2008-01-01T06:00:00.000Z","44.68","53.98","30.14","42.20","-5.57","-12.98","390,383,843"
"2009-01-01T06:00:00.000Z","42.32","46.74","25.86","44.32","5.02","-2.38","651,655,878"
"2010-01-01T06:00:00.000Z","44.51","52.06","38.42","47.64","7.49","0.0855","418,982,757"
"2011-01-03T06:00:00.000Z","48.03","55.21","41.03","54.53","14.46","7.06","553,418,868"
"2012-01-02T06:00:00.000Z","55.21","62.80","52.40","61.29","12.40","4.99","496,511,220"
"2013-01-01T06:00:00.000Z","62.08","80.07","52.42","53.57","-12.60","-20.00","493,260,601"
"2014-01-01T06:00:00.000Z","53.15","78.17","52.90","75.67","41.25","33.85","530,716,576"
"2015-01-01T06:00:00.000Z","76.05","84.88","58.19","68.03","-10.10","-17.50","603,427,034"
"2016-01-01T06:00:00.000Z","67.77","80.19","52.80","66.93","-1.62","-9.02","601,903,857"
"2017-01-02T06:00:00.000Z","67.11","78.17","63.06","63.77","-4.72","-12.13","450,931,412"
"2018-01-01T06:00:00.000Z","63.91","74.75","49.58","69.41","8.84","1.44","588,051,619"
"2019-01-02T06:00:00.000Z","68.79","93.17","66.82","81.78","17.82","10.42","523,292,533"
"2020-01-02T06:00:00.000Z","82.09","89.99","24.27","64.62","-20.98","-28.39","860,840,682"
"2021-01-04T06:00:00.000Z","64.64","89.80","59.38","85.77","32.73","25.32","520,482,764"
"2022-01-03T06:00:00.000Z","86.16","99.43","56.50","65.55","-23.57","-30.98","640,607,108"
"2023-01-03T06:00:00.000Z","66.51","86.39","65.18","82.64","26.07","18.67","373,361,808"
