"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.04","1.56","1.04","1.46","","-9.52","12,428,464"
"1969-01-01T06:00:00.000Z","1.43","1.48","0.6250","0.7448","-49.11","-58.63","25,004,064"
"1970-01-01T06:00:00.000Z","0.7396","0.7656","0.5729","0.7500","0.6982","-8.82","25,248,832"
"1971-01-01T06:00:00.000Z","0.7448","0.8229","0.7031","0.7995","6.60","-2.92","27,067,952"
"1972-01-03T06:00:00.000Z","0.7969","1.28","0.7422","1.28","59.60","50.08","51,716,000"
"1973-01-01T06:00:00.000Z","1.29","1.41","1.10","1.26","-1.63","-11.15","37,820,000"
"1974-01-01T06:00:00.000Z","1.26","1.37","0.4844","0.6979","-44.40","-53.92","52,272,736"
"1975-01-01T06:00:00.000Z","0.7083","0.9948","0.7083","0.9063","29.86","20.34","65,400,752"
"1976-01-01T06:00:00.000Z","0.9089","1.19","0.9010","1.19","31.60","22.08","86,179,952"
"1977-01-03T06:00:00.000Z","1.19","1.20","0.8854","0.9688","-18.77","-28.29","71,283,184"
"1978-01-02T06:00:00.000Z","0.9688","1.20","0.8802","1.05","8.06","-1.46","108,732,752"
"1979-01-01T06:00:00.000Z","1.05","1.22","0.9583","1.06","1.49","-8.03","93,216,736"
"1980-01-01T06:00:00.000Z","1.06","1.26","0.7500","1.20","13.23","3.72","217,344,592"
"1981-01-01T06:00:00.000Z","1.19","1.35","0.9792","0.9896","-17.75","-27.26","175,865,440"
"1982-01-01T06:00:00.000Z","0.9896","1.20","0.7083","1.03","3.68","-5.84","185,479,888"
"1983-01-03T06:00:00.000Z","1.03","1.65","0.9479","1.40","36.55","27.03","243,504,544"
"1984-01-02T06:00:00.000Z","1.40","1.41","0.8958","0.9583","-31.60","-41.12","423,213,680"
"1985-01-01T06:00:00.000Z","0.9583","1.31","0.9323","1.30","35.88","26.36","462,472,608"
"1986-01-01T06:00:00.000Z","1.30","1.72","1.17","1.52","16.40","6.88","516,971,792"
"1987-01-01T06:00:00.000Z","1.53","2.00","1.32","1.54","1.72","-7.80","360,202,048"
"1988-01-01T06:00:00.000Z","1.56","2.20","1.53","2.01","30.23","20.72","419,937,696"
"1989-01-02T06:00:00.000Z","2.01","3.02","1.99","2.81","40.08","30.56","351,903,200"
"1990-01-01T06:00:00.000Z","2.81","2.95","1.69","2.59","-7.78","-17.29","377,220,800"
"1991-01-01T06:00:00.000Z","2.59","4.61","2.34","4.56","75.90","66.38","521,976,800"
"1992-01-01T06:00:00.000Z","4.52","5.53","4.16","5.39","18.15","8.63","484,123,200"
"1993-01-01T06:00:00.000Z","5.41","7.25","5.16","6.09","13.04","3.53","632,782,400"
"1994-01-03T06:00:00.000Z","6.06","7.06","5.25","5.84","-4.10","-13.62","596,664,000"
"1995-01-02T06:00:00.000Z","5.75","8.69","5.66","8.25","41.18","31.66","608,956,800"
"1996-01-01T06:00:00.000Z","8.28","11.72","7.63","10.88","31.82","22.30","663,116,400"
"1997-01-01T06:00:00.000Z","10.94","19.75","10.69","19.38","78.16","68.64","701,402,000"
"1998-01-01T06:00:00.000Z","19.13","21.94","13.75","19.97","3.06","-6.45","1,091,922,392"
"1999-01-01T06:00:00.000Z","19.97","24.97","16.09","20.22","1.25","-8.27","1,860,225,388"
"2000-01-03T06:00:00.000Z","20.16","28.19","15.69","27.84","37.71","28.20","2,079,814,996"
