"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1988-06-01T05:00:00.000Z","5.13","5.13","2.25","2.44","","-21.72","3,005,600"
"1989-01-02T06:00:00.000Z","2.44","3.13","1.56","1.56","-35.90","-57.62","2,503,200"
"1990-01-01T06:00:00.000Z","1.56","6.00","1.38","5.75","268.00","246.28","5,145,800"
"1991-01-01T06:00:00.000Z","5.63","18.00","5.38","17.50","204.35","182.63","3,300,000"
"1992-01-01T06:00:00.000Z","16.75","18.50","10.50","14.50","-17.14","-38.86","5,754,400"
"1993-01-01T06:00:00.000Z","14.25","15.00","9.75","11.38","-21.55","-43.27","5,947,800"
"1994-01-03T06:00:00.000Z","11.38","15.13","10.38","11.38","","-21.72","14,536,400"
"1995-01-02T06:00:00.000Z","11.50","22.50","10.00","18.88","65.93","44.22","56,372,700"
"1996-01-01T06:00:00.000Z","18.75","34.25","17.25","31.88","68.87","47.16","89,073,500"
"1997-01-01T06:00:00.000Z","31.13","44.13","28.63","39.25","23.14","1.42","201,822,398"
"1998-01-01T06:00:00.000Z","38.75","58.19","34.44","46.63","18.79","-2.93","445,812,705"
"1999-01-01T06:00:00.000Z","48.75","60.00","14.00","17.19","-63.14","-84.86","1,002,733,278"
"2000-01-03T06:00:00.000Z","17.75","28.31","13.00","27.75","61.45","39.74","580,102,198"
"2001-01-01T06:00:00.000Z","27.50","32.50","22.51","31.91","14.99","-6.73","539,867,406"
"2002-01-01T06:00:00.000Z","30.25","31.25","20.20","22.92","-28.17","-49.89","514,969,903"
"2003-01-01T06:00:00.000Z","23.05","29.72","19.39","29.60","29.14","7.43","454,552,000"
"2004-01-01T06:00:00.000Z","29.58","31.42","25.67","29.94","1.15","-20.57","448,826,899"
"2005-01-03T06:00:00.000Z","29.95","31.03","26.80","30.35","1.37","-20.35","481,485,100"
"2006-01-02T06:00:00.000Z","30.34","38.64","30.08","36.77","21.15","-0.5651","594,790,003"
"2007-01-01T06:00:00.000Z","36.77","41.19","32.40","32.67","-11.15","-32.87","782,124,227"
"2008-01-01T06:00:00.000Z","32.90","39.25","24.51","33.14","1.44","-20.28","994,514,996"
"2009-01-01T06:00:00.000Z","33.10","34.18","22.10","33.81","2.02","-19.70","839,054,282"
"2010-01-01T06:00:00.000Z","34.01","37.25","31.11","36.87","9.05","-12.67","651,137,648"
"2011-01-03T06:00:00.000Z","37.08","39.69","27.75","32.71","-11.28","-33.00","1,031,491,789"
"2012-01-02T06:00:00.000Z","33.11","36.35","30.82","33.74","3.15","-18.57","820,204,093"
"2013-01-01T06:00:00.000Z","34.13","46.38","33.70","44.87","32.99","11.27","545,788,485"
"2014-01-01T06:00:00.000Z","44.79","51.95","40.35","51.32","14.37","-7.34","481,548,053"
"2015-01-01T06:00:00.000Z","51.25","55.93","45.86","53.37","3.99","-17.72","566,387,471"
"2016-01-01T06:00:00.000Z","52.60","71.78","50.36","70.91","32.86","11.15","555,293,063"
"2017-01-02T06:00:00.000Z","71.00","86.89","69.00","86.30","21.70","-0.0147","422,097,380"
"2018-01-01T06:00:00.000Z","86.15","95.49","78.39","88.99","3.12","-18.60","528,308,397"
"2019-01-02T06:00:00.000Z","88.10","121.77","87.32","113.96","28.06","6.34","442,294,740"
"2020-01-02T06:00:00.000Z","114.09","126.79","85.34","117.93","3.48","-18.23","529,801,493"
"2021-01-04T06:00:00.000Z","118.00","168.04","109.11","166.90","41.52","19.81","404,341,439"
"2022-01-03T06:00:00.000Z","166.47","175.98","138.58","156.88","-6.00","-27.72","450,225,598"
"2023-01-03T06:00:00.000Z","157.41","173.71","148.31","157.01","0.0829","-21.64","268,973,216"
