"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","2.31","2.72","1.84","1.98","","-15.01","84,307,824"
"1969-01-01T06:00:00.000Z","2.00","2.44","1.70","1.75","-11.81","-26.82","49,272,061"
"1970-01-01T06:00:00.000Z","1.76","2.12","0.9676","2.10","20.09","5.07","42,963,933"
"1971-01-01T06:00:00.000Z","2.11","3.00","1.90","2.65","26.40","11.38","71,606,680"
"1972-01-03T06:00:00.000Z","2.65","3.30","2.21","3.18","20.00","4.99","66,978,926"
"1973-01-01T06:00:00.000Z","3.18","4.62","2.43","4.42","38.97","23.96","107,230,186"
"1974-01-01T06:00:00.000Z","4.42","4.81","2.83","4.07","-7.94","-22.95","107,850,133"
"1975-01-01T06:00:00.000Z","4.07","4.67","2.81","3.20","-21.46","-36.47","126,707,110"
"1976-01-01T06:00:00.000Z","3.21","3.62","2.50","3.20","","-15.01","111,277,314"
"1977-01-03T06:00:00.000Z","3.20","3.26","2.25","2.31","-27.81","-42.82","77,672,934"
"1978-01-02T06:00:00.000Z","2.31","2.95","1.75","1.87","-18.92","-33.93","88,557,470"
"1979-01-01T06:00:00.000Z","1.87","4.03","1.87","4.00","113.34","98.33","144,003,049"
"1980-01-01T06:00:00.000Z","3.96","6.23","2.76","5.90","47.65","32.64","307,669,422"
"1981-01-01T06:00:00.000Z","5.90","5.93","2.78","3.42","-42.06","-57.08","280,152,865"
"1982-01-01T06:00:00.000Z","3.42","3.78","1.58","2.12","-37.90","-52.91","243,019,684"
"1983-01-03T06:00:00.000Z","2.12","3.78","2.06","3.45","62.50","47.49","242,519,860"
"1984-01-02T06:00:00.000Z","3.45","3.98","2.84","3.71","7.69","-7.32","200,015,663"
"1985-01-01T06:00:00.000Z","3.71","4.18","3.28","3.71","","-15.01","316,360,244"
"1986-01-01T06:00:00.000Z","3.68","3.68","2.20","2.90","-21.85","-36.86","259,143,046"
"1987-01-01T06:00:00.000Z","2.92","4.73","2.47","2.92","0.5374","-14.47","379,496,244"
"1988-01-01T06:00:00.000Z","2.95","4.74","2.76","3.81","30.48","15.47","291,821,537"
"1989-01-02T06:00:00.000Z","3.81","5.59","3.71","4.82","26.64","11.63","385,856,356"
"1990-01-01T06:00:00.000Z","4.82","5.07","2.89","3.23","-33.01","-48.02","290,794,763"
"1991-01-01T06:00:00.000Z","3.23","4.90","3.17","4.79","48.31","33.30","234,486,623"
"1992-01-01T06:00:00.000Z","4.76","5.10","3.48","4.90","2.28","-12.73","387,247,581"
"1993-01-01T06:00:00.000Z","4.93","7.96","4.48","6.09","24.20","9.19","410,451,549"
"1994-01-03T06:00:00.000Z","6.12","8.33","5.52","6.27","3.08","-11.94","525,883,077"
"1995-01-02T06:00:00.000Z","6.31","11.11","6.12","10.96","74.63","59.61","300,748,209"
"1996-01-01T06:00:00.000Z","10.89","14.61","10.61","14.05","28.20","13.19","296,504,118"
"1997-01-01T06:00:00.000Z","14.14","21.49","13.53","21.35","52.00","36.99","419,722,797"
"1998-01-01T06:00:00.000Z","21.35","27.67","14.98","23.36","9.43","-5.58","428,706,394"
"1999-01-01T06:00:00.000Z","23.22","40.27","20.98","22.90","-2.00","-17.02","569,244,398"
"2000-01-03T06:00:00.000Z","23.22","37.27","22.10","29.92","30.67","15.66","575,552,083"
"2001-01-01T06:00:00.000Z","29.82","34.79","16.50","20.25","-32.32","-47.33","859,377,007"
"2002-01-01T06:00:00.000Z","20.69","20.91","0.6189","2.14","-89.42","-104.43","2,048,146,680"
"2003-01-01T06:00:00.000Z","2.20","8.51","1.99","7.79","263.71","248.70","1,462,506,351"
"2004-01-01T06:00:00.000Z","7.79","13.63","6.74","12.92","65.89","50.87","1,099,126,326"
"2005-01-03T06:00:00.000Z","12.89","20.41","12.04","18.38","42.23","27.22","1,219,952,620"
"2006-01-02T06:00:00.000Z","18.49","22.47","15.35","20.72","12.73","-2.28","1,392,529,690"
"2007-01-01T06:00:00.000Z","20.72","29.94","19.97","28.39","36.98","21.97","1,546,475,828"
"2008-01-01T06:00:00.000Z","28.52","32.33","9.28","11.49","-59.53","-74.54","2,514,401,914"
"2009-01-01T06:00:00.000Z","11.53","17.09","7.55","16.73","45.58","30.57","2,342,004,676"
"2010-01-01T06:00:00.000Z","17.01","19.75","13.91","19.61","17.27","2.25","2,171,555,927"
"2011-01-03T06:00:00.000Z","19.81","26.56","17.38","26.20","33.58","18.56","2,672,886,836"
"2012-01-02T06:00:00.000Z","27.55","37.56","26.21","32.74","24.97","9.96","1,761,446,730"
"2013-01-01T06:00:00.000Z","33.41","38.68","31.25","38.57","17.81","2.79","1,664,145,314"
"2014-01-01T06:00:00.000Z","38.39","59.77","37.77","44.94","16.52","1.50","1,672,215,897"
"2015-01-01T06:00:00.000Z","44.83","61.38","20.95","25.70","-42.81","-57.82","2,287,076,952"
"2016-01-01T06:00:00.000Z","25.52","32.21","10.22","31.14","21.17","6.16","2,879,747,951"
"2017-01-02T06:00:00.000Z","31.35","32.69","26.82","30.49","-2.09","-17.10","1,594,403,165"
"2018-01-01T06:00:00.000Z","30.67","33.67","20.36","22.05","-27.68","-42.69","2,408,007,628"
"2019-01-02T06:00:00.000Z","21.80","29.55","21.53","23.72","7.57","-7.44","2,059,643,057"
"2020-01-02T06:00:00.000Z","23.94","24.17","8.41","20.05","-15.47","-30.48","2,937,889,860"
"2021-01-04T06:00:00.000Z","20.30","29.89","19.87","26.04","29.88","14.86","1,999,493,510"
