"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1973-10-01T05:00:00.000Z","0.2439","0.2439","0.1236","0.1431","","-17.75","9,600,339"
"1974-01-01T06:00:00.000Z","0.1431","0.2601","0.0715","0.0813","-43.19","-60.93","15,783,465"
"1975-01-01T06:00:00.000Z","0.0813","0.1366","0.0650","0.0780","-4.06","-21.81","7,824,875"
"1976-01-01T06:00:00.000Z","0.0813","0.1138","0.0813","0.1138","45.90","28.15","6,527,573"
"1977-01-03T06:00:00.000Z","0.1106","0.2601","0.1106","0.2536","122.85","105.10","23,249,425"
"1978-01-02T06:00:00.000Z","0.2536","0.5268","0.2146","0.5268","107.73","89.98","38,813,251"
"1979-01-01T06:00:00.000Z","0.5138","0.5333","0.3057","0.3512","-33.33","-51.08","43,087,878"
"1980-01-01T06:00:00.000Z","0.3512","0.4552","0.2796","0.3057","-12.96","-30.70","31,236,556"
"1981-01-01T06:00:00.000Z","0.3057","0.4877","0.3057","0.3382","10.63","-7.12","43,476,687"
"1982-01-01T06:00:00.000Z","0.3447","0.4162","0.2601","0.2861","-15.41","-33.15","23,961,493"
"1983-01-03T06:00:00.000Z","0.2926","0.4000","0.2699","0.3512","22.75","5.01","43,281,033"
"1984-01-02T06:00:00.000Z","0.3512","0.4162","0.3122","0.3837","9.25","-8.49","67,345,347"
"1985-01-01T06:00:00.000Z","0.3837","0.8975","0.3382","0.8975","133.91","116.16","450,755,754"
"1986-01-01T06:00:00.000Z","0.8975","1.57","0.8779","1.02","14.13","-3.62","592,500,829"
"1987-01-01T06:00:00.000Z","1.02","1.44","0.7316","0.9365","-8.57","-26.32","654,074,241"
"1988-01-01T06:00:00.000Z","0.9365","1.18","0.9170","1.15","22.92","5.17","296,807,457"
"1989-01-02T06:00:00.000Z","1.15","1.81","1.14","1.57","36.43","18.69","289,967,314"
"1990-01-01T06:00:00.000Z","1.57","1.75","1.11","1.46","-6.83","-24.58","238,287,929"
"1991-01-01T06:00:00.000Z","1.46","1.89","1.35","1.79","22.00","4.25","213,400,253"
"1992-01-01T06:00:00.000Z","1.77","2.79","1.77","2.52","40.99","23.24","271,449,658"
"1993-01-01T06:00:00.000Z","2.50","2.96","1.87","2.05","-18.61","-36.35","317,262,876"
"1994-01-03T06:00:00.000Z","2.02","2.46","1.90","2.19","7.14","-10.61","299,732,992"
"1995-01-02T06:00:00.000Z","2.15","3.25","2.02","3.15","43.33","25.59","289,621,820"
"1996-01-01T06:00:00.000Z","3.12","3.15","2.36","2.97","-5.58","-23.33","351,037,565"
"1997-01-01T06:00:00.000Z","2.97","4.07","2.53","3.85","29.68","11.93","372,888,788"
"1998-01-01T06:00:00.000Z","3.94","4.38","2.22","2.99","-22.36","-40.11","359,763,830"
"1999-01-01T06:00:00.000Z","2.94","3.18","1.74","1.83","-38.72","-56.46","302,820,984"
"2000-01-03T06:00:00.000Z","1.89","4.18","1.23","4.14","126.04","108.30","372,500,549"
"2001-01-01T06:00:00.000Z","4.15","5.13","3.07","4.71","13.80","-3.94","646,680,971"
"2002-01-01T06:00:00.000Z","4.71","5.37","3.94","5.22","10.64","-7.11","439,985,835"
"2003-01-01T06:00:00.000Z","5.21","7.29","4.82","6.90","32.35","14.61","644,458,804"
"2004-01-01T06:00:00.000Z","6.91","9.36","6.90","9.32","34.96","17.22","455,985,549"
"2005-01-03T06:00:00.000Z","9.34","14.60","9.15","14.11","51.43","33.68","460,603,504"
"2006-01-02T06:00:00.000Z","14.41","18.20","13.60","15.34","8.70","-9.04","526,681,876"
"2007-01-01T06:00:00.000Z","15.44","15.60","11.20","13.25","-13.62","-31.37","652,927,815"
"2008-01-01T06:00:00.000Z","13.22","13.89","7.39","13.78","3.99","-13.76","798,633,341"
"2009-01-01T06:00:00.000Z","13.81","13.81","8.26","10.95","-20.52","-38.26","912,499,134"
"2010-01-01T06:00:00.000Z","11.02","12.81","10.62","12.17","11.12","-6.63","559,153,430"
"2011-01-03T06:00:00.000Z","12.26","16.02","11.79","15.28","25.60","7.86","501,716,702"
"2012-01-02T06:00:00.000Z","15.50","17.95","14.82","16.77","9.74","-8.01","344,839,793"
"2013-01-01T06:00:00.000Z","17.00","20.26","16.90","19.28","14.97","-2.78","298,946,779"
"2014-01-01T06:00:00.000Z","19.27","24.06","16.81","22.78","18.14","0.3899","315,477,879"
"2015-01-01T06:00:00.000Z","22.85","25.98","21.09","24.33","6.81","-10.94","334,530,237"
"2016-01-01T06:00:00.000Z","24.07","29.74","21.13","29.56","21.48","3.73","248,368,708"
"2017-01-02T06:00:00.000Z","29.69","32.52","27.56","31.84","7.73","-10.02","224,800,092"
"2018-01-01T06:00:00.000Z","31.94","35.86","29.83","32.85","3.15","-14.59","219,670,365"
"2019-01-02T06:00:00.000Z","32.38","51.69","31.60","46.07","40.24","22.49","281,296,990"
"2020-01-02T06:00:00.000Z","46.33","53.28","28.70","44.28","-3.88","-21.63","350,948,709"
"2021-01-04T06:00:00.000Z","44.34","56.62","40.99","54.93","24.04","6.30","255,682,121"
"2022-01-03T06:00:00.000Z","55.13","76.99","53.34","72.57","32.12","14.37","340,791,817"
"2023-01-03T06:00:00.000Z","72.47","75.53","55.50","62.43","-13.97","-31.72","249,015,942"
