"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","2.64","5.84","2.42","5.70","","-7.43","44,145,786"
"1969-01-01T06:00:00.000Z","5.67","5.98","4.50","5.40","-5.26","-12.70","42,631,486"
"1970-01-01T06:00:00.000Z","5.40","7.78","4.53","7.63","41.36","33.92","56,609,954"
"1971-01-01T06:00:00.000Z","7.67","8.20","5.55","6.17","-19.21","-26.65","47,123,218"
"1972-01-03T06:00:00.000Z","5.97","7.68","5.75","7.52","21.89","14.46","43,932,722"
"1973-01-01T06:00:00.000Z","7.52","10.97","5.90","10.43","38.80","31.37","55,459,103"
"1974-01-01T06:00:00.000Z","10.43","12.27","6.37","7.30","-30.03","-37.47","48,600,357"
"1975-01-01T06:00:00.000Z","7.40","11.53","7.37","9.90","35.62","28.18","53,015,966"
"1976-01-01T06:00:00.000Z","9.90","13.23","9.87","12.40","25.25","17.82","66,814,459"
"1977-01-03T06:00:00.000Z","12.40","12.40","6.70","7.30","-41.13","-48.56","73,128,690"
"1978-01-02T06:00:00.000Z","7.30","8.47","5.53","6.57","-10.05","-17.48","78,209,178"
"1979-01-01T06:00:00.000Z","6.57","9.47","6.53","8.47","28.93","21.50","68,762,555"
"1980-01-01T06:00:00.000Z","8.47","10.13","7.47","9.10","7.48","0.0455","95,088,608"
"1981-01-01T06:00:00.000Z","9.10","10.87","6.43","7.73","-15.02","-22.45","95,264,854"
"1982-01-01T06:00:00.000Z","7.73","10.47","6.00","9.60","24.14","16.70","134,428,181"
"1983-01-03T06:00:00.000Z","9.60","11.13","8.30","9.00","-6.25","-13.68","161,536,451"
"1984-01-02T06:00:00.000Z","9.00","9.47","6.67","7.77","-13.70","-21.14","181,563,596"
"1985-01-01T06:00:00.000Z","7.77","9.07","6.60","8.20","5.58","-1.86","200,375,740"
"1986-01-01T06:00:00.000Z","8.20","11.00","7.90","10.07","22.76","15.33","300,575,254"
"1987-01-01T06:00:00.000Z","10.10","16.00","7.97","10.33","2.65","-4.79","506,104,941"
"1988-01-01T06:00:00.000Z","10.37","11.80","9.27","10.05","-2.74","-10.18","277,936,047"
"1989-01-02T06:00:00.000Z","10.00","13.10","9.80","11.05","9.95","2.52","281,579,500"
"1990-01-01T06:00:00.000Z","11.05","11.35","6.95","8.75","-20.81","-28.25","214,667,000"
"1991-01-01T06:00:00.000Z","8.75","12.25","8.05","11.00","25.71","18.28","285,895,750"
"1992-01-01T06:00:00.000Z","11.05","15.70","10.65","14.75","34.09","26.66","315,996,250"
