"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","7.31","8.38","6.88","7.50","","-6.04","5,680,000"
"1969-01-01T06:00:00.000Z","7.50","7.63","5.72","5.72","-23.75","-29.79","5,958,800"
"1970-01-01T06:00:00.000Z","5.75","6.78","5.50","6.69","16.94","10.90","7,906,400"
"1971-01-01T06:00:00.000Z","6.69","7.28","6.25","6.81","1.87","-4.17","6,941,200"
"1972-01-03T06:00:00.000Z","6.84","7.78","6.13","7.63","11.93","5.89","7,916,000"
"1973-01-01T06:00:00.000Z","7.63","7.84","5.63","6.31","-17.21","-23.25","7,004,400"
"1974-01-01T06:00:00.000Z","6.31","6.59","3.81","4.00","-36.63","-42.67","6,569,200"
"1975-01-01T06:00:00.000Z","4.00","6.81","3.97","6.59","64.84","58.81","16,956,800"
"1976-01-01T06:00:00.000Z","6.59","7.56","5.88","7.38","11.85","5.81","25,364,000"
"1977-01-03T06:00:00.000Z","7.38","7.63","6.63","7.06","-4.24","-10.28","21,974,800"
"1978-01-02T06:00:00.000Z","7.06","7.06","5.81","5.88","-16.81","-22.85","16,823,600"
"1979-01-01T06:00:00.000Z","5.88","6.47","5.34","5.59","-4.79","-10.82","25,420,000"
"1980-01-01T06:00:00.000Z","5.59","6.34","4.50","5.38","-3.91","-9.95","32,957,200"
"1981-01-01T06:00:00.000Z","5.38","6.75","5.00","6.03","12.21","6.17","31,922,400"
"1982-01-01T06:00:00.000Z","6.03","8.13","5.84","7.50","24.35","18.32","47,131,600"
"1983-01-03T06:00:00.000Z","7.50","10.19","7.44","9.50","26.67","20.63","58,656,800"
"1984-01-02T06:00:00.000Z","9.44","11.06","8.41","10.44","9.87","3.83","59,517,600"
"1985-01-01T06:00:00.000Z","10.44","13.69","10.28","13.25","26.95","20.91","98,046,000"
"1986-01-01T06:00:00.000Z","13.25","20.06","12.50","17.25","30.19","24.15","76,379,400"
"1987-01-01T06:00:00.000Z","17.31","19.88","13.13","14.81","-14.13","-20.17","85,275,400"
"1988-01-01T06:00:00.000Z","14.81","17.13","14.63","16.38","10.55","4.51","70,435,800"
"1989-01-02T06:00:00.000Z","16.31","20.00","15.13","19.88","21.37","15.34","55,794,000"
"1990-01-01T06:00:00.000Z","19.88","20.25","14.19","17.00","-14.47","-20.50","43,301,200"
"1991-01-01T06:00:00.000Z","17.00","22.00","15.88","21.50","26.47","20.43","45,046,400"
"1992-01-01T06:00:00.000Z","21.44","22.69","19.25","21.63","0.5814","-5.46","42,337,000"
"1993-01-01T06:00:00.000Z","21.69","23.94","20.06","21.56","-0.2890","-6.33","40,616,000"
"1994-01-03T06:00:00.000Z","21.63","23.50","19.38","22.00","2.03","-4.01","49,451,200"
"1995-01-02T06:00:00.000Z","21.88","24.75","21.25","24.56","11.65","5.61","49,625,600"
"1996-01-01T06:00:00.000Z","24.44","26.69","22.25","22.94","-6.62","-12.65","60,661,600"
"1997-01-01T06:00:00.000Z","22.94","29.44","22.25","29.13","26.98","20.94","81,277,800"
"1998-01-01T06:00:00.000Z","29.19","30.81","25.69","27.75","-4.72","-10.76","83,380,700"
"1999-01-01T06:00:00.000Z","27.69","27.94","19.31","19.50","-29.73","-35.77","100,133,300"
"2000-01-03T06:00:00.000Z","19.63","30.00","16.13","29.06","49.04","43.00","179,117,700"
"2001-01-01T06:00:00.000Z","28.56","31.85","24.19","27.74","-4.55","-10.59","197,124,400"
"2002-01-01T06:00:00.000Z","27.80","28.49","5.12","11.00","-60.35","-66.38","619,508,694"
"2003-01-01T06:00:00.000Z","11.01","17.40","10.40","16.98","54.36","48.33","378,138,486"
"2004-01-01T06:00:00.000Z","17.08","18.78","15.48","18.20","7.18","1.15","299,353,502"
"2005-01-03T06:00:00.000Z","18.22","20.19","16.50","18.46","1.43","-4.61","311,503,399"
"2006-01-02T06:00:00.000Z","18.52","23.63","17.80","23.06","24.92","18.88","329,418,601"
"2007-01-01T06:00:00.000Z","23.18","25.03","19.59","22.57","-2.12","-8.16","636,216,304"
"2008-01-01T06:00:00.000Z","22.51","22.90","15.32","18.55","-17.81","-23.85","764,491,747"
"2009-01-01T06:00:00.000Z","18.59","21.94","16.01","21.22","14.39","8.36","781,452,387"
"2010-01-01T06:00:00.000Z","21.38","24.36","19.81","23.55","10.98","4.94","678,484,010"
"2011-01-03T06:00:00.000Z","23.67","27.78","21.20","27.64","17.37","11.33","661,247,172"
"2012-01-02T06:00:00.000Z","27.89","29.92","25.84","26.71","-3.36","-9.40","629,318,032"
"2013-01-01T06:00:00.000Z","27.03","31.79","26.77","27.94","4.61","-1.43","832,523,384"
"2014-01-01T06:00:00.000Z","27.91","37.58","27.27","35.92","28.56","22.52","690,855,433"
"2015-01-01T06:00:00.000Z","36.02","38.34","31.76","35.91","-0.0278","-6.07","832,407,273"
"2016-01-01T06:00:00.000Z","35.61","45.42","35.19","40.70","13.34","7.30","823,381,110"
"2017-01-02T06:00:00.000Z","40.74","52.22","40.04","48.11","18.21","12.17","661,399,534"
"2018-01-01T06:00:00.000Z","48.22","54.11","41.51","49.27","2.41","-3.63","928,672,196"
"2019-01-02T06:00:00.000Z","49.16","66.05","47.70","63.49","28.86","22.82","809,934,958"
"2020-01-02T06:00:00.000Z","63.55","76.44","46.58","66.67","5.01","-1.03","777,764,553"
"2021-01-04T06:00:00.000Z","66.54","72.94","57.23","67.70","1.54","-4.49","742,812,283"
"2022-01-03T06:00:00.000Z","67.66","77.66","56.89","70.11","3.56","-2.48","807,194,197"
"2023-01-03T06:00:00.000Z","69.81","72.97","56.08","56.51","-19.40","-25.44","546,194,471"
