,Ticker,30YRWins,30YRLosses,25YRWins,25YRLosses,20YRWins,20YRLosses,15YRWins,15YRLosses,10YRWins,10YRLosses,5YRWins,5YRLosses
0,AAPL,14,0,19,0,20,4,20,9,23,11,28,11
1,ABT,24,0,28,1,34,0,35,4,42,2,37,12
2,ADBE,8,0,13,0,18,0,23,0,27,1,28,5
3,ADI,22,0,27,0,30,2,32,5,29,13,33,14
4,ADM,17,7,18,11,22,12,23,16,25,19,28,21
5,ADP,24,0,29,0,34,0,39,0,41,3,43,6
6,ADSK,9,0,14,0,19,0,22,2,20,9,19,15
8,AFL,21,0,26,0,30,1,30,6,32,9,34,12
10,AMAT,22,0,27,0,31,1,33,4,33,9,27,20
12,AMGN,11,0,16,0,20,1,23,3,28,3,25,11
13,AON,14,0,18,1,18,6,17,12,22,12,25,14
14,AOS,11,0,15,1,18,3,20,6,24,7,22,14
15,APA,17,7,18,11,23,11,23,16,23,21,26,23
16,APD,24,0,27,2,31,3,34,5,33,11,33,16
20,BA,21,3,22,7,26,8,26,13,31,13,32,17
21,BALL,22,0,24,3,22,10,29,8,30,12,31,16
24,BBY,9,0,14,0,17,2,17,7,17,12,22,12
26,BDX,24,0,27,2,30,4,34,5,33,11,27,22
27,BF_B,24,0,29,0,32,2,34,5,37,7,31,18
29,BIO,14,0,19,0,23,1,26,3,26,8,29,10
31,BN,16,2,19,4,17,11,23,10,24,14,26,17
32,BRK_A,15,0,20,0,25,0,30,0,34,1,33,7
33,BRO,13,0,18,0,23,0,28,0,28,5,27,11
35,CAH,10,1,11,5,15,6,18,8,18,13,21,15
41,CHD,18,0,23,0,28,0,29,4,29,9,33,10
42,CI,12,0,15,2,17,5,21,6,24,8,22,15
43,CLX,22,2,25,4,30,4,32,7,35,9,31,18
44,CMCSA,22,0,27,0,30,2,37,0,33,9,28,19
47,COO,7,4,12,4,15,6,21,5,23,8,23,13
49,COST,8,0,13,0,18,0,22,1,27,1,28,5
51,CRH,4,1,6,4,8,7,11,9,14,11,17,13
52,CSL,23,1,26,3,30,4,33,6,37,7,33,16
53,CSX,14,0,15,4,17,7,16,13,21,13,23,16
54,CTAS,11,0,16,0,21,0,23,3,24,7,28,8
56,DE,15,9,19,10,21,13,24,15,26,18,27,22
57,DHR,24,0,27,2,31,3,35,4,40,4,42,7
58,DINO,24,0,28,1,29,5,28,11,31,13,27,22
59,DJI,19,5,20,9,21,13,22,17,24,20,28,21
60,DOV,24,0,29,0,32,2,39,0,40,4,36,13
61,EA,5,0,10,0,12,3,15,5,17,8,19,11
62,ECL,21,1,23,4,25,7,29,8,29,13,30,17
63,EFX,23,0,28,0,33,0,36,2,40,3,34,14
65,EOG,5,0,10,0,15,0,17,3,17,8,19,11
66,EQT,17,7,23,6,24,10,24,15,24,20,26,23
68,ETN,22,2,25,4,28,6,32,7,29,15,28,21
69,EXPD,10,0,15,0,20,0,21,4,21,9,28,7
71,FAST,7,0,12,0,17,0,22,0,24,3,24,8
72,FCNCA,8,0,12,1,16,2,20,3,20,8,20,13
73,FDX,15,1,20,1,20,6,19,12,19,17,21,20
74,FI,8,0,13,0,18,0,23,0,28,0,30,3
75,FICO,7,0,12,0,17,0,22,0,26,1,25,7
77,GD,24,0,29,0,30,4,27,12,31,13,34,15
81,GGG,22,0,27,0,31,1,35,2,40,2,40,7
83,GWW,22,1,26,2,29,4,30,8,32,11,34,14
84,HD,13,0,18,0,23,0,27,1,28,5,28,10
85,HEI,24,0,28,1,33,1,36,3,36,8,37,12
88,HON,8,1,13,1,17,2,18,6,21,8,23,11
89,HRL,24,0,29,0,34,0,36,3,34,10,38,11
90,HSY,24,0,29,0,34,0,35,4,37,7,32,17
92,HUM,16,8,18,11,21,13,25,14,29,15,29,20
94,IEX,5,0,10,0,15,0,20,0,24,1,26,4
96,INTC,21,1,24,3,24,8,24,13,27,15,28,19
98,ITW,22,0,27,0,32,0,37,0,41,1,38,9
99,J,23,0,28,0,32,1,35,3,29,14,31,17
100,JBHT,11,0,16,0,20,1,20,6,21,10,22,14
102,JKHY,9,0,14,0,19,0,24,0,28,1,29,5
103,JNJ,24,0,29,0,30,4,29,10,31,13,29,20
105,KLAC,14,0,18,1,24,0,23,6,24,10,28,11
106,KR,16,8,15,14,19,15,21,18,25,19,31,18
108,LEN,23,0,26,2,29,4,28,10,32,11,27,21
110,LHX,14,10,15,14,21,13,22,17,26,18,26,23
113,LOW,22,0,27,0,31,1,32,5,37,5,32,15
114,LRCX,10,0,15,0,20,0,25,0,28,2,24,11
117,MCD,24,0,29,0,34,0,37,2,38,6,32,17
119,MDT,22,0,24,3,28,4,28,9,29,13,29,18
122,MKC,22,0,25,2,31,1,33,4,32,10,33,14
123,MKL,8,0,13,0,18,0,21,2,26,2,26,7
125,MNST,9,0,14,0,19,0,20,4,21,8,25,9
126,MO,21,3,26,3,33,1,33,6,35,9,35,14
129,MSFT,8,0,13,0,18,0,20,3,23,5,24,9
132,NDSN,15,0,20,0,22,3,21,9,25,10,31,9
133,NDX,9,0,14,0,19,0,23,1,26,3,29,5
136,NKE,14,0,19,0,24,0,29,0,33,1,31,8
137,NOC,16,8,19,10,24,10,24,15,28,16,32,17
138,NSC,18,6,20,9,22,12,26,13,33,11,29,20
139,NUE,24,0,26,3,31,3,32,7,30,14,29,20
140,NVO,13,0,18,0,23,0,25,3,30,3,28,10
141,NVR,7,0,12,0,17,0,22,0,26,1,25,7
143,OMC,22,0,24,3,27,5,27,10,27,15,28,19
144,ORCL,8,0,13,0,16,2,22,1,23,5,24,9
146,PAYX,11,0,16,0,17,4,19,7,22,9,25,11
147,PCAR,22,0,26,1,28,4,25,12,22,20,24,23
149,PEP,21,3,26,3,31,3,33,6,32,12,30,19
151,PGR,22,0,27,0,32,0,37,0,38,4,36,11
152,PH,23,1,25,4,23,11,28,11,33,11,35,14
154,PHM,19,3,22,5,28,4,24,13,27,15,30,17
155,PNR,22,0,25,2,31,1,29,8,29,13,30,17
156,PPG,22,2,26,3,27,7,25,14,30,14,31,18
160,RCI,5,0,10,0,15,0,16,4,16,9,17,13
161,RJF,11,0,16,0,21,0,26,0,30,1,32,4
162,ROK,24,0,28,1,28,6,33,6,33,11,35,14
164,ROST,9,0,14,0,19,0,23,1,28,1,28,6
165,RPM,18,4,18,9,17,15,24,13,29,13,33,14
166,RRX,20,1,23,3,27,4,30,6,25,16,28,18
167,RTX,24,0,29,0,29,5,26,13,27,17,29,20
170,SCHW,7,0,11,1,15,2,18,4,20,7,23,9
172,SHW,24,0,28,1,34,0,36,3,37,7,37,12
176,SPGI,24,0,26,3,32,2,32,7,35,9,32,17
178,STZ,8,0,13,0,18,0,23,0,27,1,22,11
180,SWKS,18,6,22,7,24,10,30,9,29,15,29,20
181,SYK,15,0,20,0,25,0,30,0,35,0,36,4
182,SYY,22,1,28,0,29,4,30,8,33,10,29,19
184,TECH,5,0,10,0,15,0,19,1,23,2,25,5
186,TGT,24,0,29,0,33,1,34,5,29,15,33,16
187,TJX,24,0,28,1,32,2,35,4,37,7,35,14
189,TMO,22,0,26,1,30,2,33,4,32,10,38,9
190,TPL,19,5,18,11,22,12,26,13,29,15,32,17
191,TROW,8,0,13,0,18,0,21,2,21,7,24,9
195,TTC,21,1,20,7,26,6,26,11,28,14,30,17
196,TXN,22,2,25,4,25,9,24,15,26,18,29,20
200,UNH,10,0,15,0,20,0,25,0,30,0,28,7
201,UNP,16,8,19,10,22,12,22,17,23,21,32,17
202,VLO,11,3,18,1,20,4,20,9,20,14,20,19
203,VMC,20,4,24,5,31,3,27,12,27,17,32,17
209,WM,5,1,7,4,9,7,14,7,15,11,20,11
211,WMT,21,1,26,1,27,5,27,10,30,12,30,17
212,WRB,21,0,26,0,29,2,31,5,33,8,34,12
213,WSO,10,0,15,0,20,0,24,1,29,1,28,7
214,WST,20,2,20,7,23,9,27,10,28,14,31,16
